G0冲突字段补证闭环结果页列汇总ID,来源G0冲突字段补证闭环结果公开账本,来源G0冲突字段补证执行包公开账本,来源G0冲突字段准出门禁页列汇总,来源G0冲突字段复核Overlay页列汇总,来源W0B0高校源字段回接页列汇总,来源私有G0字段复核页列CSV,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,可进入私有写回评审字段数,页列汇总序号,页码版面键,来源页码,版面列,G0冲突字段补证执行包公开账本ID,字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,补证执行优先级,补证执行泳道,PDF原页记录缺口字段数,湖北官方记录缺口字段数,高校辅证记录缺口字段数,冲突处理缺口字段数,双人复核缺口字段数,三方一致性缺口字段数,字段确认缺口字段数,写回评审缺口字段数,PDF原页核验结果状态分布,OCR提示核验状态分布,高校官网辅证核验状态分布,湖北官方侧核验状态分布,冲突处理状态分布,双人复核结果状态分布,三方闭环状态分布,字段确认状态分布,字段写回评审状态分布,补证闭环状态分布,当前主阻断桶分布,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,当前私有页列CSV_SHA256,字段事实集合SHA256,补证执行项集合SHA256,闭环结果集合SHA256,页列补证闭环状态,页列下一步闭环动作,公开安全策略
G0FIELDCLOSUREPAGE-9552260025389478,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,1,018-left,18,left,G0FIELDEXECPACKET-9552260025389478,12,4,4,1,专业计划数:4；再选科目:4；学费:4,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,12,12,12,12,3,12,12,12,pending_pdf_page_review:12,ocr_hint_present_not_fact:12,school_source_seed_present_pending_manual_review:12,pending_hubei_official_plan_review:12,pending_conflict_resolution:12,not_required:9；pending_double_review:3,blocked_missing_pdf:12,blocked:12,blocked_until_required_evidence_closed:12,closure_blocked_missing_required_evidence:12,G0-缺PDF原页记录:12,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,c968682d8881c5655b725697ad58bae5b4815022ccd0794f29ba0c0414bba16f,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-9a80833ac9a5171c,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,2,037-left,37,left,G0FIELDEXECPACKET-9a80833ac9a5171c,3,1,1,1,专业计划数:1；再选科目:1；学费:1,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,3,3,3,3,3,3,3,3,pending_pdf_page_review:3,ocr_hint_present_not_fact:3,school_source_seed_present_pending_manual_review:3,pending_hubei_official_plan_review:3,pending_conflict_resolution:3,pending_double_review:3,blocked_missing_pdf:3,blocked:3,blocked_until_required_evidence_closed:3,closure_blocked_missing_required_evidence:3,G0-缺PDF原页记录:3,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,daa60d91c583d481414c6ff2971577e713cb8f7bf141c7c7953ca65a1c978464,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-f57242f368ef88e6,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,3,056-left,56,left,G0FIELDEXECPACKET-f57242f368ef88e6,3,1,1,1,专业计划数:1；再选科目:1；学费:1,P2-常规冲突字段页列,R1-冲突字段单人初核后抽检复核,3,3,3,3,0,3,3,3,pending_pdf_page_review:3,ocr_hint_present_not_fact:3,school_source_pending:1；school_source_seed_present_pending_manual_review:2,pending_hubei_official_plan_review:3,pending_conflict_resolution:3,not_required:3,blocked_missing_pdf:3,blocked:3,blocked_until_required_evidence_closed:3,closure_blocked_missing_required_evidence:3,G0-缺PDF原页记录:3,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,137a087d9fde5a4a6bb0102955dca26b3fb7236a4f64a92de1fcf7dd95e6afe9,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-4697a3731544bca9,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,4,135-left,135,left,G0FIELDEXECPACKET-4697a3731544bca9,21,10,10,1,专业计划数:10；再选科目:1；学费:10,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,21,21,21,21,21,21,21,21,pending_pdf_page_review:21,ocr_hint_present_not_fact:21,school_source_pending:1；school_source_seed_present_pending_manual_review:20,pending_hubei_official_plan_review:21,pending_conflict_resolution:21,pending_double_review:21,blocked_missing_pdf:21,blocked:21,blocked_until_required_evidence_closed:21,closure_blocked_missing_required_evidence:21,G0-缺PDF原页记录:21,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,8d6c65146f7b495834d7240fd8de85b07ff5ab45286ac58ac2dc0e6304dfd511,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-69efd78fb158d16d,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,5,137-right,137,right,G0FIELDEXECPACKET-69efd78fb158d16d,3,1,1,1,专业计划数:1；再选科目:1；学费:1,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,3,3,3,3,3,3,3,3,pending_pdf_page_review:3,ocr_hint_present_not_fact:3,school_source_pending:2；school_source_seed_present_pending_manual_review:1,pending_hubei_official_plan_review:3,pending_conflict_resolution:3,pending_double_review:3,blocked_missing_pdf:3,blocked:3,blocked_until_required_evidence_closed:3,closure_blocked_missing_required_evidence:3,G0-缺PDF原页记录:3,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,627b4317db4c94ebf93dd3cb22dbca1122b9957a367a22ee1da350c3afb92d6c,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-8cd1a60c6f631fc8,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,6,169-right,169,right,G0FIELDEXECPACKET-8cd1a60c6f631fc8,2,1,1,1,专业计划数:1；学费:1,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,2,2,2,2,2,2,2,2,pending_pdf_page_review:2,ocr_hint_present_not_fact:2,school_source_pending:1；school_source_seed_present_pending_manual_review:1,pending_hubei_official_plan_review:2,pending_conflict_resolution:2,pending_double_review:2,blocked_missing_pdf:2,blocked:2,blocked_until_required_evidence_closed:2,closure_blocked_missing_required_evidence:2,G0-缺PDF原页记录:2,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,9344495ea4359fcd49b3b15f34b8a0011f67e631d9da55f2fa71dcff3a3ea2ff,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-135f7eb51adc7a7c,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,7,199-left,199,left,G0FIELDEXECPACKET-135f7eb51adc7a7c,9,3,3,1,专业计划数:3；再选科目:3；学费:3,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,9,9,9,9,9,9,9,9,pending_pdf_page_review:9,ocr_hint_present_not_fact:9,school_source_seed_present_pending_manual_review:9,pending_hubei_official_plan_review:9,pending_conflict_resolution:9,pending_double_review:9,blocked_missing_pdf:9,blocked:9,blocked_until_required_evidence_closed:9,closure_blocked_missing_required_evidence:9,G0-缺PDF原页记录:9,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,FIRST-CLOSURE-REVIEW-HTML-199-left,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,ea78faf52f296b583a6d01edcba20b3b1ad79c9d92aa1bd5b93995816f5c6eaf,536c2a0d5467df7881cc9da9ad82237ece462a3346d73bab24d327ec884548e1,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-4b1ded4eb47c2a9f,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,8,209-right,209,right,G0FIELDEXECPACKET-4b1ded4eb47c2a9f,6,2,2,1,专业计划数:2；再选科目:2；学费:2,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,6,6,6,6,6,6,6,6,pending_pdf_page_review:6,ocr_hint_present_not_fact:6,school_source_seed_present_pending_manual_review:6,pending_hubei_official_plan_review:6,pending_conflict_resolution:6,pending_double_review:6,blocked_missing_pdf:6,blocked:6,blocked_until_required_evidence_closed:6,closure_blocked_missing_required_evidence:6,G0-缺PDF原页记录:6,G0FIELD-PRIVATE-PAGE-209-right,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,FIRST-CLOSURE-REVIEW-HTML-209-right,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,5ec1cea993f33b9d5ba6f827e7ee2e0a3d41de6640632b33c7710d6c7120874d,aaebd1e169576dd03ac4091bc37f13d4a4eed93404a51c99604c37fa716e37fc,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-2563655a977c39cd,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,9,226-left,226,left,G0FIELDEXECPACKET-2563655a977c39cd,3,1,1,1,专业计划数:1；再选科目:1；学费:1,P2-常规冲突字段页列,R1-冲突字段单人初核后抽检复核,3,3,3,3,0,3,3,3,pending_pdf_page_review:3,ocr_hint_present_not_fact:3,school_source_pending:1；school_source_seed_present_pending_manual_review:2,pending_hubei_official_plan_review:3,pending_conflict_resolution:3,not_required:3,blocked_missing_pdf:3,blocked:3,blocked_until_required_evidence_closed:3,closure_blocked_missing_required_evidence:3,G0-缺PDF原页记录:3,G0FIELD-PRIVATE-PAGE-226-left,abc71c328166506bfac1c155960e4929199d335a5962c47fd63b7adb833ed472,FIRST-CLOSURE-REVIEW-HTML-226-left,1746ce9f2e5b4c5913211eafdae9f110013a85874a4b7081cddb611027ab2090,abc71c328166506bfac1c155960e4929199d335a5962c47fd63b7adb833ed472,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,6b0d48f8ced7bd8c1b10920b1498cdd8f708bd48deb064cbe49eb58411280220,6766a0ad4be11d40fe5b4cc7ab35fb66bef8a3a2a5b0b68ad7a83e422b89be51,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
G0FIELDCLOSUREPAGE-00ab4a2dfb82454e,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-execution-packets-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_private_page_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_closure_result_v1,G0冲突字段补证闭环结果页列汇总,页列×补证结果状态,false,false,false,false,false,false,false,false,0,10,226-right,226,right,G0FIELDEXECPACKET-00ab4a2dfb82454e,6,2,2,1,专业计划数:2；再选科目:2；学费:2,P1-字段数较多冲突页列,R1-冲突字段单人初核后抽检复核,6,6,6,6,0,6,6,6,pending_pdf_page_review:6,ocr_hint_present_not_fact:6,school_source_seed_present_pending_manual_review:6,pending_hubei_official_plan_review:6,pending_conflict_resolution:6,not_required:6,blocked_missing_pdf:6,blocked:6,blocked_until_required_evidence_closed:6,closure_blocked_missing_required_evidence:6,G0-缺PDF原页记录:6,G0FIELD-PRIVATE-PAGE-226-right,d70d7776c065165e5a98f203bfc7a22503881667942bacd522a94737e85b50ea,FIRST-CLOSURE-REVIEW-HTML-226-right,4e5741a67b646aa0b75a2fca8e332929677fc60e47832cfa4f0bce9ecac0ea7a,d70d7776c065165e5a98f203bfc7a22503881667942bacd522a94737e85b50ea,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,3d1887b2aec71626d3b7f5288cdb0863807208e21ba80cc272cc46bc97924a90,912a2435e57fa263c66466cda5e3412407c11d8444cc27b0eab7c7d0d9789e13,closure_blocked_missing_required_evidence,按页列继续补 PDF 原页、湖北官方侧、高校辅证人工核验、冲突处理、双人复核和三方一致性记录；未闭环前不得写回。,公开层只保存页列状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、明细文本、人工内容或本地位置。
