G0冲突字段补证缺口任务公开账本ID,来源G0冲突字段补证闭环结果公开账本,来源G0冲突字段补证闭环结果页列汇总,来源G0冲突字段补证闭环结果摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,缺口任务序号,证据通道序号,证据通道,证据通道类型,证据通道执行层级,证据缺口任务状态,是否当前可并行执行,当前通道状态,当前阻断桶,G0冲突字段补证闭环结果公开账本ID,G0冲突字段补证执行项公开账本ID,G0冲突字段补证执行包公开账本ID,G0冲突字段准出门禁公开账本ID,G0冲突字段复核Overlay公开账本ID,G0冲突动作包闭环工作台ID,高校源字段回接队列ID,W0B0执行预填明细公开审计ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,第一闭环字段核验状态ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,事实域,事实类型,字段名,补证执行优先级,补证执行泳道,回接泳道,回接批次,字段事实状态,字段核验优先级,PDFOCR与高校辅证关系桶,是否有PDFOCR提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,PDF原页记录缺口,湖北官方记录缺口,高校辅证记录缺口,冲突处理缺口,双人复核缺口,三方一致性缺口,字段确认缺口,写回评审缺口,必要证据缺口数,私有字段复核记录证据编号,私有字段复核记录SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,当前私有页列CSV记录SHA256,下一步缺口处理动作,公开安全策略
G0FIELDGAPTASK-0176bf4b18a18966,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,1,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,在本地未公开页列材料中补齐PDF原页记录；未补齐前不得写回字段事实。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-8dbc08d50f1ed93f,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,2,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,pending_primary_evidence_collection,true,pending_hubei_official_plan_review,G1-缺湖北官方记录,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,补齐湖北官方系统或省招办计划侧记录；高校官网不得替代湖北官方计划。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-5daa19f68c27773c,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,3,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,pending_primary_evidence_collection,true,school_source_seed_present_pending_manual_review,G2b-高校辅证种子待人工核验,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,把高校侧线索人工核验为证据记录；仅作double check，不替代湖北官方计划。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-d17d5ae30b8f823a,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,4,04,冲突处理,冲突解释和处理,E3-冲突处理,blocked_until_primary_evidence_present,false,pending_conflict_resolution,G3-冲突未处理,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,在PDF原页、湖北官方侧和高校辅证记录齐备后处理冲突方向。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-5d2bdd2791679abd,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,5,05,双人复核,双人复核,E3-双人复核,pending_double_review,true,pending_double_review,G4-双人复核未完成,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,需要双人复核的字段先完成A/B复核和一致性结论；未完成前不得写回。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-291ab5c109bf622f,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,6,06,三方一致性闭环,PDF/湖北官方/高校辅证三方闭环,E4-三方一致性闭环,blocked_until_primary_evidence_present,false,blocked_missing_pdf,G5-三方一致性未闭环,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后再做三方一致性闭环。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-4a1174b2a0be5b08,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,7,07,字段确认,字段确认,E5-字段确认,blocked_until_three_way_closure,false,blocked,G6-字段确认未填写,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,三方闭环后在私有材料中填写字段确认；公开层仍不保存字段记录。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-4899e5de3e315a67,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,8,08,写回评审,字段写回评审,E6-写回评审,blocked_until_field_confirmation,false,blocked_until_required_evidence_closed,G7-写回评审建议未填写,G0FIELDCLOSURE-9497881e6d507a98,G0FIELDEXECITEM-1327ed3a965d05ac,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-925368de8b400bae,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,ce68cb3a7d9b2a3f96274275b7e4313edc2d4b3e420ec6b517945c2cbbf1f636,字段确认完成后进入私有写回评审；通过评审前仍不得写回或推荐。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-c836aef529c5d22d,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,9,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,G0FIELDCLOSURE-97f376653222e24a,G0FIELDEXECITEM-7793fb60f4628681,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-aaec722961bf1a6d,G0FIELDPUB-46e3fa2060961945,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-62315315fc0e0d52,W0B0EXEITEM-c94b1397b719ba99,FIRSTSCOPE-f2757af9ab482a10,FIRSTFACT-1dafb1ef5907de4c,FIRSTFIELDSTATUS-cf8dcb11b7937f5a,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-再选科目,再选科目,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-1b6e1193b936de8c,14ac0d8233c460086faa20bee2f147f6b5925713a0226cca6f34a5aa45ff6a7a,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,c80b22bcf7d0dfae00af524d6192c86bf3d7bfb7988a7a0e7283f3003ea229a3,在本地未公开页列材料中补齐PDF原页记录；未补齐前不得写回字段事实。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-d91ed5bcd7594790,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,10,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,pending_primary_evidence_collection,true,pending_hubei_official_plan_review,G1-缺湖北官方记录,G0FIELDCLOSURE-97f376653222e24a,G0FIELDEXECITEM-7793fb60f4628681,G0FIELDEXECPACKET-9552260025389478,G0FIELDGATE-aaec722961bf1a6d,G0FIELDPUB-46e3fa2060961945,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-62315315fc0e0d52,W0B0EXEITEM-c94b1397b719ba99,FIRSTSCOPE-f2757af9ab482a10,FIRSTFACT-1dafb1ef5907de4c,FIRSTFIELDSTATUS-cf8dcb11b7937f5a,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-再选科目,再选科目,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-1b6e1193b936de8c,14ac0d8233c460086faa20bee2f147f6b5925713a0226cca6f34a5aa45ff6a7a,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,c80b22bcf7d0dfae00af524d6192c86bf3d7bfb7988a7a0e7283f3003ea229a3,补齐湖北官方系统或省招办计划侧记录；高校官网不得替代湖北官方计划。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
