G0冲突字段准出门禁公开账本ID,来源G0冲突字段复核Overlay公开账本,来源G0冲突字段复核Overlay页列汇总,来源G0冲突字段复核Overlay摘要,来源私有G0字段复核Overlay,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,准出门禁序号,G0冲突字段复核Overlay公开账本ID,G0冲突动作包闭环工作台ID,高校源字段回接队列ID,W0B0执行预填明细公开审计ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,第一闭环字段核验状态ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,事实域,事实类型,字段名,回接泳道,回接批次,字段事实状态,字段核验优先级,PDFOCR与高校辅证关系桶,是否有PDFOCR提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,高校源桥接桶,结构化接入候选数,私有字段复核记录证据编号,私有字段复核记录SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,PDF原页记录缺口,湖北官方记录缺口,高校辅证记录缺口,冲突处理缺口,双人复核缺口,三方一致性缺口,字段确认缺口,写回评审缺口,必要缺口数,准出门禁状态,主缺口桶,准出阻断等级,字段写回评审状态,G0字段Overlay状态,下一步字段准出动作,公开安全策略
G0FIELDGATE-79393acf0d8f930f,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,1,G0FIELDPUB-a5d1969da82ea1a0,FCG0PKGCLOSE-5c28cebaedd6d22b,W0B0FIELDLINK-2c0c747cc3fca60c,W0B0EXEITEM-744dfccd86ff1e33,FIRSTSCOPE-26dbc08ec647054c,FIRSTFACT-513b61ce40ed40ca,FIRSTFIELDSTATUS-3cc73fa771ddedc6,FIRSTDETAIL-3fddffa420d16af2,056-left,56,left,M-294c46ae6cb755d6,G-399026bbf2fbbc18,A195,字段事实,字段事实-专业计划数,专业计划数,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,false,B1-已有结构化接入候选，可作为高校侧double check提示,1,G0FIELD-PRIVATE-G0FIELDPRIV-75cff43e8d3c557f,e8289a347d9e9698f9a842bf13034f161ab5e5d6f4df5968492b637e71de67ff,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,true,true,true,true,false,true,true,true,7,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-03bf63265c0d88f7,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,2,G0FIELDPUB-5693de65e36a07a4,FCG0PKGCLOSE-5c28cebaedd6d22b,W0B0FIELDLINK-66ae8077c229710b,W0B0EXEITEM-f05d9e837077705c,FIRSTSCOPE-ca8929a307f0490f,FIRSTFACT-643ba8e422b47c46,FIRSTFIELDSTATUS-c03940de1bd09f8f,FIRSTDETAIL-3fddffa420d16af2,056-left,56,left,M-294c46ae6cb755d6,G-399026bbf2fbbc18,A195,字段事实,字段事实-再选科目,再选科目,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,false,B1-已有结构化接入候选，可作为高校侧double check提示,1,G0FIELD-PRIVATE-G0FIELDPRIV-452407288012c753,c5198884f5d9f234a33047446738c6fa615cae132309fdb97de68611372b0f25,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,true,true,true,true,false,true,true,true,7,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-951f2d3571943c8f,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,3,G0FIELDPUB-c909d685fb055a2f,FCG0PKGCLOSE-5c28cebaedd6d22b,W0B0FIELDLINK-cd4228bf6dcc0b8f,W0B0EXEITEM-65c185418f016699,FIRSTSCOPE-2d842f3461ffc01f,FIRSTFACT-89e92652f88b9822,FIRSTFIELDSTATUS-5212269d0b22aeb9,FIRSTDETAIL-3fddffa420d16af2,056-left,56,left,M-294c46ae6cb755d6,G-399026bbf2fbbc18,A195,字段事实,字段事实-学费,学费,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,false,B1-已有结构化接入候选，可作为高校侧double check提示,1,G0FIELD-PRIVATE-G0FIELDPRIV-4c69bdf0603ef867,f7b02751c6523f9a11345a0a027facd98c8c0edb0142cc5fd4f274acc7614b74,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,true,true,true,true,false,true,true,true,7,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-73087e5c78b7d468,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,4,G0FIELDPUB-e758ba31701e292a,FCG0PKGCLOSE-46814f49d763453f,W0B0FIELDLINK-ea07e27ca176920b,W0B0EXEITEM-641480ae80392804,FIRSTSCOPE-62ccfce4b25095f3,FIRSTFACT-89426344d3897f44,FIRSTFIELDSTATUS-12a5314ded955045,FIRSTDETAIL-8991edc6731114ee,169-right,169,right,M-a8b31c9114605c03,G-69a8112ee16cf2ba,H450,字段事实,字段事实-专业计划数,专业计划数,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B1-已有结构化接入候选，可作为高校侧double check提示,1,G0FIELD-PRIVATE-G0FIELDPRIV-bcdc2d57e7b09559,4a9b6963f45bc281b2fd7483ff5f5c2b02c4a1e190b3222dbea5fe1b65864aaf,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-a29875656c1c490c,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,5,G0FIELDPUB-ae309173c5b881d4,FCG0PKGCLOSE-46814f49d763453f,W0B0FIELDLINK-5f15df6499fa0f4a,W0B0EXEITEM-52b31695325b9be3,FIRSTSCOPE-44d036899a25b9d5,FIRSTFACT-dab747cd5c54ef66,FIRSTFIELDSTATUS-fbce540af1c5a95e,FIRSTDETAIL-8991edc6731114ee,169-right,169,right,M-a8b31c9114605c03,G-69a8112ee16cf2ba,H450,字段事实,字段事实-学费,学费,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B1-已有结构化接入候选，可作为高校侧double check提示,1,G0FIELD-PRIVATE-G0FIELDPRIV-58b6e2fcf14158d1,8c0dc1f2efcdd38dbaecc68602fe765cdfba090eb5f4d8daa6742678fd21004f,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-925368de8b400bae,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,6,G0FIELDPUB-1590e102fadbbd65,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-87173c962903e15b,W0B0EXEITEM-362b2412bda3f464,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,0,G0FIELD-PRIVATE-G0FIELDPRIV-85dee1841a771eab,bdfff65c82169bf0122c0b157bb68ba3e46bd5b2cc1f2e4a882f1cd1bb1cddee,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-aaec722961bf1a6d,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,7,G0FIELDPUB-46e3fa2060961945,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-62315315fc0e0d52,W0B0EXEITEM-c94b1397b719ba99,FIRSTSCOPE-f2757af9ab482a10,FIRSTFACT-1dafb1ef5907de4c,FIRSTFIELDSTATUS-cf8dcb11b7937f5a,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-再选科目,再选科目,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,0,G0FIELD-PRIVATE-G0FIELDPRIV-1b6e1193b936de8c,14ac0d8233c460086faa20bee2f147f6b5925713a0226cca6f34a5aa45ff6a7a,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-1b70d65621205c15,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,8,G0FIELDPUB-de8f0729ba5d771d,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINK-cc02dc5253db7016,W0B0EXEITEM-42ed38be7228fb5d,FIRSTSCOPE-a611ef86b4894675,FIRSTFACT-a956bb241116644e,FIRSTFIELDSTATUS-7b698eab33ca3b53,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-学费,学费,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,0,G0FIELD-PRIVATE-G0FIELDPRIV-329fc4d583bd0231,6e4dd42df1215938f686aabc810abad8f5e4e8c494e893748267c211f9580c49,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-db4f2d1552be7dad,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,9,G0FIELDPUB-4e4e76d6cff4faa9,FCG0PKGCLOSE-b59b4a5eec38ddc9,W0B0FIELDLINK-b17bb39b15241f40,W0B0EXEITEM-c69d7674b2b593fd,FIRSTSCOPE-9305cdd26a137920,FIRSTFACT-6c73d8a2503294c3,FIRSTFIELDSTATUS-2630ccecf00dee30,FIRSTDETAIL-a19646da8920400b,037-left,37,left,M-a85b56dac30243b2,G-9fca3ce8b2adbf9c,A135,字段事实,字段事实-专业计划数,专业计划数,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,0,G0FIELD-PRIVATE-G0FIELDPRIV-ef0e8fa7f3b63cd1,dd56ee7cccebd880a92463bd1b67015073ede83073a97b8c1c77c212e0fb5f1a,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
G0FIELDGATE-0f82a75e31e36bac,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-summary.json,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_resolution_gate_v1,G0冲突字段事实,字段事实×准出门禁,false,false,false,false,false,false,false,false,false,10,G0FIELDPUB-4d537f312179c16f,FCG0PKGCLOSE-b59b4a5eec38ddc9,W0B0FIELDLINK-1e2824f7e156b6c2,W0B0EXEITEM-fd07995c8b0049d4,FIRSTSCOPE-5aeca1ef4693b9c9,FIRSTFACT-a2360e132a041b40,FIRSTFIELDSTATUS-aec3a53ca1f8a7da,FIRSTDETAIL-a19646da8920400b,037-left,37,left,M-a85b56dac30243b2,G-9fca3ce8b2adbf9c,A135,字段事实,字段事实-再选科目,再选科目,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,0,G0FIELD-PRIVATE-G0FIELDPRIV-aa2b5a06af6e0e47,68ae59c344946a9f7df874b469c99d82809c6728a25cd0926abeaa3064698cf0,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,true,true,true,true,true,true,true,true,8,blocked_missing_required_field_evidence,G0-缺PDF原页记录,L0-省招办原件或湖北官方侧未闭环,blocked_until_required_evidence_closed,R0-Overlay已生成未填写,继续补齐本地未公开复核记录中的PDF原页、湖北官方侧、高校辅证、冲突处理、双人复核、三方一致性和字段确认；全部闭环后才可进入写回评审。,公开层只保存字段ID、缺口状态、计数和SHA；字段明细、OCR文本、学校专业明细和人工记录留在本地未公开复核材料。
