G0冲突字段复核页列汇总ID,来源G0冲突字段复核Overlay公开账本,来源G0冲突动作包闭环工作台,来源W0B0高校源字段回接页列汇总,来源私有字段复核Overlay,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,G0冲突动作包闭环工作台ID,高校源字段回接页列汇总ID,字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,回接泳道分布,字段事实状态分布,PDFOCR与高校辅证关系桶分布,需要双人复核字段数,需要人工看图字段数,结构化接入候选字段数,PDF原页字段记录已填数,湖北官方记录已填数,高校辅证人工核验已填数,双人复核已完成数,三方一致性已评估数,可进入私有写回评审字段数,私有页列CSV证据编号,私有页列CSV_SHA256,字段事实集合SHA256,任务集合SHA256,专业行集合SHA256,页列Overlay状态,页列下一步字段闭环动作,公开安全策略
G0FIELDPAGE-2e65f9b489d86185,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,1,018-left,18,left,FCG0PKGCLOSE-8dfb143e2fbdb50b,W0B0FIELDLINKPAGE-9d09fa448802d3c6,12,4,4,1,专业计划数:4；再选科目:4；学费:4,R1-B2冲突字段双人核页前回接高校线索:3；R2-B2冲突字段核页提示回接:9,K0-字段缺口无候选需原页重读:3；K1-字段缺口有候选待PDF原页和官方核验:2；K2-OCR候选存在但三方核验未闭环:7,R0-PDFOCR与高校辅证存在冲突:12,3,12,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,b83e6d4f79d082acfa8cc896ee99cac027700e38301e7836242032989a3f729a,871f7f6b49e4fbaf05269fb87cd5754e64dae3a9730f19e0a6939a685cc1670d,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-c628e67174cd7956,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,2,037-left,37,left,FCG0PKGCLOSE-b59b4a5eec38ddc9,W0B0FIELDLINKPAGE-39cfc7bcbd00517f,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R1-B2冲突字段双人核页前回接高校线索:3,K2-OCR候选存在但三方核验未闭环:3,R0-PDFOCR与高校辅证存在冲突:3,3,3,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,4f352aec8b89e507758a0d97c6874dcfc3b914995781cad930da80cf600e0be5,c1d4cd0b83598667aee2b3561ed597c7abb77752b458aaadaef2db88323f4b32,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-00c64120483d1e18,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,3,056-left,56,left,FCG0PKGCLOSE-5c28cebaedd6d22b,W0B0FIELDLINKPAGE-49dfd962eacfb463,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R0-B1结构化接入候选优先回接私有核验:3,K0-字段缺口无候选需原页重读:1；K2-OCR候选存在但三方核验未闭环:2,R0-PDFOCR与高校辅证存在冲突:3,0,3,3,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,4d7da1ab2555b61fd177c3c2a3fec2606a6c489549ec0b624aa5b8b80cad1120,fa64cdfbc22f1237ae3cf958cfb9b3aa0745d11710df31c8fb0874c68f63a847,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-e5bfc05c6558a4c9,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,4,135-left,135,left,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINKPAGE-2fe31f8f7c0833de,21,10,10,1,专业计划数:10；再选科目:1；学费:10,R1-B2冲突字段双人核页前回接高校线索:21,K1-字段缺口有候选待PDF原页和官方核验:16；K2-OCR候选存在但三方核验未闭环:5,R0-PDFOCR与高校辅证存在冲突:21,21,21,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,341184f10270fbdb2f0c3e81355e50894f0ac0d659248439b743088fcf7ffcc9,686493426e0aa0a7206688f89894e9cd970b0679c68fa8e6f3ea956e4f005af9,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-149a7191f2678cb3,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,5,137-right,137,right,FCG0PKGCLOSE-cf4c8fcc685e9e63,W0B0FIELDLINKPAGE-14b8d8af7e604892,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R1-B2冲突字段双人核页前回接高校线索:3,K2-OCR候选存在但三方核验未闭环:3,R0-PDFOCR与高校辅证存在冲突:3,3,3,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-5171189c2419c78a,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,6,169-right,169,right,FCG0PKGCLOSE-46814f49d763453f,W0B0FIELDLINKPAGE-670dd8fd3630cdb9,2,1,1,1,专业计划数:1；学费:1,R0-B1结构化接入候选优先回接私有核验:2,K2-OCR候选存在但三方核验未闭环:2,R0-PDFOCR与高校辅证存在冲突:2,2,2,2,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,493c0c8594ca2e013157c00afa750ad821999dc26a8a22c33d664dd6f1e4c664,cfcd68f6309b88f619c5eaa42ea708af42a3bb8a800c147553fab7b939e01dae,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-5c5d15c2ce656a21,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,7,199-left,199,left,FCG0PKGCLOSE-3e0705cada80b614,W0B0FIELDLINKPAGE-f236d4d82a7316c1,9,3,3,1,专业计划数:3；再选科目:3；学费:3,R1-B2冲突字段双人核页前回接高校线索:9,K1-字段缺口有候选待PDF原页和官方核验:8；K2-OCR候选存在但三方核验未闭环:1,R0-PDFOCR与高校辅证存在冲突:9,9,9,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,eab9e8607a4f84e622fd978f5086771a32034e21e0752cf81052871c223b07a1,98a0f02e329fff581dd451d7134f867099334d8a2dd7d38db7357c4fc41235ed,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-b9342d6daf897238,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,8,209-right,209,right,FCG0PKGCLOSE-3dfe377fdbbdd383,W0B0FIELDLINKPAGE-5b77311f3134fdd6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,R1-B2冲突字段双人核页前回接高校线索:6,K1-字段缺口有候选待PDF原页和官方核验:2；K2-OCR候选存在但三方核验未闭环:4,R0-PDFOCR与高校辅证存在冲突:6,6,6,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-209-right,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,5089eebe2fe6a8fa5522d73dbe74010b19997557c9030f8c2d572aaf7b1a4bae,072dd5bf2b0990f83def2f41f4269577ee089e8b86cd91e0d8b2e3b89742043e,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-c94403f774fa6a23,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,9,226-left,226,left,FCG0PKGCLOSE-fca3e48dca0759cb,W0B0FIELDLINKPAGE-73b0a25fb79c3ba0,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R2-B2冲突字段核页提示回接:3,K0-字段缺口无候选需原页重读:1；K2-OCR候选存在但三方核验未闭环:2,R0-PDFOCR与高校辅证存在冲突:3,0,3,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-226-left,abc71c328166506bfac1c155960e4929199d335a5962c47fd63b7adb833ed472,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,847c7c54bd72de365bdda6b2ab03f795a769b5dddce8c1f4fb312efea799978b,33b5db107016a04c5a2ea28b640487c46abe8a079421182a2f66c0a890cebd51,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
G0FIELDPAGE-b66aa8e599a5a998,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-package-closure-workbench-v1-public-ledger.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_review_overlay_v1_page_summary,G0冲突字段页列汇总,页列×冲突字段Overlay进度,false,false,false,false,false,false,false,false,false,10,226-right,226,right,FCG0PKGCLOSE-3e1db7002ef15d24,W0B0FIELDLINKPAGE-9458745b1415558a,6,2,2,1,专业计划数:2；再选科目:2；学费:2,R2-B2冲突字段核页提示回接:6,K0-字段缺口无候选需原页重读:2；K2-OCR候选存在但三方核验未闭环:4,R0-PDFOCR与高校辅证存在冲突:6,0,6,0,0,0,0,0,0,0,G0FIELD-PRIVATE-PAGE-226-right,d70d7776c065165e5a98f203bfc7a22503881667942bacd522a94737e85b50ea,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,5dccde714248e8eaa7ab4639626d9e4378659af2eefd98f41cb5c09f2bd8982c,1c003f4532ef56430a6c1d3605dd5b537cd3478e45f81900c321675f05bf356e,R0-Overlay已生成未填写,逐字段补 PDF 原页、湖北官方侧、高校辅证人工核验和双人复核；可进入写回评审前不得更新字段事实。,公开层只保存页列计数、状态、ID和私有CSV SHA；不公开学校专业明细、字段线索、人工记录或备注。
