G0冲突字段W0W1主动工作页列汇总ID,来源G0冲突字段W0W1主动工作包公开账本,来源G0冲突字段补证执行波次公开账本,来源G0冲突字段补证缺口任务公开账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,主动工作包数,当前可并行任务数,W0一手证据与辅证采集任务数,W1双人复核任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,证据通道分布,字段名分布,当前阻断桶分布,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,PDFOCR提示任务数,机器坐标提示任务数,PDFOCR与高校辅证冲突任务数,高校源结构化接入候选字段数,高校源最新对齐任务数合计,主动工作包集合SHA256,缺口任务集合SHA256,闭环结果集合SHA256,页列下一步动作,公开安全策略
G0W0W1ACTIVEPAGE-9552260025389478,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,1,018-left,18,left,4,39,36,3,12,4,4,1,PDF原页记录:12；双人复核:3；湖北官方侧记录:12；高校辅证人工核验:12,专业计划数:13；再选科目:13；学费:13,G0-缺PDF原页记录:12；G1-缺湖北官方记录:12；G2b-高校辅证种子待人工核验:12；G4-双人复核未完成:3,17,17,17,4,9,5,4,0,36,ee17bd551c537ecce161dc96c25cb6e5a0bfe47018f0a6027054cf170ee40204,6c6f1d26ab6c74021a1993d22a23cf14e33749514bef50796627b21fbd5e7759,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-9a80833ac9a5171c,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,2,037-left,37,left,4,12,9,3,3,1,1,1,PDF原页记录:3；双人复核:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:4；再选科目:4；学费:4,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2b-高校辅证种子待人工核验:3；G4-双人复核未完成:3,5,5,5,3,3,0,1,0,12,82cdea7c10633e1860dac580c2abceb4dece832167a7b2c1c3fd02c67b06314a,9914825f35a32e800671676cf9812683957e76d86bc09bee273cf07c4c6638c6,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-f57242f368ef88e6,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,3,056-left,56,left,3,9,9,0,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,16,16,15,3,8,5,1,3,9,6f72a7a27d9314c78a1b3d68dd815ff91637f3691b4d3ddf94d387a8c4f59f65,19d9696960502e1dd1ffa62d515944c211379df0e4e2988e6b5cd46a57aa9cc4,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-4697a3731544bca9,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,4,135-left,135,left,4,84,63,21,21,10,10,1,PDF原页记录:21；双人复核:21；湖北官方侧记录:21；高校辅证人工核验:21,专业计划数:40；再选科目:4；学费:40,G0-缺PDF原页记录:21；G1-缺湖北官方记录:21；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:20；G4-双人复核未完成:21,10,10,10,10,10,0,10,0,84,c01da436de80d8db5ca3dca0d27ed430780892ed8230db842c660edc3ead7284,aabd5bf8556b5daefc442673b31fbca0039d45e05fd144b1586dee9764d09b73,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-69efd78fb158d16d,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,5,137-right,137,right,4,12,9,3,3,1,1,1,PDF原页记录:3；双人复核:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:4；再选科目:4；学费:4,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2a-缺高校辅证线索:2；G2b-高校辅证种子待人工核验:1；G4-双人复核未完成:3,1,1,1,1,1,0,1,0,9,ce4009dc37424e7330568749fb9003e5d16f5b4f820b1c1eb5b24315a91ec05c,e15f54df51a85ba231121adf7197ac4222b5917929f2fb4f1cd1324a06c638cf,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-8cd1a60c6f631fc8,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,6,169-right,169,right,4,8,6,2,2,1,1,1,PDF原页记录:2；双人复核:2；湖北官方侧记录:2；高校辅证人工核验:2,专业计划数:4；学费:4,G0-缺PDF原页记录:2；G1-缺湖北官方记录:2；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:1；G4-双人复核未完成:2,22,22,22,10,12,0,1,2,10,984c36bae937559a32fc2545a40c9ae92951296e555ae70d999742484bf27201,dd680094cc96274f294d6f6e2506cca5d14ca9e0d62efa387833ceb021afb838,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-135f7eb51adc7a7c,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,7,199-left,199,left,4,36,27,9,9,3,3,1,PDF原页记录:9；双人复核:9；湖北官方侧记录:9；高校辅证人工核验:9,专业计划数:12；再选科目:12；学费:12,G0-缺PDF原页记录:9；G1-缺湖北官方记录:9；G2b-高校辅证种子待人工核验:9；G4-双人复核未完成:9,5,5,5,4,4,1,3,0,36,74d7803ba926a173f1fa9144b735b9f70419056f6939bac4c07dd265572189d3,131a6ca4d713bbef1ef47aa3e7cf9594bf866b63de308a07ba734534292e457c,536c2a0d5467df7881cc9da9ad82237ece462a3346d73bab24d327ec884548e1,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-4b1ded4eb47c2a9f,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,8,209-right,209,right,4,24,18,6,6,2,2,1,PDF原页记录:6；双人复核:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:8；再选科目:8；学费:8,G0-缺PDF原页记录:6；G1-缺湖北官方记录:6；G2b-高校辅证种子待人工核验:6；G4-双人复核未完成:6,13,13,13,4,9,0,2,0,30,0fed8b205c47afaee3e596181692598b6baea9480cd6358610b370a48e776fc5,dce323045c1f23dadd52e67c156bb0d566282f9cfb57e894378018052dbf82d2,aaebd1e169576dd03ac4091bc37f13d4a4eed93404a51c99604c37fa716e37fc,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-2563655a977c39cd,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,9,226-left,226,left,3,9,9,0,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,39,39,39,5,20,13,1,0,6,74834de57212aa23473101df6400bc1b07fbd54c1c3a4c6afe8c39cef5f70e12,191476b49a97e1a4a176c33fdf5d7e60b430f94bcc36bd8d7b4757cccbcd0186,6766a0ad4be11d40fe5b4cc7ab35fb66bef8a3a2a5b0b68ad7a83e422b89be51,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVEPAGE-00ab4a2dfb82454e,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作页列汇总,页列,false,false,false,false,false,false,false,false,false,10,226-right,226,right,3,18,18,0,6,2,2,1,PDF原页记录:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:6；再选科目:6；学费:6,G0-缺PDF原页记录:6；G1-缺湖北官方记录:6；G2b-高校辅证种子待人工核验:6,4,4,4,2,2,0,2,0,12,ade025e4fd6a467d1b200edc3b156fe5a4b535cc715aa14bb4b97cd17223ba9e,2f1508fd9bc6d8d5cbfa4d6800a8c43f57cdd32972d9610eb7c1bac222105f5c,912a2435e57fa263c66466cda5e3412407c11d8444cc27b0eab7c7d0d9789e13,先并行完成PDF原页、湖北官方侧、高校辅证和必要双人复核；完成前不得冲突定案、字段确认或写回。,公开层只保存页列级状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
