G0冲突字段W0W1候选分层ID,来源G0冲突字段W0W1开核执行清单,来源G0冲突字段W0W1开核执行页列汇总,来源G0冲突字段W0W1开核执行摘要,来源G0冲突字段补证缺口任务公开账本,来源私有G0字段复核Overlay,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,候选分层序号,开核执行清单ID,页码版面键,来源页码,版面列,证据通道序号,证据通道,开核动作组,开核优先级,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,私有Overlay候选字段数,PDFOCR有候选字段数,高校辅证有候选字段数,双侧候选字段数,候选一致字段数,候选冲突字段数,仅PDFOCR候选字段数,仅高校辅证候选字段数,候选缺失字段数,高校官网或招生章程线索已填字段数,PDF原页人工记录已填字段数,湖北官方记录已填字段数,高校辅证人工核验已填字段数,字段确认已填字段数,候选分层分布,候选分层主桶,PDFOCR与高校辅证关系桶分布,开核候选提示状态,下一步候选核验动作,来源缺口任务集合SHA256,来源私有Overlay记录集合SHA256,来源私有Overlay文件SHA256,公开安全策略
G0W0W1CANDTRIAGE-76972e6d554bb480,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,1,G0W0W1LAUNCH-76972e6d554bb480,018-left,18,left,01,PDF原页记录,A01-PDF原页人工核页,P0-PDF原页先核,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,12,7,12,7,1,6,0,5,0,12,0,0,0,0,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:12,candidate_conflict_ready_for_human_review_not_fact,优先核PDF原页，判定双侧线索差异来源；不得直接确认字段事实。,2bc901ca04c60c70179152dd17f1e18b202ddcec944c49fe67e579547adc2804,fdeddd66e49ad5e478b902b5ed4cff1e984c4546ca0bde9ae8ab21e3678b749a,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-d8614d6909e981da,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,2,G0W0W1LAUNCH-d8614d6909e981da,018-left,18,left,02,湖北官方侧记录,A02-湖北官方侧核验,P1-湖北官方侧并行核,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,12,7,12,7,1,6,0,5,0,12,0,0,0,0,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:12,candidate_conflict_ready_for_human_review_not_fact,核湖北官方系统或省招办计划记录；官方侧不可用时继续保留阻断。,8cc72787fcb390493d3d7feeefed43f23409454eafc40f352987e99595d53e2f,fdeddd66e49ad5e478b902b5ed4cff1e984c4546ca0bde9ae8ab21e3678b749a,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-879e9ee3f9baf0c3,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,3,G0W0W1LAUNCH-879e9ee3f9baf0c3,018-left,18,left,03,高校辅证人工核验,A03-高校辅证人工核验,P2-高校辅证并行核,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,12,7,12,7,1,6,0,5,0,12,0,0,0,0,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:12,candidate_conflict_ready_for_human_review_not_fact,核高校辅证线索作为double check；不得替代湖北官方计划。,ffb9a55fd35bd544017d7cb846c438aaeb6b7c7372a3cfb3354448331c632a9c,fdeddd66e49ad5e478b902b5ed4cff1e984c4546ca0bde9ae8ab21e3678b749a,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-f371db2971387386,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,4,G0W0W1LAUNCH-f371db2971387386,018-left,18,left,05,双人复核,A05-双人核页复核,P0-双人复核先核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,2,3,2,0,2,0,1,0,3,0,0,0,0,C0-双侧候选冲突优先核:2；C3-仅高校辅证候选需核原页:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,安排A/B双人复核冲突字段并记录一致性；未完成前不得定案。,d4161d36dc7d0ca9dc80c4999be78976db3731cfccdb3070f0484b82642bd881,8136a4ae7585eaf2b6d81737f8abeb7aa385a9b6d6b4bfbe22209d61114ec11b,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-f07bd23ae3cdf1f7,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,5,G0W0W1LAUNCH-f07bd23ae3cdf1f7,037-left,37,left,01,PDF原页记录,A01-PDF原页人工核页,P0-PDF原页先核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,3,3,3,1,2,0,0,0,3,0,0,0,0,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,优先核PDF原页，判定双侧线索差异来源；不得直接确认字段事实。,7fa6d5c86c5498c030f16120bf11a3d5958e024170bb6e66a2fa0ec88a97696a,65de934c73c7a8f0f72868a0ed7b7e1bb2034423108a5ed8de52062d13b569c5,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-0f271a6f0d85fbe4,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,6,G0W0W1LAUNCH-0f271a6f0d85fbe4,037-left,37,left,02,湖北官方侧记录,A02-湖北官方侧核验,P1-湖北官方侧并行核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,3,3,3,1,2,0,0,0,3,0,0,0,0,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,核湖北官方系统或省招办计划记录；官方侧不可用时继续保留阻断。,55c01461c025e9870d9b305a75a5e5b9ab92b005b8f13a77f1ffe30b10db69f0,65de934c73c7a8f0f72868a0ed7b7e1bb2034423108a5ed8de52062d13b569c5,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-97f2369338033210,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,7,G0W0W1LAUNCH-97f2369338033210,037-left,37,left,03,高校辅证人工核验,A03-高校辅证人工核验,P2-高校辅证并行核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,3,3,3,1,2,0,0,0,3,0,0,0,0,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,核高校辅证线索作为double check；不得替代湖北官方计划。,5acc21f43ddc8e95d8e8fb82e8c747e2e2035445c8dbe5072cd087b1e06f5806,65de934c73c7a8f0f72868a0ed7b7e1bb2034423108a5ed8de52062d13b569c5,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-0b1830005944bc90,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,8,G0W0W1LAUNCH-0b1830005944bc90,037-left,37,left,05,双人复核,A05-双人核页复核,P0-双人复核先核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,3,3,3,1,2,0,0,0,3,0,0,0,0,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,安排A/B双人复核冲突字段并记录一致性；未完成前不得定案。,28179179cef736ff693797cab06b1092d3947a70e44ecadd7a46ed471eeed666,65de934c73c7a8f0f72868a0ed7b7e1bb2034423108a5ed8de52062d13b569c5,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-2a7da5d2594fc36f,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,9,G0W0W1LAUNCH-2a7da5d2594fc36f,056-left,56,left,01,PDF原页记录,A01-PDF原页人工核页,P0-PDF原页先核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,2,2,1,0,1,1,1,0,2,0,0,0,0,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,优先核PDF原页，判定双侧线索差异来源；不得直接确认字段事实。,654c39a910a073a118d5b2f94b3594e795c84c0c39233a33d5dde186d1f373a3,954c46faf95cb01c43127cd7582bd75becd53a0cc5b13b63f3cf1e9285f1a9cb,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
G0W0W1CANDTRIAGE-1187aa448b46ec89,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_candidate_triage_v1,G0冲突字段W0/W1候选分层,页列×证据通道,false,false,false,false,false,false,false,false,false,10,G0W0W1LAUNCH-1187aa448b46ec89,056-left,56,left,02,湖北官方侧记录,A02-湖北官方侧核验,P1-湖北官方侧并行核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,2,2,1,0,1,1,1,0,2,0,0,0,0,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,T0-候选冲突优先核PDF原页与湖北官方,R0-PDFOCR与高校辅证存在冲突:3,candidate_conflict_ready_for_human_review_not_fact,核湖北官方系统或省招办计划记录；官方侧不可用时继续保留阻断。,0b1ee2eae6fe6aa3d79bf14ce9056b76a3b3cfd0ddd4e174007596f5c8ae4dd4,954c46faf95cb01c43127cd7582bd75becd53a0cc5b13b63f3cf1e9285f1a9cb,749d242338c905662993abae16006adfd53a3a8535dcc689051a850987d6820e,公开层只保存候选分层、计数、ID和SHA；不公开私有内容、具体线索、字段记录或学校专业明细。
