G0冲突字段W0W1材料就绪页列汇总ID,来源G0冲突字段W0W1材料就绪公开账本,来源G0冲突字段W0W1主动工作页列汇总,来源G0冲突字段补证缺口任务公开账本,来源私有G0字段复核Overlay,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,材料就绪工作包数,当前可并行任务数,匹配私有复核行数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,证据通道分布,字段名分布,私有页图存在行数,私有OCR材料存在行数,私有页列CSV是否存在,私有核页HTML是否存在,PDF原页字段人工记录已填数,湖北官方字段记录已填数,高校辅证种子线索行数,高校辅证人工核验记录已填数,双人一致性记录已填数,三方一致性记录已填数,字段确认记录已填数,写回建议记录已填数,页列材料就绪状态,页列人工补证记录状态,材料就绪工作包集合SHA256,来源缺口任务集合SHA256,来源私有复核记录集合SHA256,页列下一步材料动作,公开安全策略
G0W0W1MATERIALPAGE-9552260025389478,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,1,018-left,18,left,4,39,12,12,4,4,1,PDF原页记录:12；双人复核:3；湖北官方侧记录:12；高校辅证人工核验:12,专业计划数:13；再选科目:13；学费:13,12,12,true,true,0,0,12,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,07b03cfaec766d638ba6aed845a07be64e2f1ad6a0be63994064d45ff0441643,6c6f1d26ab6c74021a1993d22a23cf14e33749514bef50796627b21fbd5e7759,3ed3dd1f72b46fbfd463eafdaac7c7879d6bf9bb528145f96d5bc42920f253d4,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-9a80833ac9a5171c,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,2,037-left,37,left,4,12,3,3,1,1,1,PDF原页记录:3；双人复核:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:4；再选科目:4；学费:4,3,3,true,true,0,0,3,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,566fe3735c8329437baa8f4e51cacb1277aee724d21e10ffc321d4d81a233437,9914825f35a32e800671676cf9812683957e76d86bc09bee273cf07c4c6638c6,6c43872e4c7dbe2e977b16ae137628d9307833124e94c2ce04d5cc41746710bc,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-f57242f368ef88e6,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,3,056-left,56,left,3,9,3,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,3,3,true,true,0,0,2,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,070924c4e6ff75e99dab2bd6b98ad56ccd2b4576aafd6a8c18868082228f5641,19d9696960502e1dd1ffa62d515944c211379df0e4e2988e6b5cd46a57aa9cc4,94e82c45d08b100c1413504605fb8d5dab0cc163d124aeefe16b3ab79605c8f9,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-4697a3731544bca9,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,4,135-left,135,left,4,84,21,21,10,10,1,PDF原页记录:21；双人复核:21；湖北官方侧记录:21；高校辅证人工核验:21,专业计划数:40；再选科目:4；学费:40,21,21,true,true,0,0,20,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,fa49413c27f7510a13c94cb2ea17234c2fe1e4292cc11589eb7e1ce81824aab9,aabd5bf8556b5daefc442673b31fbca0039d45e05fd144b1586dee9764d09b73,9c49cd6d682748657d821712840506a9106ea5316a093d0e958b9feba58d92dd,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-69efd78fb158d16d,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,5,137-right,137,right,4,12,3,3,1,1,1,PDF原页记录:3；双人复核:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:4；再选科目:4；学费:4,3,3,true,true,0,0,1,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,672ad6977c6f5b2e75025c7f4b05c0780547c8dc3693c8ce787cbddcf33e5148,e15f54df51a85ba231121adf7197ac4222b5917929f2fb4f1cd1324a06c638cf,5ccf848c93c7d24a374c59368ca02dec4d0429eab51e405421d7f279fcdf678f,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-8cd1a60c6f631fc8,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,6,169-right,169,right,4,8,2,2,1,1,1,PDF原页记录:2；双人复核:2；湖北官方侧记录:2；高校辅证人工核验:2,专业计划数:4；学费:4,2,2,true,true,0,0,1,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,e3de5d8e322db6135b738660f1b1818c95940ffa0746e5eb55080bc44a0bb59e,dd680094cc96274f294d6f6e2506cca5d14ca9e0d62efa387833ceb021afb838,a69812f399c0a7781be547aae078853a611dff50be7df09a28ffd61c9afb98ec,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-135f7eb51adc7a7c,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,7,199-left,199,left,4,36,9,9,3,3,1,PDF原页记录:9；双人复核:9；湖北官方侧记录:9；高校辅证人工核验:9,专业计划数:12；再选科目:12；学费:12,9,9,true,true,0,0,9,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,20995e61f56514778deba324c1029aca77d1e9d789013e8ed0ad1147cf64612d,131a6ca4d713bbef1ef47aa3e7cf9594bf866b63de308a07ba734534292e457c,07f5f44d4760136d0e16c10bbf5b0d113a02a6556d2e8ecce76921359c720d42,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-4b1ded4eb47c2a9f,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,8,209-right,209,right,4,24,6,6,2,2,1,PDF原页记录:6；双人复核:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:8；再选科目:8；学费:8,6,6,true,true,0,0,6,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,5ca68a24f2cfa8ff20e2c3064456fe2e209a07a7380822ffec0269542d57041a,dce323045c1f23dadd52e67c156bb0d566282f9cfb57e894378018052dbf82d2,d28856e256b7d31bd5227938cb04b58e60b68148daa3878f7fa29790dde1dbe0,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-2563655a977c39cd,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,9,226-left,226,left,3,9,3,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,3,3,true,true,0,0,2,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,23e2f8912fccf43ed00341f2ddb0b095b33efb6a84e09063ce002e906e272e26,191476b49a97e1a4a176c33fdf5d7e60b430f94bcc36bd8d7b4757cccbcd0186,9badc0df99d106d787cb572a7f408a0e3a6c6ce5cdd4c7b7038950c89851f145,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
G0W0W1MATERIALPAGE-00ab4a2dfb82454e,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,g0_conflict_field_review_private_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_material_readiness_v1,G0冲突字段W0/W1材料就绪页列汇总,页列,false,false,false,false,false,false,false,false,false,10,226-right,226,right,3,18,6,6,2,2,1,PDF原页记录:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:6；再选科目:6；学费:6,6,6,true,true,0,0,6,0,0,0,0,0,ready_private_materials_present,blocked_missing_w0_w1_human_records,81b525bcf6e985b1995f885bd6db6c20f91efb0dce35c1e0063f58fc3dd56a26,2f1508fd9bc6d8d5cbfa4d6800a8c43f57cdd32972d9610eb7c1bac222105f5c,596fa27eb497df799bd8e3ad4f513434a4ae92535223edbf42516ecaa89d4249,私有页图、OCR材料、页列CSV和核页HTML已就绪时，下一步应补 PDF 原页、湖北官方侧、高校辅证和双人复核人工记录。,公开层只保存页列级材料状态、记录填充计数、ID和SHA；不公开私有路径、识别内容、候选内容、人工内容或学校专业明细。
