G0冲突字段W0W1开核执行清单ID,来源G0冲突字段W0W1材料就绪公开账本,来源G0冲突字段W0W1材料就绪页列汇总,来源G0冲突字段W0W1材料就绪摘要,来源G0冲突字段W0W1主动工作包公开账本,来源G0冲突字段补证缺口任务公开账本,来源第一闭环字段级公开状态,来源第一闭环证据状态报告,来源G0冲突字段补证闭环结果,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,开核序号,材料就绪公开账本ID,主动工作包ID,执行波次序号,执行波次,证据通道序号,证据通道,开核动作组,开核优先级,页码版面键,来源页码,版面列,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,私有材料就绪状态,人工补证记录状态,开核执行状态,PDF原页证据状态分布,OCR提示状态分布,机器坐标提示状态分布,高校辅证证据状态分布,湖北官方侧状态分布,冲突状态分布,三方闭环状态分布,字段写回状态分布,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,PDFOCR提示任务数,机器坐标提示任务数,PDFOCR与高校辅证冲突任务数,私有页列CSV是否存在,私有核页HTML是否存在,人工记录已填合计,字段确认记录已填数,写回建议记录已填数,开核准出条件,下一步开核动作,来源缺口任务集合SHA256,来源字段状态集合SHA256,来源证据状态集合SHA256,来源闭环结果集合SHA256,公开安全策略
G0W0W1LAUNCH-76972e6d554bb480,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,1,G0W0W1MATERIAL-76972e6d554bb480,G0W0W1ACTIVE-76972e6d554bb480,W0,一手证据与辅证采集,01,PDF原页记录,A01-PDF原页人工核页,P0-PDF原页先核,018-left,18,left,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,ready_private_materials_present,blocked_missing_pdf_original_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:12,O0-PDFOCR与高校辅证冲突:12,M0-无机器坐标提示:12,S1-有高校辅证线索或自动官网任务，待私有辅证记录:12,pending_hubei_official_review:12,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:12,pending_private_three_way_field_confirmation:12,blocked_until_pdf_hubei_school_three_way_closure:12,12,12,12,3,12,0,12,true,true,0,0,0,材料齐备后填写PDF原页人工记录；不得直接写回字段事实。,打开已就绪材料，优先补PDF原页人工核页记录。,2bc901ca04c60c70179152dd17f1e18b202ddcec944c49fe67e579547adc2804,e569114ac048438a701542502d8ccef52fd6775a252a2afeab6a461887508ea1,d2931efb95fccca1a708f15b70ae0f6a1a72505ef2a72f8c69e11839d4763226,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-d8614d6909e981da,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,2,G0W0W1MATERIAL-d8614d6909e981da,G0W0W1ACTIVE-d8614d6909e981da,W0,一手证据与辅证采集,02,湖北官方侧记录,A02-湖北官方侧核验,P1-湖北官方侧并行核,018-left,18,left,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,ready_private_materials_present,blocked_missing_hubei_official_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:12,O0-PDFOCR与高校辅证冲突:12,M0-无机器坐标提示:12,S1-有高校辅证线索或自动官网任务，待私有辅证记录:12,pending_hubei_official_review:12,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:12,pending_private_three_way_field_confirmation:12,blocked_until_pdf_hubei_school_three_way_closure:12,12,12,12,3,12,0,12,true,true,0,0,0,材料齐备后核湖北官方系统或省招办计划记录；高校源不得替代湖北官方侧。,打开已就绪材料，补湖北官方侧核验记录；官方侧不可用时继续保留阻断。,8cc72787fcb390493d3d7feeefed43f23409454eafc40f352987e99595d53e2f,e569114ac048438a701542502d8ccef52fd6775a252a2afeab6a461887508ea1,d2931efb95fccca1a708f15b70ae0f6a1a72505ef2a72f8c69e11839d4763226,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-879e9ee3f9baf0c3,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,3,G0W0W1MATERIAL-879e9ee3f9baf0c3,G0W0W1ACTIVE-879e9ee3f9baf0c3,W0,一手证据与辅证采集,03,高校辅证人工核验,A03-高校辅证人工核验,P2-高校辅证并行核,018-left,18,left,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,ready_private_materials_present,blocked_missing_school_support_manual_review,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:12,O0-PDFOCR与高校辅证冲突:12,M0-无机器坐标提示:12,S1-有高校辅证线索或自动官网任务，待私有辅证记录:12,pending_hubei_official_review:12,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:12,pending_private_three_way_field_confirmation:12,blocked_until_pdf_hubei_school_three_way_closure:12,12,12,12,3,12,0,12,true,true,0,0,0,材料齐备后人工核高校辅证线索；只作double check。,打开已就绪材料，补高校辅证人工核验记录；只作为double check线索。,ffb9a55fd35bd544017d7cb846c438aaeb6b7c7372a3cfb3354448331c632a9c,e569114ac048438a701542502d8ccef52fd6775a252a2afeab6a461887508ea1,d2931efb95fccca1a708f15b70ae0f6a1a72505ef2a72f8c69e11839d4763226,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-f371db2971387386,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,4,G0W0W1MATERIAL-f371db2971387386,G0W0W1ACTIVE-f371db2971387386,W1,双人复核,05,双人复核,A05-双人核页复核,P0-双人复核先核,018-left,18,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_double_review_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,3,3,0,3,true,true,0,0,0,材料齐备后完成A/B双人核页一致性记录；未完成前不得定案。,打开已就绪材料，安排A/B双人核页并填写一致性记录。,d4161d36dc7d0ca9dc80c4999be78976db3731cfccdb3070f0484b82642bd881,f99a108282ec81a6ce9769462704498d71b98a6e890b81b7b3455ddf24333e5f,64f538f27b654ccf99652426df2a7cf8cee7d8bb3a18b911d5f8218913497ee1,74e8874d3f2a17834b897d3f93fb31474825f9d706894399801cc430a3873cfd,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-f07bd23ae3cdf1f7,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,5,G0W0W1MATERIAL-f07bd23ae3cdf1f7,G0W0W1ACTIVE-f07bd23ae3cdf1f7,W0,一手证据与辅证采集,01,PDF原页记录,A01-PDF原页人工核页,P0-PDF原页先核,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_pdf_original_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,3,3,0,3,true,true,0,0,0,材料齐备后填写PDF原页人工记录；不得直接写回字段事实。,打开已就绪材料，优先补PDF原页人工核页记录。,7fa6d5c86c5498c030f16120bf11a3d5958e024170bb6e66a2fa0ec88a97696a,c1495d36767f3cc9f0b4d11a65d261f424ef3ed493029873837a67b242f51770,472ef412f89841d9b2199d98e05fc69af75161349a4c8f9cefcdb733f55658a8,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-0f271a6f0d85fbe4,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,6,G0W0W1MATERIAL-0f271a6f0d85fbe4,G0W0W1ACTIVE-0f271a6f0d85fbe4,W0,一手证据与辅证采集,02,湖北官方侧记录,A02-湖北官方侧核验,P1-湖北官方侧并行核,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_hubei_official_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,3,3,0,3,true,true,0,0,0,材料齐备后核湖北官方系统或省招办计划记录；高校源不得替代湖北官方侧。,打开已就绪材料，补湖北官方侧核验记录；官方侧不可用时继续保留阻断。,55c01461c025e9870d9b305a75a5e5b9ab92b005b8f13a77f1ffe30b10db69f0,c1495d36767f3cc9f0b4d11a65d261f424ef3ed493029873837a67b242f51770,472ef412f89841d9b2199d98e05fc69af75161349a4c8f9cefcdb733f55658a8,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-97f2369338033210,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,7,G0W0W1MATERIAL-97f2369338033210,G0W0W1ACTIVE-97f2369338033210,W0,一手证据与辅证采集,03,高校辅证人工核验,A03-高校辅证人工核验,P2-高校辅证并行核,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_school_support_manual_review,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,3,3,0,3,true,true,0,0,0,材料齐备后人工核高校辅证线索；只作double check。,打开已就绪材料，补高校辅证人工核验记录；只作为double check线索。,5acc21f43ddc8e95d8e8fb82e8c747e2e2035445c8dbe5072cd087b1e06f5806,c1495d36767f3cc9f0b4d11a65d261f424ef3ed493029873837a67b242f51770,472ef412f89841d9b2199d98e05fc69af75161349a4c8f9cefcdb733f55658a8,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-0b1830005944bc90,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,8,G0W0W1MATERIAL-0b1830005944bc90,G0W0W1ACTIVE-0b1830005944bc90,W1,双人复核,05,双人复核,A05-双人核页复核,P0-双人复核先核,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_double_review_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,3,3,0,3,true,true,0,0,0,材料齐备后完成A/B双人核页一致性记录；未完成前不得定案。,打开已就绪材料，安排A/B双人核页并填写一致性记录。,28179179cef736ff693797cab06b1092d3947a70e44ecadd7a46ed471eeed666,c1495d36767f3cc9f0b4d11a65d261f424ef3ed493029873837a67b242f51770,472ef412f89841d9b2199d98e05fc69af75161349a4c8f9cefcdb733f55658a8,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-2a7da5d2594fc36f,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,9,G0W0W1MATERIAL-2a7da5d2594fc36f,G0W0W1ACTIVE-2a7da5d2594fc36f,W0,一手证据与辅证采集,01,PDF原页记录,A01-PDF原页人工核页,P0-PDF原页先核,056-left,56,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_pdf_original_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,0,3,0,3,true,true,0,0,0,材料齐备后填写PDF原页人工记录；不得直接写回字段事实。,打开已就绪材料，优先补PDF原页人工核页记录。,654c39a910a073a118d5b2f94b3594e795c84c0c39233a33d5dde186d1f373a3,6572c8d7cf5172f2798f322cac34695aa288becce692a81eec0a66e2d1d36166,208873f0ffcfcc1bab83efd03f0ba0d4b2b9d187b6c92a02712de46b461a9948,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCH-1187aa448b46ec89,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行清单,页列×证据通道,false,false,false,false,false,false,false,false,false,10,G0W0W1MATERIAL-1187aa448b46ec89,G0W0W1ACTIVE-1187aa448b46ec89,W0,一手证据与辅证采集,02,湖北官方侧记录,A02-湖北官方侧核验,P1-湖北官方侧并行核,056-left,56,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,ready_private_materials_present,blocked_missing_hubei_official_records,ready_to_launch_human_review_not_fact,P0-有冲突线索，PDF原页优先人工核验:3,O0-PDFOCR与高校辅证冲突:3,M0-无机器坐标提示:3,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,pending_hubei_official_review:3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3,pending_private_three_way_field_confirmation:3,blocked_until_pdf_hubei_school_three_way_closure:3,3,3,3,0,3,0,3,true,true,0,0,0,材料齐备后核湖北官方系统或省招办计划记录；高校源不得替代湖北官方侧。,打开已就绪材料，补湖北官方侧核验记录；官方侧不可用时继续保留阻断。,0b1ee2eae6fe6aa3d79bf14ce9056b76a3b3cfd0ddd4e174007596f5c8ae4dd4,6572c8d7cf5172f2798f322cac34695aa288becce692a81eec0a66e2d1d36166,208873f0ffcfcc1bab83efd03f0ba0d4b2b9d187b6c92a02712de46b461a9948,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,公开层只保存开核动作、状态桶、计数、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
