G0字段闭环进度页列汇总ID,来源G0字段闭环进度清单,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,候选分层桶分布,字段事实状态分布,闭环准出阶段分布,PDF原页待补字段数,湖北官方待补字段数,高校辅证待补字段数,冲突处理待补字段数,双人复核待补字段数,三方闭环待补字段数,字段确认待补字段数,写回评审待补字段数,证据通道数,当前可并行通道数,前置阻断通道数,高校源可DoubleCheck字段数,结构化接入候选字段数,页列下一步动作,字段事实集合SHA256,缺口任务集合SHA256,公开安全策略
G0-FIELD-PROGRESS-PAGE-cbffb8b306cfd709,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,1,018-left,18,left,12,4,4,1,专业计划数:4；再选科目:4；学费:4,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,K0-字段缺口无候选需原页重读:3；K1-字段缺口有候选待PDF原页和官方核验:2；K2-OCR候选存在但三方核验未闭环:7,F0-先补PDF原页并处理冲突:6；F1-高校线索回PDF原页:5；F3-补PDF原页基础记录:1,12,12,12,12,3,12,12,12,87,39,48,12,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,f88dc63525e173687a53c72bd4e051d9ccee5e6f157ecb1964cef5ea0066bdcc,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-cedec778e3daede9,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,2,037-left,37,left,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,K2-OCR候选存在但三方核验未闭环:3,F0-先补PDF原页并处理冲突:2；F3-补PDF原页基础记录:1,3,3,3,3,3,3,3,3,24,12,12,3,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,223670d4659372651ddbdbebcf0473dab7d786db013bf4b3e9c92cf41ebeaf71,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-9c1acbec81c9bf20,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,3,056-left,56,left,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,K0-字段缺口无候选需原页重读:1；K2-OCR候选存在但三方核验未闭环:2,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,3,3,3,3,0,3,3,3,21,9,12,3,3,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,b5b486c7d4f63874931eeae488df7b88aab2bd59eb5975119e2a4cfcc94d04a8,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-9ceeb9b05dfed991,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,4,135-left,135,left,21,10,10,1,专业计划数:10；再选科目:1；学费:10,C0-双侧候选冲突优先核:10；C1-双侧候选一致但仍待核:4；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:6,K1-字段缺口有候选待PDF原页和官方核验:16；K2-OCR候选存在但三方核验未闭环:5,F0-先补PDF原页并处理冲突:10；F1-高校线索回PDF原页:6；F2-PDFOCR候选需补辅证并核原页:1；F3-补PDF原页基础记录:4,21,21,21,21,21,21,21,21,168,84,84,21,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,d63a1d275d5e336288cd1876ed7f70bb5dd1ecc9e70e7e3c88f2239301b37bee,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-b33188a2db2be015,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,5,137-right,137,right,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:2,K2-OCR候选存在但三方核验未闭环:3,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:2,3,3,3,3,3,3,3,3,24,12,12,3,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,57e32c820ebddf81a30c7329e3b8e1203612bec1fe0a9c0626d5e3c1656f174c,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-6a54b9b79c95da15,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,6,169-right,169,right,2,1,1,1,专业计划数:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1,K2-OCR候选存在但三方核验未闭环:2,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:1,2,2,2,2,2,2,2,2,16,8,8,2,2,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,5eed06564a4d35da22045aeac7a97a8680749ec334ddf6051320682d3cd80e87,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-abefafa11060075a,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,7,199-left,199,left,9,3,3,1,专业计划数:3；再选科目:3；学费:3,C0-双侧候选冲突优先核:4；C3-仅高校辅证候选需核原页:5,K1-字段缺口有候选待PDF原页和官方核验:8；K2-OCR候选存在但三方核验未闭环:1,F0-先补PDF原页并处理冲突:4；F1-高校线索回PDF原页:5,9,9,9,9,9,9,9,9,72,36,36,9,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,ef7fd5f0927bc3d0a15ab77bebdd582cf1b578585b9d0604e5a5946e8e736970,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-331662dc08d55b61,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,8,209-right,209,right,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,K1-字段缺口有候选待PDF原页和官方核验:2；K2-OCR候选存在但三方核验未闭环:4,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,6,6,6,6,6,6,6,6,48,24,24,6,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,1c63b8d7cd0fe60247eb7f94073828419796d6d6a403fe4e859707601cfa32b4,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-0a74375f252b63eb,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,9,226-left,226,left,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,K0-字段缺口无候选需原页重读:1；K2-OCR候选存在但三方核验未闭环:2,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,3,3,3,3,0,3,3,3,21,9,12,3,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,ee21c2ce2cefbbb5d34914e38579b0b78ac8a7d72b18eaa849f9c9afa17c8c19,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
G0-FIELD-PROGRESS-PAGE-f0ea9f33ba4cffbc,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_closure_progress_v1,PDF页码×版面列,10个G0页列字段事实闭环进度汇总,false,false,false,false,false,false,false,false,false,10,226-right,226,right,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,K0-字段缺口无候选需原页重读:2；K2-OCR候选存在但三方核验未闭环:4,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,6,6,6,6,0,6,6,6,42,18,24,6,0,优先补PDF原页和湖北官方侧；冲突字段完成双人复核后再三方闭环。,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,b94d637dbdcf77024426385f6b3432a27516efb285039bda837f483229aa653a,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
