G0字段W0W1页列通道汇总ID,来源G0字段W0W1可执行通道项,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列通道汇总序号,页码版面键,来源页码,版面列,证据通道序号,证据通道,当前执行波次,当前证据动作组,执行项数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,候选分层桶分布,闭环准出阶段分布,当前通道状态分布,当前阻断桶分布,通道回填状态分布,需要双人复核字段数,高校源可DoubleCheck字段数,结构化接入候选字段数,页列通道解除阻断条件,页列通道下一步动作,字段事实集合SHA256,缺口任务集合SHA256,公开安全策略
G0-W0W1-ACTION-PAGE-CHANNEL-7b1a9737df420d70,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,1,018-left,18,left,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:6；F1-高校线索回PDF原页:5；F3-补PDF原页基础记录:1,pending_pdf_page_review:12,G0-缺PDF原页记录:12,pending_private_evidence_record:12,3,12,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,2bc901ca04c60c70179152dd17f1e18b202ddcec944c49fe67e579547adc2804,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-e637be46654a3a7a,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,2,018-left,18,left,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:6；F1-高校线索回PDF原页:5；F3-补PDF原页基础记录:1,pending_hubei_official_plan_review:12,G1-缺湖北官方记录:12,pending_private_evidence_record:12,3,12,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,8cc72787fcb390493d3d7feeefed43f23409454eafc40f352987e99595d53e2f,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-6017c852ae284bd0,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,3,018-left,18,left,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,C0-双侧候选冲突优先核:6；C1-双侧候选一致但仍待核:1；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:6；F1-高校线索回PDF原页:5；F3-补PDF原页基础记录:1,school_source_seed_present_pending_manual_review:12,G2b-高校辅证种子待人工核验:12,pending_private_evidence_record:12,3,12,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,ffb9a55fd35bd544017d7cb846c438aaeb6b7c7372a3cfb3354448331c632a9c,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-28d6512e6b7dd9a5,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,4,018-left,18,left,05,双人复核,W1-双人复核,A3-冲突字段双人复核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:2；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:1,pending_double_review:3,G4-双人复核未完成:3,pending_private_evidence_record:3,3,3,0,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,e7ea32bab9dcd95d0bbefe9cb3890944c8f5f6fe35b95cd9dd826bba62cdd728,d4161d36dc7d0ca9dc80c4999be78976db3731cfccdb3070f0484b82642bd881,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-0bb9e6ad19c45cdc,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,5,037-left,37,left,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,F0-先补PDF原页并处理冲突:2；F3-补PDF原页基础记录:1,pending_pdf_page_review:3,G0-缺PDF原页记录:3,pending_private_evidence_record:3,3,3,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,7fa6d5c86c5498c030f16120bf11a3d5958e024170bb6e66a2fa0ec88a97696a,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-19bbb16e6f362bc8,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,6,037-left,37,left,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,F0-先补PDF原页并处理冲突:2；F3-补PDF原页基础记录:1,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,pending_private_evidence_record:3,3,3,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,55c01461c025e9870d9b305a75a5e5b9ab92b005b8f13a77f1ffe30b10db69f0,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-ae7269204e36f719,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,7,037-left,37,left,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,F0-先补PDF原页并处理冲突:2；F3-补PDF原页基础记录:1,school_source_seed_present_pending_manual_review:3,G2b-高校辅证种子待人工核验:3,pending_private_evidence_record:3,3,3,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,5acc21f43ddc8e95d8e8fb82e8c747e2e2035445c8dbe5072cd087b1e06f5806,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-c023fa7af3f173a2,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,8,037-left,37,left,05,双人复核,W1-双人复核,A3-冲突字段双人复核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:1,F0-先补PDF原页并处理冲突:2；F3-补PDF原页基础记录:1,pending_double_review:3,G4-双人复核未完成:3,pending_private_evidence_record:3,3,3,0,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,28179179cef736ff693797cab06b1092d3947a70e44ecadd7a46ed471eeed666,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-2c31b333ed9f212a,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,9,056-left,56,left,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,pending_pdf_page_review:3,G0-缺PDF原页记录:3,pending_private_evidence_record:3,0,3,3,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,654c39a910a073a118d5b2f94b3594e795c84c0c39233a33d5dde186d1f373a3,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-f8d5dbaaa3d2a143,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,10,056-left,56,left,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,pending_private_evidence_record:3,0,3,3,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,0b1ee2eae6fe6aa3d79bf14ce9056b76a3b3cfd0ddd4e174007596f5c8ae4dd4,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
