G0字段W0W1可执行通道项ID,来源G0字段闭环进度表,来源G0字段补证缺口任务,来源G0字段W0W1开核执行清单,来源G0字段W0W1主动工作板,来源第一闭环证据仲裁总视图,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,执行项序号,证据通道序号,证据通道,证据通道类型,证据通道执行层级,当前执行波次,当前证据动作组,通道执行优先级,G0冲突字段补证缺口任务公开账本ID,G0字段闭环进度ID,G0冲突字段W0W1开核执行清单ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,第一闭环字段核验状态ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,事实域,事实类型,字段名,字段事实状态,候选分层桶,闭环准出阶段,证据缺口任务状态,是否当前可并行执行,当前通道状态,当前阻断桶,PDF原页记录状态,湖北官方记录状态,高校辅证人工核验状态,冲突处理状态,双人复核状态,三方一致性闭环状态,字段确认状态,写回评审状态,必要证据缺口数,字段剩余缺口通道数,高校源可DoubleCheck提示,结构化接入候选数,通道回填状态,解除阻断条件,下一步执行动作,来源缺口任务记录SHA256,来源字段进度记录SHA256,来源开核执行包SHA256,公开安全策略
G0-W0W1-ACTION-ITEM-6a4d296e46753d94,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,1,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-389e3b2ca6a243a6,G0-FIELD-PROGRESS-cf1e91ca5f0c677a,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-d1fa53a49e6555c6,FIRSTFACT-4b5b60a8920eef51,FIRSTFIELDSTATUS-6f78b3ee481b553d,FIRSTDETAIL-0a008f059b306a64,018-left,18,left,M-f588b8040b4edb64,G-2432826275c85956,A033,字段事实,字段事实-专业计划数,专业计划数,K0-字段缺口无候选需原页重读,C3-仅高校辅证候选需核原页,F1-高校线索回PDF原页,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,606abaa06c64a2688d3e66db012da4990e1e38717d8d3fc6adb2177a67e38065,7a546cdadf78a739750815359572fb5b2c90ad2d3547f8b7f4d1e235c3df2881,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-b9db8e59504a6b5e,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,2,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-71925e32fe61e8a4,G0-FIELD-PROGRESS-ef0375269e22461e,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-b0bd625edcb32076,FIRSTFACT-5a6ababf37cc2dcd,FIRSTFIELDSTATUS-f43e418a4a9f10a4,FIRSTDETAIL-0a008f059b306a64,018-left,18,left,M-f588b8040b4edb64,G-2432826275c85956,A033,字段事实,字段事实-再选科目,再选科目,K1-字段缺口有候选待PDF原页和官方核验,C3-仅高校辅证候选需核原页,F1-高校线索回PDF原页,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,cbfa80d2e043144aad643c246da8fe54018f404d5487971c37e00662f366806d,7528a07c5b5439e6c3dc16d066143311c8335ded28c165a956c4e45f5da6178f,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-9937f7f33082a991,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,3,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-7e6b73726565b65a,G0-FIELD-PROGRESS-2781c7480169e844,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-5b6f6c1d55978676,FIRSTFACT-d7184b81690c695d,FIRSTFIELDSTATUS-61740be8abd131e9,FIRSTDETAIL-0a008f059b306a64,018-left,18,left,M-f588b8040b4edb64,G-2432826275c85956,A033,字段事实,字段事实-学费,学费,K2-OCR候选存在但三方核验未闭环,C0-双侧候选冲突优先核,F0-先补PDF原页并处理冲突,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,0ea769d4299e0dcbab685f436820da97ffef6d85f7936baa14e92c94128266c5,3abb56f3203f0bea3648c2012574477044a914c6a2ca9b7e94c85d52079f2b8b,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-49b99159c14c7321,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,4,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-0176bf4b18a18966,G0-FIELD-PROGRESS-2b98141a941b8703,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-3b1d59c3184b4139,FIRSTFACT-f4521d23bb9fc30f,FIRSTFIELDSTATUS-8ab94248db9b730f,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,K2-OCR候选存在但三方核验未闭环,C0-双侧候选冲突优先核,F0-先补PDF原页并处理冲突,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,pending_double_review,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,8,8,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,5edd498b7e925c18491d40d582e4993388c7ebbc384d78ac4bdcef2201a967d8,a7d1264dabde0a83b7c0253bb30131a8520ac2a0d6c478fd696d091c2a4beffe,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-f88b0b3c2abbd626,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,5,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-c836aef529c5d22d,G0-FIELD-PROGRESS-85e6f3084f00d418,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-f2757af9ab482a10,FIRSTFACT-1dafb1ef5907de4c,FIRSTFIELDSTATUS-cf8dcb11b7937f5a,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-再选科目,再选科目,K1-字段缺口有候选待PDF原页和官方核验,C3-仅高校辅证候选需核原页,F1-高校线索回PDF原页,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,pending_double_review,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,8,8,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,ce1a2b364dd699a59d6a06c934a9c270c32ce7427bc705cb3cb3abed891b99d2,a850dca2c35286e43cde05213765198b147a37bac8fae014c37f00bf55f08670,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-e45d57eb35a9e3b5,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,6,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-ba5d4bfb5bc60f82,G0-FIELD-PROGRESS-af3dc23d2efff2f3,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-a611ef86b4894675,FIRSTFACT-a956bb241116644e,FIRSTFIELDSTATUS-7b698eab33ca3b53,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,字段事实,字段事实-学费,学费,K2-OCR候选存在但三方核验未闭环,C0-双侧候选冲突优先核,F0-先补PDF原页并处理冲突,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,pending_double_review,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,8,8,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,a6a12087829fc7f3aa4f41c1b670229ce58b3a031d0f9ca0deb7ebbea658f4ef,5f0d8526ebafc4003e60738fb2ea8a643f73e0d06487694a2f8790d04a1e406e,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-63d9a2a78367ba2e,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,7,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-5363cdedbd79cca6,G0-FIELD-PROGRESS-c4f1644b873242f2,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-e56423360a12c9d9,FIRSTFACT-45c9396c88349f1c,FIRSTFIELDSTATUS-2b66532af14e9c20,FIRSTDETAIL-8bf313b58dad8c1d,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,字段事实,字段事实-专业计划数,专业计划数,K0-字段缺口无候选需原页重读,C3-仅高校辅证候选需核原页,F1-高校线索回PDF原页,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,aafe1798d2f60b63cb9242c4263a317124c221a9a17b9320aca5e21cd3e8387e,c007c85f7c3371c2b8613f57ca5e288a5c691975cf1a90611cf14f84dc3a715c,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-c49a0fade8d0abf1,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,8,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-b2a6ed3c14e338a2,G0-FIELD-PROGRESS-574e5c54f823d5de,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-177434c3f6ebcd46,FIRSTFACT-68389f4550873cb7,FIRSTFIELDSTATUS-ed72566660f16d57,FIRSTDETAIL-8bf313b58dad8c1d,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,字段事实,字段事实-再选科目,再选科目,K2-OCR候选存在但三方核验未闭环,C0-双侧候选冲突优先核,F0-先补PDF原页并处理冲突,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,f27b68091010826a015a9cd8f9f0a8a47658f544f0cb35e05fab42fdbb8fd578,b116eab14687b6d4a828f707509070e5037e5892a852ccf43dd4b940ce9d09c9,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-efcca62ff3043e33,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,9,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-e988a2ab77b17e7d,G0-FIELD-PROGRESS-c4f82701d5fe7f3b,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-5d2473d678a8af05,FIRSTFACT-61273d4f0304ef03,FIRSTFIELDSTATUS-ff012ce931224b51,FIRSTDETAIL-8bf313b58dad8c1d,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,字段事实,字段事实-学费,学费,K2-OCR候选存在但三方核验未闭环,C0-双侧候选冲突优先核,F0-先补PDF原页并处理冲突,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,a3459ef53cd0a8ca24ca846208ca4782ba4418a55c6d4109ac1d058a779bb236,76b78b05513225fa832051fc78a1530c84b2eaad4f7f713d1c1c1edd45dbb7c2,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
G0-W0W1-ACTION-ITEM-d136a1c477f35c29,data/working/issue19-first-closure-g0-field-closure-progress-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-active-workboard-v1-public-ledger.csv,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,G0字段事实×W0W1证据通道,当前可并行执行证据通道项,false,false,false,false,false,false,false,false,false,10,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,W0-一手证据与辅证采集,A0-补PDF原页记录,01-PDF原页优先,G0FIELDGAPTASK-43004893cb4ac116,G0-FIELD-PROGRESS-489db8c101b9891c,G0W0W1LAUNCH-76972e6d554bb480,FIRSTSCOPE-155c4e4beafdecac,FIRSTFACT-e8c001845f65d0cd,FIRSTFIELDSTATUS-ac9b613b148586b8,FIRSTDETAIL-ab6063ed0b37268b,018-left,18,left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,字段事实,字段事实-专业计划数,专业计划数,K0-字段缺口无候选需原页重读,C3-仅高校辅证候选需核原页,F1-高校线索回PDF原页,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,pending_pdf_page_review,pending_hubei_official_plan_review,school_source_seed_present_pending_manual_review,pending_conflict_resolution,not_required,blocked_missing_pdf,blocked,blocked_until_required_evidence_closed,7,7,true,0,pending_private_evidence_record,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,0dab1ff25388ee349885413663b6c9c0e525a7a035ebe81d7746bb1eda64c0ad,6f44f3be52ad47cc7e6f8ba2bdd063c15133b5c301ca2f1235b29ed29a25522a,87720e9f652f9d37d4487f1f86f3483e6e09303e43b92979851a6bf18861b7ae,只公开可执行通道、状态、ID和SHA；不公开敏感明细、字段记录或最终志愿建议。
