第一闭环准出执行叠加ID,来源第一闭环执行队列,来源第一闭环事实准出门禁账本,来源第一闭环事实准出页列汇总,来源第一闭环核验结果页列汇总,来源第一闭环公开证据地图,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,是否可以自动闭环,叠加序号,来源执行顺序,页码版面键,来源页码,版面列,执行泳道,第一闭环页列优先级,准出闭环波次,准出闭环优先级,页列主阻断,执行队列首要动作,准出主动作,准出完成条件,页列任务数,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,PDFOCR提示任务数,PDFOCR无候选任务数,机器坐标提示任务数,PDFOCR与高校辅证冲突任务数,需要人工直接看图任务数,需要双人复核任务数,PDF待补事实数,湖北官方待补事实数,高校辅证待补事实数,冲突待处理事实数,双人复核待完成事实数,三方闭环待完成事实数,专业名归属待闭环事实数,专业组边界待闭环事实数,可进入私有写回评审事实数,W0B0核心阻断事实数,B0同页伴生阻断事实数,结构事实阻断事实数,双人复核阻断事实数,人工看图阻断事实数,常规阻断事实数,是否仍需PDF原页,是否仍需湖北官方侧,是否仍需高校辅证,是否仍需冲突处理,是否仍需双人复核,是否仍需专业名归属,是否仍需专业组边界,事实准出状态分布,事实准出阻断等级分布,事实类型分布,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,公开安全策略,下一步
FCRESEXEC-2fe31f8f7c0833de,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,1,1,135-left,135,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,04662-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=22；湖北官方侧事实补齐=22；三方闭环补齐=22；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,10,22,21,0,1,10,1,10,10,10,10,0,0,10,10,10,22,22,21,22,22,22,0,1,0,22,0,0,0,0,0,true,true,true,true,true,false,true,blocked_w0_b0_core_pdf_hubei×22,G0-W0B0核心事实优先阻断×22,专业组边界事实×1；字段事实-专业计划数×10；字段事实-再选科目×1；字段事实-学费×10,b9997a61561ca9b5,4b5c932e832ca2fe,8920ff86c3af081e,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-f236d4d82a7316c1,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,2,2,199-left,199,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,02563-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=13；湖北官方侧事实补齐=13；三方闭环补齐=13；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,5,13,11,1,1,5,1,5,5,3,4,1,1,3,3,4,13,13,9,13,11,13,1,1,0,11,2,0,0,0,0,true,true,true,true,true,true,true,blocked_b0_companion_pdf_hubei×2；blocked_w0_b0_core_pdf_hubei×11,G0-W0B0核心事实优先阻断×11；G1-B0同页伴生事实阻断×2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×3；字段事实-学费×4,abdbddc44f6fe8b0,35d5e9e75dc9c4b6,fb61c7c1175189cf,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-5b77311f3134fdd6,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,3,3,209-right,209,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,04281-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=31；湖北官方侧事实补齐=31；三方闭环补齐=31；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,13,31,27,3,1,13,1,13,13,6,9,4,0,2,6,4,31,31,18,31,9,31,3,1,0,10,21,0,0,0,0,true,true,true,true,true,true,true,blocked_b0_companion_pdf_hubei×21；blocked_w0_b0_core_pdf_hubei×10,G0-W0B0核心事实优先阻断×10；G1-B0同页伴生事实阻断×21,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×12；字段事实-再选科目×6；字段事实-学费×9,1980f09f4e49e694,2b6dac3f008ab633,a764f5f65a608731,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-670dd8fd3630cdb9,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,4,4,169-right,169,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,04457-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=37；湖北官方侧事实补齐=37；三方闭环补齐=37；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,22,37,35,1,1,22,1,22,22,11,12,10,0,1,11,10,37,37,23,37,12,37,1,1,0,4,33,0,0,0,0,true,true,true,true,true,true,true,blocked_b0_companion_pdf_hubei×33；blocked_w0_b0_core_pdf_hubei×4,G0-W0B0核心事实优先阻断×4；G1-B0同页伴生事实阻断×33,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×22；字段事实-再选科目×1；字段事实-学费×12,5aa1793e9d49dbe9,f450896d976d918f,e33aa8070796cc4b,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-9d09fa448802d3c6,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,5,5,018-left,18,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,04906-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=36；湖北官方侧事实补齐=36；三方闭环补齐=36；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,17,36,35,0,1,17,1,17,17,9,9,8,5,4,7,4,36,36,27,36,7,36,0,1,0,13,23,0,0,0,0,true,true,true,true,true,false,true,blocked_b0_companion_pdf_hubei×23；blocked_w0_b0_core_pdf_hubei×13,G0-W0B0核心事实优先阻断×13；G1-B0同页伴生事实阻断×23,专业组边界事实×1；字段事实-专业计划数×17；字段事实-再选科目×9；字段事实-学费×9,6c0d176f702c3df4,6d0475e597528d7a,840bc543dcc720ba,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-39cfc7bcbd00517f,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,6,6,037-left,37,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,01831-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=11；湖北官方侧事实补齐=11；三方闭环补齐=11；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,5,11,8,2,1,5,1,5,5,1,3,2,0,1,3,3,11,11,3,11,6,11,2,1,0,6,5,0,0,0,0,true,true,true,true,true,true,true,blocked_b0_companion_pdf_hubei×5；blocked_w0_b0_core_pdf_hubei×6,G0-W0B0核心事实优先阻断×6；G1-B0同页伴生事实阻断×5,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×2,c6a0c341bd372587,dd4dc3738d81ee7a,acbf576b6b2a67d7,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-14b8d8af7e604892,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,7,7,137-right,137,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,00864-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=4；湖北官方侧事实补齐=4；三方闭环补齐=4；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,1,4,3,0,1,1,1,1,1,1,1,0,0,1,1,1,4,4,3,4,4,4,0,1,0,4,0,0,0,0,0,true,true,true,true,true,false,true,blocked_w0_b0_core_pdf_hubei×4,G0-W0B0核心事实优先阻断×4,专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,cef159c36a36333b,5ca8c98107449f25,67c655f4d9411562,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-802cdb191c00122c,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,8,8,194-left,194,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R2-双人复核事实先闭环,00238-沿执行顺序核页,B2-机器坐标候选辅助核页,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先完成双人复核，再补PDF原页、湖北官方侧和必要高校辅证记录。,PDF原页事实补齐=8；湖北官方侧事实补齐=8；三方闭环补齐=8；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,7,8,7,0,1,7,1,7,7,0,0,7,7,0,0,7,8,8,0,0,7,8,0,1,0,0,0,1,7,0,0,true,true,false,false,true,false,true,blocked_double_review_pdf_hubei×7；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×7,专业组边界事实×1；字段事实-专业计划数×7,f669578709ffaf75,d863a28d6b83c275,9404a186764f4c68,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-49dfd962eacfb463,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,9,9,056-left,56,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R0-W0B0冲突事实先闭环,03792-沿执行顺序核页,B0-PDFOCR与高校辅证冲突,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核PDF原页和湖北官方侧；冲突事实必须完成双人复核和三方闭环后才可进入写回评审。,PDF原页事实补齐=32；湖北官方侧事实补齐=32；三方闭环补齐=32；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,16,32,30,1,1,16,2,16,16,7,8,8,5,1,4,3,32,32,21,32,4,32,1,1,0,5,27,0,0,0,0,true,true,true,true,true,true,true,blocked_b0_companion_pdf_hubei×27；blocked_w0_b0_core_pdf_hubei×5,G0-W0B0核心事实优先阻断×5；G1-B0同页伴生事实阻断×27,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×15；字段事实-再选科目×7；字段事实-学费×8,eb529bdba7f5711b,ba8efc01022de607,e171c52ec8cc8e00,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
FCRESEXEC-e6bb7a68cf2f9948,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-fact-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_resolution_execution_overlay_v1,PDF页码×版面列×事实准出执行叠加,页列执行队列×事实准出缺口×核验结果页列汇总,false,false,false,false,false,false,false,false,false,false,10,10,070-left,70,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,R1-专业名归属事实先闭环,00074-沿执行顺序核页,B2-机器坐标候选辅助核页,先核结构边界、源证据和官方查询键消歧，再处理字段明细值。,先核专业名归属和限定词归属，再随页核PDF原页、湖北官方侧和专业组边界。,PDF原页事实补齐=4；湖北官方侧事实补齐=4；三方闭环补齐=4；冲突、双人复核、专业名归属和专业组边界全部清零后，才可进入私有写回评审；仍不得直接生成推荐。,2,4,2,1,1,2,1,2,2,0,1,1,1,0,0,1,4,4,0,0,1,4,1,1,0,0,0,2,1,0,1,true,true,false,false,true,true,true,blocked_double_review_pdf_hubei×1；blocked_regular_pdf_hubei×1；blocked_structure_pdf_hubei×2,G2-结构事实PDF湖北官方先行×2；G3-双人复核待完成×1；G6-常规PDF湖北官方闭环待完成×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1,a651ea37f3c11e91,4d3edfee1e74ceda,9fd3efd1c6e4aa5c,not_final；execution_overlay_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation,按来源执行顺序回到私有核页材料，补PDF原页、湖北官方侧、必要高校辅证和双人复核记录；公开层只同步状态和计数。
