第一闭环核验结果页列汇总ID,来源第一闭环核验结果表,来源第一闭环下一步动作页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,第一闭环页列下一步动作ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,涉及专业行数,涉及院校代码数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,需要人工直接看图任务数,任务结果桶分布,OCR提示状态分布,冲突状态分布,字段优先级分布,专业行字段缺口类型分布,页列主阻断,页列建议下一步动作,建议人工核验小包类型,建议物理小包数量,建议每包任务上限,关联任务集合SHA16,关联专业行集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,字段事实写回状态,完成条件,公开安全策略
FIRSTRESULTPAGE-6d031da2b2cf23eb,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,1,FIRSTNEXTPAGE-80950bd8a48caeb5,FIRSTPAGE-1d715f85ac144ecb,14,left,014-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P3-OCR齐全字段三方闭环×2,专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,404baf4c49c1b6d7,8c71bee2692e470d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-24fb9113254c6e7a,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,2,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTPAGE-ffc90431edf15154,18,left,018-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,17,9,1,4,0,5,3,0,5,17,17,17,4,7,R0-冲突优先双人核PDF原页和湖北官方侧×4；R2-机器坐标辅助核PDF原页×5；R3-无稳定候选需人工看图×3；R5-多源一致线索仍待湖北官方侧×5,O0-PDFOCR与高校辅证冲突×4；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×5；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×4；C2-多源有一致线索，仍待湖北官方侧闭环×5；C4-无可比候选，需人工看图或随页列闭环×8,P0-字段无候选原页重读×8；P1-字段有候选回看原页和官方×7；P3-OCR齐全字段三方闭环×12,专业计划数×6；再选科目×3；再选科目；专业计划数×18,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,2,10,0a8202098cacdea9,ae12d7b637e9b866,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-69cd77fbe71343ce,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,3,FIRSTNEXTPAGE-42b59058911d1a72,FIRSTPAGE-150f6369ef9f31d4,23,left,023-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,13cbfb1e36af745a,6901b00e7d063cd5,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-9f8c33709e5f3dda,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,4,FIRSTNEXTPAGE-7421365f0a13961c,FIRSTPAGE-807f1d9e99948b29,32,right,032-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×2；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,30eff5707b4360b6,66ebdc7c588f6532,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-279eb300a0520ffd,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,5,FIRSTNEXTPAGE-2ab88f50e0cb9744,FIRSTPAGE-9e2f12395b6c066b,33,right,033-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×2；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,b80557e735f494df,ddd3a6764beab160,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-226831b7333e966b,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,6,FIRSTNEXTPAGE-cd8b57889081d67e,FIRSTPAGE-71c8a1c59d84716c,36,right,036-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,0,0,0,0,1,0,1,1,1,0,0,R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1,C3-仅PDFOCR候选，需人工核页×1,P0-字段无候选原页重读×1；P3-OCR齐全字段三方闭环×2,专业计划数×3,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,P4-PDFOCR候选确认包,1,10,584b7e3b3175a43f,ac036c02f48f7d5b,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-e7b6ccc1284be2ed,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,7,FIRSTNEXTPAGE-90ed98cf234bcd4c,FIRSTPAGE-f58ca9d1af902d1a,37,left,037-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,5,1,1,0,0,2,2,0,5,5,5,3,3,R0-冲突优先双人核PDF原页和湖北官方侧×1；R3-无稳定候选需人工看图×2；R4-PDFOCR候选人工确认×2,O0-PDFOCR与高校辅证冲突×1；O3-仅PDFOCR候选待人工核页×2；O5-无公开OCR候选提示×2,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×1；C3-仅PDFOCR候选，需人工核页×2；C4-无可比候选，需人工看图或随页列闭环×2,P0-字段无候选原页重读×5；P3-OCR齐全字段三方闭环×10,再选科目×9；再选科目；学费×3；无机器字段缺口×3,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,1,10,4eafb460621ed704,671b6d45c15cb61d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-9f33ed4bab7ca126,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,8,FIRSTNEXTPAGE-2c72282f51bd6a85,FIRSTPAGE-38a317f5bf72d0ce,38,right,038-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,1,0,0,2,0,0,0,2,2,0,2,0,R2-机器坐标辅助核PDF原页×2,O4-无PDFOCR但有机器坐标提示×2,C4-无可比候选，需人工看图或随页列闭环×2,P0-字段无候选原页重读×4；P3-OCR齐全字段三方闭环×2,再选科目；专业计划数×6,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,a3c15daccd6546c7,32c402bce04b5c4d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-92bee17e27a1dc91,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,9,FIRSTNEXTPAGE-2084d43d5a33eb89,FIRSTPAGE-6877343afbe11307,40,right,040-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,b33308ff77db1b45,689361afb565f744,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-0f2b72b00ca96110,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,10,FIRSTNEXTPAGE-f692c7e6f2199038,FIRSTPAGE-cc413d4ed28b64a8,43,left,043-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×3,再选科目；专业计划数；学费×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,da10e8a4c87eabaf,acbf20b43e5a2176,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
