第一闭环核验结果ID,来源第一闭环下一步动作矩阵,来源第一闭环页列下一步汇总,来源第一闭环证据状态账本,来源字段事实核验任务,来源高校源E0人工回页队列,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,结果序号,第一闭环下一步动作ID,第一闭环证据状态公开账本ID,第一闭环页列下一步动作ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,第一闭环页列优先级,核验动作层级,任务结果桶,核验结果状态,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,专业行字段任务数,专业行P0字段任务数,专业行P1字段任务数,专业行P3字段任务数,专业行字段状态分布,专业行字段缺口类型分布,页列任务数,页列双人复核任务数,页列人工看图任务数,页列高校辅证线索任务数,页列核验动作层级分布,同校E0人工回页提示状态,同校E0人工回页任务数,同校E0人工回页风险桶分布,同校E0人工回页队列集合SHA16,完成证据要求,当前阻断原因,下一步核验动作,公开安全策略
FIRSTRESULT-376e2cb7c2aac408,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,1,FIRSTNEXT-6f42905cd03d102c,FIRSTEVID-5e21ecba110c462d,FIRSTNEXTPAGE-80950bd8a48caeb5,FIRSTDETAIL-9bf7591b36b04599,FIRSTPAGE-1d715f85ac144ecb,14,left,014-left,M-0e3eab5eafd98476,G-3a0c940c9affcb18,A010,P0人工字段任务,专业计划数,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S0-无高校字段线索，本任务高校辅证不适用,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,true,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,专业计划数×3,1,0,0,0,N2-机器坐标辅助核PDF原页×1,H0-同校暂无E0人工回页队列,0,,,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-9bb5a0770cde9499,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,2,FIRSTNEXT-a9159d1aa92823f3,FIRSTEVID-f841a32701e6db43,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,pending_pdf_hubei_school_closure,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,false,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-e75f529fa30e4df4,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,3,FIRSTNEXT-1a521500255b438c,FIRSTEVID-bc7fd325eb5f4852,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-6e2d3b4c7f4c6ceb,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,pending_pdf_hubei_school_closure,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,3,0,1,2,K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-44737be2e755c649,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,4,FIRSTNEXT-b7d8920048a359ce,FIRSTEVID-f02342c9d3b50f94,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-8bf313b58dad8c1d,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-93d6111287b31e95,G-2432826275c85956,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,pending_pdf_hubei_school_closure,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-d1494dbd258b6f14,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,5,FIRSTNEXT-6c0ad8a0ed7b6459,FIRSTEVID-e70604fb5f756126,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-ab6063ed0b37268b,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N0-先双人核PDF原页冲突,R0-冲突优先双人核PDF原页和湖北官方侧,pending_pdf_hubei_school_closure,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；PDFOCR与高校辅证存在冲突线索,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-f18ec005bea7d5dc,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,6,FIRSTNEXT-38144f246e303631,FIRSTEVID-b054a6b74cbe30b0,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-18f6e592f362a091,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,false,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-3ae21056a083958b,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,7,FIRSTNEXT-2c93d8d574d554ce,FIRSTEVID-b867f367b728454b,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-5386851502856401,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-93d6111287b31e95,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-f2a51c3dc4a5d268,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,8,FIRSTNEXT-a6d6125b20f073ea,FIRSTEVID-7bc99830a641680d,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-72a68e80599c0d0d,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-cdca081e210c570a,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,9,FIRSTNEXT-cc59f1cfc92a6fc9,FIRSTEVID-ffcbdf1d771eb8e0,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-83d8fa6dcdc1b3f9,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-d52b9b951aa3b3b1,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,false,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-9b27bde188924bcd,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,10,FIRSTNEXT-f11a182dffa307cd,FIRSTEVID-0b646c9677a5495c,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTDETAIL-bbe99b50911e7f34,FIRSTPAGE-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,false,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,17,4,3,9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M1-OCR补缺线索先核×1,cc7892ba4b27bcd1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
