页级闭环索引ID,来源逐专业闭环批次表,来源期号,来源PDF_SHA256,数据阶段,索引粒度,最终可用,可进入下一阶段,PDF页码,页级执行总序,页面专业明细数,涉及院校数,涉及专业组数,C0_P0主批次专业明细数,C1字段缺口主批次专业明细数,C2官网辅证主批次专业明细数,C3常规三方主批次专业明细数,C4低风险抽检主批次专业明细数,含官网辅证任务专业明细数,B0B1官网差异专业明细数,有高校官网来源线索专业明细数,偏好专业明细数,数字媒体技术专业明细数,计算机类相关专业明细数,师范类相关专业明细数,字段缺口字段Top,首个专业行ID,首个院校代码,首个院校名称OCR,首要核验动作,下一步
CLOSEPAGE-1574bddb75c78a6f,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,16,1,42,3,15,42,0,0,0,0,36,36,36,4,1,4,0,再选科目；专业计划数；学费,M-db1fe898054aeeb3,A022,北京林业大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-cb7a1d775e800fd1,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,37,2,44,2,8,14,29,0,1,0,12,12,12,7,1,7,0,再选科目；专业计划数；学费,M-f7fc1e53365bb4e8,A135,山东大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-e1a864f0b77f6c89,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,137,3,38,4,14,32,3,0,1,2,29,29,29,7,2,6,0,再选科目；专业计划数；学费,M-9e26fdb0260351e2,H002,浙江工业大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-12c6fc06c99a4623,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,22,4,42,3,7,20,21,0,1,0,0,0,0,10,1,10,0,专业计划数；再选科目；学费,M-d8e2292059e6cf31,A071,大连理工大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-98fbc42faedc0249,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,44,5,42,3,8,19,21,0,2,0,0,0,0,16,1,16,0,再选科目；专业计划数；学费,M-4c1423fc4523ce81,A157,湖南大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-d02560dd9d7db446,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,71,6,72,3,12,29,40,0,2,1,0,0,0,12,2,12,0,再选科目；专业计划数；学费,M-bcc67a77004462f7,C109,武汉工程大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-8b7471f4ae0bf59f,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,129,8,44,6,12,28,14,0,2,0,0,0,0,3,1,3,0,再选科目；学费；专业计划数,M-1350436bb06063ce,F791,上海大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-a1422e6a168630cd,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,109,9,61,8,24,25,29,0,2,5,12,12,12,19,1,7,12,再选科目；专业计划数；学费,M-b11b9f49fcb51333,F305,忻州师范学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-4cd66dfabbd964f8,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,91,10,82,3,7,35,43,0,4,0,0,0,0,26,1,19,7,再选科目；学费；专业计划数,M-59dcb450388bed67,C235,湖北商贸学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-6fb84aed32facd12,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,96,11,63,8,19,28,34,0,1,0,13,13,13,16,1,6,11,专业计划数；再选科目；学费,M-d8488b50e4754400,F097,天津师范大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
