学校闭环索引ID,来源逐专业闭环批次表,来源期号,来源PDF_SHA256,数据阶段,索引粒度,最终可用,可进入下一阶段,院校代码,院校名称OCR,学校执行总序,专业明细数,涉及PDF页数,涉及专业组数,C0_P0主批次专业明细数,C1字段缺口主批次专业明细数,C2官网辅证主批次专业明细数,C3常规三方主批次专业明细数,C4低风险抽检主批次专业明细数,含官网辅证任务专业明细数,B0B1官网差异专业明细数,有高校官网来源线索专业明细数,偏好专业明细数,高校官网来源状态分布,首个PDF页码,首个专业行ID,首要核验动作,下一步
CLOSESCHOOL-10793604d4e4f53d,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A022,北京林业大学,1,36,1,11,36,0,0,0,0,36,36,36,4,has_partial_source_needs_followup:36,16,M-db1fe898054aeeb3,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-881896b1ddb77d86,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A135,山东大学,2,19,2,4,19,0,0,0,0,19,19,19,4,has_reusable_2026_hubei_plan_source:19,37,M-f7fc1e53365bb4e8,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-e1681e706048e394,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H002,浙江工业大学,3,10,1,4,10,0,0,0,0,10,10,10,1,needs_official_plan_source_search:10,137,M-9e26fdb0260351e2,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-c95a45aa62fab4a1,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A071,大连理工大学,4,10,2,3,3,7,0,0,0,0,0,0,5,not_yet_school_source_searched_in_full_workbench:10,22,M-d8e2292059e6cf31,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-834eb5d83936b039,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A157,湖南大学,5,32,1,5,16,15,0,1,0,0,0,0,14,not_yet_school_source_searched_in_full_workbench:32,44,M-4c1423fc4523ce81,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-0908ca2a5ba3e2ca,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,C109,武汉工程大学,6,75,2,10,24,48,0,2,1,0,0,0,13,not_yet_school_source_searched_in_full_workbench:75,71,M-bcc67a77004462f7,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-c0001eae3fecb5ef,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F791,上海大学,8,13,2,5,6,6,0,1,0,0,0,0,2,not_yet_school_source_searched_in_full_workbench:13,129,M-1350436bb06063ce,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-0750a8b14bb18d6d,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F305,忻州师范学院,9,12,1,4,12,0,0,0,0,12,12,12,8,has_partial_source_needs_followup:12,109,M-b11b9f49fcb51333,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-bde9e9a42121684d,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,C235,湖北商贸学院,10,24,1,2,10,13,0,1,0,0,0,0,7,not_yet_school_source_searched_in_full_workbench:24,91,M-59dcb450388bed67,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-b660bd1bd9868d60,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F097,天津师范大学,11,11,1,2,5,5,0,1,0,0,0,0,4,not_yet_school_source_searched_in_full_workbench:11,96,M-d8488b50e4754400,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
