来源期号,来源PDF_SHA256,来源页码,页面专业组数,页面专业明细数,页面院校数,页面结构异常数,页面高严重结构异常数,页面偏好专业明细数,页面风险专业明细数,页面候选池V1专业明细数,页面复核优先级,页面审计状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,10,4,33,3,5,5,8,1,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,11,9,29,2,2,2,8,5,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,12,6,24,2,20,13,8,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,13,9,31,3,17,11,6,9,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,14,8,33,2,31,26,9,15,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,15,5,37,2,13,7,6,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,16,15,42,3,19,8,4,8,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,17,11,52,4,14,6,9,19,1,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,18,17,41,4,22,20,16,8,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,19,16,48,5,10,6,5,13,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,20,3,30,3,16,14,11,3,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,21,10,55,4,8,5,12,4,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,22,6,42,3,23,18,10,26,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,23,15,51,2,7,1,2,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,24,12,31,3,15,12,19,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,25,19,40,3,4,2,5,13,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,26,5,50,3,22,17,10,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,27,6,36,3,13,3,13,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,28,3,34,2,22,20,6,17,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,29,9,41,5,21,14,16,5,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,30,5,44,2,14,8,8,5,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,31,6,55,3,14,6,9,11,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,32,8,45,2,18,12,8,2,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,33,21,55,3,9,2,2,11,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,34,7,41,3,10,6,10,15,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,35,6,37,2,7,3,7,9,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,36,5,51,2,19,15,7,5,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,37,7,44,2,9,2,7,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,38,6,56,2,21,16,11,1,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,39,4,39,1,16,7,5,14,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,40,9,55,2,34,27,11,10,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,41,15,50,3,4,1,9,15,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,42,13,63,3,18,14,13,30,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,43,11,61,3,16,2,12,18,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,44,8,42,3,18,11,16,8,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,45,9,44,2,11,2,9,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,46,13,48,4,41,32,9,18,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,47,7,33,2,8,3,6,11,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,48,15,48,2,22,15,7,9,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,49,5,49,3,27,23,6,32,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,50,13,49,3,18,11,7,26,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,51,7,40,2,28,23,11,13,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,52,6,62,2,34,30,11,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,53,13,36,3,23,16,6,14,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,54,9,46,2,30,26,11,4,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,55,22,55,3,21,17,4,29,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
