来源期号,来源PDF_SHA256,数据阶段,最终可用,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,专业组标题OCR原文,来源页码,版面列,专业组标题行号,专业组标题y,OCR专业行数,再选科目OCR候选,人数OCR候选,学费OCR候选,偏好和风险标签,字段完整性标记,候选池V1命中,样本学校命中,核验状态,备注
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A001,北京大学,A00107,07,A00107 北京大学第 07 组,10,left,37,0.603198,17,化学,4；2；3；36,5000；5300,priority_2_computer;rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A002,中国人民大学,A00208,08,A0O208/中国人民大学第08组,10,left,68,0.184490,1,化学,32,5000,priority_2_computer,,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A002,中国人民大学,A00209,09,AO0209/中国人民大学第 09组,10,left,71,0.158367,11,化学；开边；科目 人数学；要求,2；4；59,5000；年；（元）；2；7；3；1；6,priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A003,清华大学,A00308,08,A00308|清华大学第 08 组,10,right,167,0.135102,19,「化学；再选；科目；要求；化学,人数；4；3；2；5；6；1；100,5000；3；年；学费,priority_2_computer;rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00405,05,A00405 北京交通大学第05组,11,left,43,0.427236,0,［化学,3,5500,,,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00406,06,A00406 京交通大学第06组,11,left,47,0.370640,1,化学,2,5500,,,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00407,07,A00407/北京交通大学第07 组,11,left,54,0.313821,1,,2；78,5500,,missing_subject_candidate;plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00408,08,A00408/北京交通大学第08 组,11,left,60,0.258537,4,化学；［化学,13；33；26；招生计划；X；U；人数；2；4；5,5500；N,priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00409,09,［A00409/北京交通大学第09组,11,right,163,0.638081,1,,5；3,80000,high_fee_or_coop;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00410,10,A00410 北京交通大学第10组,11,right,169,0.582849,0,化学,3,80000,tuition_over_15000,tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00411,11,A00411/北京交通大学第11组,11,right,176,0.515854,1,化学；「化学,3；2,80000,high_fee_or_coop;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,A00412,12,A00412/北京交通大学第12组,11,right,182,0.459302,1,,2；153；125,5500,high_fee_or_coop;special_plan_or_direction,missing_subject_candidate;plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A006,北京航空航天大学,A00603,03,A00603/北京航空航天大学第 03 组,11,right,194,0.340116,10,［化学；19期；U；再选；科目；要求；软件,2；5；4；資亭；N；人数；42；20；27；13,5500；年；学费；元）；6；9,body_or_exam_limit;priority_2_computer;rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
