来源期号,来源PDF_SHA256,数据阶段,最终可用,院校代码,院校名称OCR,OCR专业组数,OCR专业行数,PDF OCR页码,偏好和风险标签,候选池V1命中,样本学校命中,核验状态
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A001,北京大学,1,17,10,priority_2_computer；rejected_medical,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A002,中国人民大学,2,12,10,priority_2_computer,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A003,清华大学,1,19,10,priority_2_computer；rejected_medical,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A004,北京交通大学,8,9,11,high_fee_or_coop；priority_2_computer；priority_3_teacher；special_plan_or_direction；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A006,北京航空航天大学,4,14,11；12,body_or_exam_limit；high_fee_or_coop；priority_2_computer；rejected_medical；special_plan_or_direction；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A007,北京理工大学,4,18,12；13,high_fee_or_coop；priority_2_computer；priority_3_teacher；rejected_medical；special_plan_or_direction；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,6,21,13,priority_2_computer,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,8,35,13；14,body_or_exam_limit；high_fee_or_coop；priority_2_computer；priority_3_teacher；rejected_medical；special_plan_or_direction；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A013,北京邮电大学,3,8,14；15,high_fee_or_coop；priority_1_digital_media；priority_2_computer；priority_3_teacher；rejected_medical；special_plan_or_direction,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A019,中国农业大学,4,34,15,high_fee_or_coop；priority_2_computer；rejected_medical,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,11,36,16,high_fee_or_coop；priority_1_digital_media；priority_2_computer；rejected_medical,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A023,北京协和医学院,1,1,16,body_or_exam_limit；rejected_medical,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A026,北京中医药大学,3,15,16,body_or_exam_limit；priority_2_computer；priority_3_teacher；rejected_medical,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A027,北京师范大学,2,16,17,priority_2_computer；priority_3_teacher,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A030,北京外国语大学,2,10,17,high_fee_or_coop；language_or_single_subject；priority_2_computer；priority_3_teacher；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A032,北京语言大学,4,12,17,high_fee_or_coop；language_or_single_subject；priority_2_computer；priority_3_teacher；tuition_over_15000,是,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A033,中国传媒大学,8,19,17；18,high_fee_or_coop；priority_1_digital_media；priority_2_computer；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A034,中央财经大学,5,15,18,high_fee_or_coop；priority_2_computer；priority_3_teacher,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A036,对外经济贸易大学,5,10,18,high_fee_or_coop；priority_2_computer；special_plan_or_direction；tuition_over_15000,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A043,北京体育大学,6,9,18；19,body_or_exam_limit；high_fee_or_coop；priority_2_computer,否,否,needs_manual_pdf_review
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A047,中央美术学院,1,2,19,high_fee_or_coop,否,否,needs_manual_pdf_review
