来源期号,来源PDF_SHA256,数据阶段,综合风险等级,风险类型,院校代码,院校名称OCR,院校专业组代码,来源页码,OCR专业行数,再选科目OCR候选,人数OCR候选,学费OCR候选,偏好和风险标签,字段完整性标记,候选池V1命中,样本学校命中,核验状态,最终可用,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费,A032,北京语言大学,A03208,17,1,不限,4；6,10万,high_fee_or_coop,plan_count_not_plain_number;tuition_not_plain_number,是,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,K487,西安航空学院,K48704,226,2,,,2；［50000；50000；14,high_fee_or_coop;rejected_medical;tuition_over_15000,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；学费超过当前上限,C150,武汉商学院,C15007,81,2,不限,35；1477；146,35000；40000,high_fee_or_coop;priority_3_teacher;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；学费超过当前上限,K465,西安建筑科技大学,K46505,223,1,不限；「化学,4；13,70000,high_fee_or_coop;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,是,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；学费超过当前上限,K485,西安财经大学,K48504,226,1,不限,49,6；50000；3,high_fee_or_coop;tuition_over_15000,tuition_not_plain_number;tuition_over_15000,是,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；学费超过当前上限,K487,西安航空学院,K48703,226,1,「化学,,3；50000；4,high_fee_or_coop;priority_2_computer;tuition_over_15000,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,体检或色觉限制；医学/护理等排除方向；学费超过当前上限,K178,成都医学院,K17801,212,1,,,6670,body_or_exam_limit;rejected_medical;tuition_over_15000,missing_subject_candidate;missing_plan_count_candidate;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,体检或色觉限制；医学/护理等排除方向；学费超过当前上限,K178,成都医学院,K17802,212,1,,8；15；2,6670,body_or_exam_limit;priority_3_teacher;rejected_medical;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,医学/护理等排除方向,C125,武汉轻工大学,C12508,74,21,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,4000；5200；3000,rejected_medical,missing_subject_candidate;plan_count_not_plain_number;tuition_not_plain_number,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,医学/护理等排除方向；学费超过当前上限,K488,西安医学院,K48805,226,1,［化学；生物,,6500,rejected_medical;tuition_over_15000,missing_plan_count_candidate;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,学费超过当前上限,C150,武汉商学院,C15004,80,4,化学,58；60；67；57,5200；4000,priority_2_computer;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,学费超过当前上限,C150,武汉商学院,C15005,80,4,化学257,98；45；36；78,5200；4000,tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,学费超过当前上限,C150,武汉商学院,C15006,80,3,化学；再选；要求,220；70；77；73；人数 学發,4000；（C）,tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,学费超过当前上限,K179,成都师范学院,K17903,212,1,［化学,2,5200,priority_3_teacher;tuition_over_15000,tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,语种或单科限制,C150,武汉商学院,C15003,80,22,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,5200；4000；年；学费；（）,language_or_single_subject;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,语种或单科限制；医学/护理等排除方向；学费超过当前上限,K488,西安医学院,K48804,226,1,不限,,5000,language_or_single_subject;rejected_medical;tuition_over_15000,missing_plan_count_candidate;tuition_over_15000,是,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,专项/预科/定向等特殊类型,A006,北京航空航天大学,A00606,12,2,,86；62,6；5500,special_plan_or_direction,missing_subject_candidate;plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
