官方查询键碰撞ID,来源湖北官方系统逐专业核验包,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,碰撞键,碰撞键内行数,碰撞键内专业组出现ID数,碰撞键内页码数,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,平台查询院校代码,平台查询专业组代码,平台查询专业代号,来源页码,专业组内专业序号,专业代号OCR,专业名称及备注OCR短摘,OCR再选科目,OCR专业计划数,OCR学费,平台匹配状态,平台字段核验状态,官方系统证据编号,字段差异集合,消歧要求,不得进入原因,下一步
OFFICIALKEYCOLLISION-ad34fe8553a6a2c1,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A073|A07303|19,2,1,1,M-6a6a5295cd392395,G-c710ed5c0bd78ef2,A073,东北大学,A07303,A073,A07303,19,22,13,19,期資高院校专业组及专业代号,,,,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-3957daa45f559017,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A073|A07303|19,2,1,1,M-77c78664c40e644e,G-c710ed5c0bd78ef2,A073,东北大学,A07303,A073,A07303,19,22,14,19,物联网工程（入学后部分课程采用英文教材和英语授课，外语语种为非英语的考生请慎重报考）,要求,,6240,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-22f993f342f13e0e,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|06,2,1,1,M-285742a7c861e62a,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,06,29,3,06,工科试验班（智慧能源与电气工程；电气工程及其自动化：电动载运工程；新能源科学与工程：能源与动力工程）,,15,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-4dea5c0713d91821,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|06,2,1,1,M-1c230477538de5df,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,06,29,9,06,航空航天类（长空创新班）（包含专业：𢜒保障工程、飞行器动办工程、器制造工程、航空航天工程；办学地点：将军路校区）◎A院校专业组及专业代号,,2,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-20ed8e9971dba0fe,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|07,2,1,2,M-6b9ad306855ef99c,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,07,29,4,07,电子億息类（信息工程；电子科学与技,,15,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-c824a416fed673c2,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|07,2,1,2,M-71021c6e4945c552,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,07,30,10,07,工程力学（钱伟长拔尖创新班）（办学地点：将军路校区）,,2,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-218d529e2d6916b4,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|08,2,1,2,M-c8f6bce0e943ceb4,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,08,29,5,08,计算机类（计算机科学与技术；人工智能：软件工程；网络空间安全）,,13,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-4b30ca9d2736e4e8,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|08,2,1,2,M-5f6290ed3ec7ec4d,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,08,30,11,08,机器人王程（拔尖创新班）（办学地点：将军路校区）,,2,5800,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-b10721f890714153,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A141|A14115|14,2,1,2,M-cc862aeef9ef262d,G-844baa52dabe95f7,A141,武汉大学,A14115,A141,A14115,14,39,5,14,光电信息科学与工程（光电融合芯片启明实验班）,,84,5850|,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-7e49ee9c47666892,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A141|A14115|14,2,1,2,M-f24599c0de17eeb6,G-844baa52dabe95f7,A141,武汉大学,A14115,A141,A14115,14,40,34,14,软件工程（AI 大模型试验班：面向人工智能大模型原理与应用前沿，校企,,30,5850,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
