专业代号顺序风险ID,来源专业行原页证据锚点表,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,机器能否自动修复,风险规则ID,风险类型,风险等级,专业行ID,相邻前一专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组内专业序号,相邻前一专业序号,专业代号OCR,相邻前一专业代号OCR,专业代号解析值,相邻前一专业代号解析值,专业代号解析差,专业名称及备注短摘,专业起始行号,相邻前一专业起始行号,专业起始y,相邻前一专业起始y,证据摘要,不得进入原因,下一步
CODERISK-93cde1f67f46a30d,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-62e8a0e62ecaa762,,G-74ea14a1dded75b1,A329,东北大学秦皇岛分校,A32906,62,left,2,,G,,,,,,2,,0.921512,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-ee685cf949f01aed,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-0b8a09a880f318b3,,G-6566c96a4e205c6b,C130,湖北工业大学,C13009,76,right,3,,6G,,,,,,214,,0.543414,,专业代号 OCR = 6G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-9e621458a0b7aeb7,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-a939e89ae1df4f05,,G-b0701e5a57ffba13,C217,武汉工商学院,C21707,87,right,3,,K,,,,,,175,,0.914228,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-8f3809d3a700845e,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-d57f591c477df4b2,,G-34c08b6712b53f7a,C223,武汉文理学院,C22306,88,right,5,,3G,,,,,,233,,0.540698,,专业代号 OCR = 3G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-9d07d3f568c62561,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-fd5873c2b4b297f8,,G-9d231dbef863bf66,F143,天津理工大学中环信息学院,F14302,97,right,6,,0K,,,,,,136,,0.914228,,专业代号 OCR = 0K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-53869519f81be894,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-5c59c687e7040aac,,G-c6648af06de9dad1,F295,太原理工大学,F29510,107,right,4,,K,,,,,,145,,0.912602,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-b45c3e149d9a1409,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-9259b37fa5338241,,G-b0beab7a7fd91541,F306,山西财经大学,F30604,109,right,4,,K,,,,,,137,,0.912602,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-34cdd0177aa3d5c8,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-ad6e540f955878eb,,G-00512d7c36c094a6,F535,大连医科大学中山学院,F53501,117,right,3,,K,,,,,,131,,0.912602,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-bbef3f7406ece882,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-aa9fbd812d3badc8,,G-2eda348c1e055a35,F581,东北电力大学,F58103,119,left,2,,1C,,,,,,11,,0.748374,,专业代号 OCR = 1C,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-e243f269783ded7d,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-592fddb6da1ce5b6,,G-53840bffed785bc1,F695,牡丹江师范学院,F69502,126,right,1,,0G,,,,,,195,,0.565299,,专业代号 OCR = 0G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
