版面连续性风险ID,来源专业行原页证据锚点表,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,机器能否自动修复,风险规则ID,风险类型,风险等级,专业行ID,相邻前一专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组内专业序号,相邻前一专业序号,专业代号OCR,相邻前一专业代号OCR,专业名称及备注短摘,专业组标题行号,专业组标题y,专业起始行号,相邻前一专业起始行号,相邻行号差,专业起始y,相邻前一专业起始y,相邻y差,专业窗口行号范围,合并证据窗口行号范围,合并证据窗口行数,窗口文本SHA256,证据摘要,不得进入原因,下一步
LAYOUTRISK-7c0eac31671527f1,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-fa5ba80e32a8cbbc,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,5,,15,,,167,0.135102,10,,,0.806504,,,10-108,10-108,5,35fd940f26832a9ac1411ab0685de0d9f1a6ef1a4b233b659290b3361a70ba95,专业起始行号 10 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-042bc8f7b9359102,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-520a85f2da817368,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,6,,16,,,167,0.135102,12,,,0.783333,,,12-110,12-110,9,5f67cdcd0dad9835c6cef972e435dd2ff727165b1a3c80bdb6311938b6af6152,专业起始行号 12 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-7bbdbad8e627314b,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-232080aa6d914f49,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,7,,17,,,167,0.135102,16,,,0.748374,,,16-111,16-111,4,5c636dbf3834f679aadf6426b3a9e3a8b599dc6e6334962d96671ac8d96489df,专业起始行号 16 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-9ba7e5e84a87e50e,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-149c88a349d53703,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,8,,18,,,167,0.135102,18,,,0.725203,,,18-112,18-112,5,9789bb64edf271649adaf527ae066db5758ae65b454e9a6748c5da727486bb6f,专业起始行号 18 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-d40cf39a42eeb953,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-cd432f6ba90b3cf9,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,9,,19,,,167,0.135102,20,,,0.702033,,,20-113,20-113,5,20a8e572087af04b1f14ab5e866f1720ef317490cc069234264d41ff696a6a21,专业起始行号 20 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-ed67f84d212ba198,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-edb31a219cdae4a4,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,10,,20,,,167,0.135102,22,,,0.678779,,,22-23,22-74,3,8650108668aa79dc7c3233c79633eabeca6136f3f4df14ae7b904b9f96c9190f,专业起始行号 22 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-f58584992647c6a8,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-806e4900d712dd09,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,11,,21,,,167,0.135102,24,,,0.656911,,,24-163,24-163,6,fafaa829bdd374136a8021b25d677a72a0c220079ec9564ef69adc41b2c74d1e,专业起始行号 24 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-ecab062c00995f8f,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-6d128b2bcf8177ef,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,12,,22,,,167,0.135102,26,,,0.623547,,,26-115,26-115,5,aab5c2de82823198bb1b770070a45b42989712e84e66587d74048bc1096293bb,专业起始行号 26 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-5fc55ba146c35092,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-cf5224fe37c8fbc9,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,13,,23,,,167,0.135102,28,,,0.601626,,,28-169,28-169,6,4b78e6e74f31f2c48731b98d8ef39907b97e8e51a216a0a9fa8aba51e09988d6,专业起始行号 28 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
LAYOUTRISK-c5254507e954e43c,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_line_layout_continuity_risk_ledger,逐专业招生明细×版面连续性风险事件,false,false,false,L01_START_LINE_NOT_AFTER_GROUP_TITLE,专业起始行号不在专业组标题之后,P0-版面边界先核,M-3f5e83172c1133ee,,G-92189002d14ebac0,A003,清华大学,A00308,11,left,14,,24,,,167,0.135102,30,,,0.578455,,,30-117,30-117,5,53d0ca72a8ffaf69b5617ebabf180bd54671788c8acedcd7811a401526f42ce2,专业起始行号 30 <= 专业组标题行号 167,版面连续性风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同页同列上下文，核专业组标题、相邻专业行边界和专业归属；再用湖北官方系统或省招办计划确认。
