院校代码,院校名称OCR,涉及专业明细数,涉及专业组数,来源页码集合,疑似风险类型,示例专业行ID,示例专业名称及备注短摘,建议核验动作
A201,应急管理大学,15,5,57,特殊院校或校名OCR待核,M-ce679a98ce39a010,供应链管理,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
A337,复且大学医学院,6,3,62,特殊院校或校名OCR待核,M-9a91ea76ac28b73e,临床医学（正谊明道班；学制：八年医）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
A503,陆军工程大学,7,2,64,特殊院校或校名OCR待核,M-0f70d2e13fe24d0a,工程管理（全国人防建筑施工组织管理与监理工程师）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
A517,陆军军医大学,4,2,64,特殊院校或校名OCR待核,M-d5aeba595b0e0111,临床医学（仅招收普通高中应届毕业生，政治面貌须为共青团员或中共党员：学制：五年）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
A712,香港珠海学院,2,1,64,特殊院校或校名OCR待核,M-9a758ec0c225868e,商学院（学费币种：港元：英语单科成续100分或以上，包含会计及银行、丁管理学、财务金融学、金融及资计管理学4个专业，入校后根据个人心愿选择专业，学校提供两个学期校内宿舍，往后学期，学校视情况决定是否提供宿位，2026/27学年宿期为9个貝，...,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
C113,网络空间安全学院,3,1,71,特殊院校或校名OCR待核,M-406d9b7134a1be12,计算机科学与技术（软件安全方向；办学地点：网安基地校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
C137,湖北,40,12,78；79,校名未匹配待人工核验,M-dda9ef480fe1aa8a,汉语言文学（师范类）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
C171,襄阳职业技术大学,5,2,81,职业本科/职业大学或新增学校待核；特殊院校或校名OCR待核,M-2e2cc82820ce6c9e,工业互联网工程（办学地点：隆中路校,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
C172,黄冈职业技术大学,3,1,81,职业本科/职业大学或新增学校待核；特殊院校或校名OCR待核,M-7451169b02237d69,智能建造工程,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
C173,湖北三峡职业技术大学,5,2,81,职业本科/职业大学或新增学校待核；特殊院校或校名OCR待核,M-420daabefc6547d6,旅游管理（办学地点：江南校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F012,北京,2,1,93,校名未匹配待人工核验,M-3735b1dd4d48cdfa,智能科学与技术（语言与 AT：外语单科成绩不低于90分；辅修英语专业，合格者同时授予相应辅修学士学位；办学地点：朝阳校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F112,4淮北师范大学,4,1,145,OCR混入字母或数字；特殊院校或校名OCR待核,M-c216540c92922c9d,计算机科学与技术（办学地点：滨湖校,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F391,赤峰大学,1,1,112,特殊院校或校名OCR待核,M-033a0779f510cda3,化学（师范类）P392 内蒙古财经大学（公办）（内蒙）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F400,内蒙古科技大学包头医学院,2,2,112,特殊院校或校名OCR待核,M-9aa9b4dfa9b4a8d9,床医学（办学地点：东河校区；学制：五年）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
