来源期号,来源PDF_SHA256,数据阶段,最终可用,源文件,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,专业组标题OCR原文,版面列,专业代号OCR,专业名称及备注OCR,来源页码,再选科目OCR候选,专业计划数OCR候选,专业计划数OCR数字候选,学费OCR候选,学费OCR数字候选,字段完整性标记,异常规则ID,异常类型,严重程度,异常证据,核验状态,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,A001,北京大学,A00107,07,A00107 北京大学第 07 组,left,45,理科试验班类（法学院；数学类）A002 中国人民大学（公办）（北京）,10,,2,2,5000,5000,missing_subject_candidate,major_text_embeds_other_school_marker,专业名称疑似串入下一院校,高,A002中国人民大学,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,A002,中国人民大学,A00209,09,AO0209/中国人民大学第 09组,right,31,理科试验班（财政学与数学创新人才班：数学与应用数学（财政金融学院财政学与数学双学位项目）；财政金融学院（财政学）与数学学院（数学与应用数学）共同培养；办学地点：通州校区）,10,,,,2,2,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,2,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,A002,中国人民大学,A00209,09,AO0209/中国人民大学第 09组,right,32,理科试验班（经济学与数学创新人才班；数字经济（经济学院经济学与数学双学位项目）：经济学院（经济学）与数学学院（数学与应用数学）共同培养；办学地点：通州校区）,10,,,,2,2,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,2,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,A002,中国人民大学,A00209,09,AO0209/中国人民大学第 09组,right,40,计算机类（图灵计算机拔尖人才班智算方向；计算机科学与技术；办学地点：中关村校区）A003 清华大学（公办）（北京）,10,,,,5000,5000,missing_subject_candidate;missing_plan_count_candidate,major_text_embeds_other_school_marker,专业名称疑似串入下一院校,高,A003清华大学,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,A003,清华大学,A00308,08,A00308|清华大学第 08 组,right,12,工科试验班（智能制造与装备类；机械工程（含实验班）、车辆工程）,10,,,,3,3,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,3,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F180,华北理工大学,F18025,25,F18025|华北理工大学第25组,left,68,机械设计制造及其自动化（中外合作办学）（要求外语文化成绩不低于100分（满分150分），与德国海德堡应用科技大学合作举办，采用3+1培养模式，国内就读期间（前3年）学费25000元/年/入，国外就读期间学费约为12000 欧元/年/人录取后不允许转专业，外语教学为英语，不建议小语和考生报考，详见华北理工大学招生章F181河北科技大学（公办）（河北）,100,,12,12,25000,25000,missing_subject_candidate;tuition_over_15000,major_text_embeds_other_school_marker,专业名称疑似串入下一院校,高,F181河北科技大学,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F181,河北科技大学,F18104,04,F18104 河北科技大学第 04组,right,04,财务管理（单色识别不全考生不予录取）,100,,,,2,2,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,2,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F181,河北科技大学,F18108,08,F18108 河北科技大学第08组,right,08,应用化学（不招色觉异常（含色弱、色盲）考生）,100,,,,3,3,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,3,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F181,河北科技大学,F18119,19,F18119/河北科技大学第 19组,right,19,高分子材料与工程（不招色觉异常（含色弱、色盲）考生）,100,化学,,,3,3,missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,3,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F181,河北科技大学,F18120,20,F18120/河北科技大学第20组,right,20,药物制剂（不招色觉异常（含色弱、色盲）考生）,100,,,,3,3,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,3,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F181,河北科技大学,F18121,21,F18121河北科技大学第21组,right,21,制药工程（不招色觉异常（含色弱、色盲）考生）,100,,,,3,3,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,3,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,F181,河北科技大学,F18123,23,F18123河北科技大学第23组,right,23,计算机科学与技术（中外合作办学）（单科成绩要求：外语不低子 90院校专业组及专业代号盆：外合作院校为澳大利亚联邦大人学后外语教学为英语，非英语语种考生慎重报考.办学模式为4+0 双学悠，在河北科技太学学习四年，详情见招生章程. 单色识别不全考生不子,100,,,,2,2,missing_subject_candidate;missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,2,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_ocr_structure_anomaly_queue,false,data/working/issue19-full-admission-plan-major-ocr-draft.csv,P181,河北科技大学,P18112,12,P18112 河北科技大学第12组,right,12,电子科学与技术,100,化学,,,3,3,missing_plan_count_candidate,tuition_number_le_500,学费数字疑似吞入计划数或截断,高,3,needs_manual_pdf_review,回看原PDF页和相邻页，确认该专业行边界、专业组边界、计划数、学费和备注是否串行
