官方不可得抽样执行明细ID,来源官方不可得抽样门禁ID,来源稳定基座自动交叉核验任务ID,来源逐专业证据路由ID,来源招生明细总工作台ID,来源湖北官方活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,执行类别,执行优先级,风险等级,抽样策略,样本选择原因,样本序号,样本最低明细数,是否100%人工核验,是否抽样核验,是否低风险样本,院校代码,院校名称OCR,专业行ID,专业组出现ID,院校专业组代码OCR规范化,来源页码,版面列,页码版面键,专业组内专业序号,专业代号OCR,专业名称及备注短摘,必核字段,字段差异标记,官网辅证自动动作,OCR专业计划数候选,OCR学费候选,OCR再选科目候选,最佳官网专业名称,最佳官网专业代号,最佳官网计划数,最佳官网学费,最佳官网选科,最佳官网来源文件,官网证据强度,官网来源状态,官网证据匹配状态,计划数核验状态,疑似OCR把学费读入计划数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方一致性状态,字段事实写回状态,是否需要双人复核,升级触发器,升级范围,当前用途边界,下一步
SAMPLINGEXEC-4287b2f6693fedf8,SAMPLINGGATE-42b14bba94c19fcb,STABLEAUTO-2c3f84843e7da017,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,1,1,true,false,false,A033,中国传媒大学,M-1313bee178d7d0ee,G-df1242f8618d3971,A03312,18,left,018-left,4,25,数字媒体技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,12,3,,数字媒体技术,59,3,5500,"物理,化学(2门科目考生均须选考方可报考)",data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-0d37c476fb81a0bc,SAMPLINGGATE-cc6e6586898552b1,STABLEAUTO-f9d8322fb6a2a202,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,1,1,true,false,false,A135,山东大学,M-a85b56dac30243b2,G-9fca3ce8b2adbf9c,A13506,37,left,037-left,6,25,工程软件（含“钱七虎学堂”）,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,11,6600,化学,工程软件,38,2,6600,"物理,化学(2门科目考生均须选考方可报考)",data/external/issue19-b0-b1-official-sources/sdu-2026-hubei-physics-normal-zsjh.json,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-099af38413ff1343,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-44ae763f0fe680f0,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,1,10,true,false,false,F902,江苏理工学院,M-dc3b57515c994b61,G-158e8a85ddd262f3,F90202,135,left,135-left,1,03,机械电子工程,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,,「化学,机械电子工程,,1,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-22a159ea241b4566,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-428748b7bafc222e,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,2,10,true,false,false,F902,江苏理工学院,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F90202,135,left,135-left,2,04,过程装备与控制工程,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,5800,,过程装备与控制工程,,1,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-4e26df467e4a4afc,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-a7ebf8723f6afd59,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,3,10,true,false,false,F902,江苏理工学院,M-af973281700f5eb7,G-158e8a85ddd262f3,F90202,135,left,135-left,3,05,通信工程,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,5800,,通信工程,,1,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-dc51a85f91a1e863,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-9b70fc9bfe2422f6,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,4,10,true,false,false,F902,江苏理工学院,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F90202,135,left,135-left,4,06,电气工程及其自动化,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,5800,,电气工程及其自动化,,2,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-fd7e37f16b1bfe0e,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-d944584fc7f29bd8,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,5,10,true,false,false,F902,江苏理工学院,M-e169ec05a319416b,G-158e8a85ddd262f3,F90202,135,left,135-left,5,07,自动化,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,5800,,自动化,,1,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-df96f9ab46641e27,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-12017f54f9dc0fe5,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,6,10,true,false,false,F902,江苏理工学院,M-7af5985c525e29ba,G-158e8a85ddd262f3,F90202,135,left,135-left,6,08,软件工程,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,,,软件工程,,1,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-e5da5872cd4f0857,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-1d8c95980acc9c0a,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,7,10,true,false,false,F902,江苏理工学院,M-e61c577465bca697,G-158e8a85ddd262f3,F90202,135,left,135-left,7,09,数据科学与大数据技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,,,数据科学与大数据技术,,1,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-68275c2b301ed616,SAMPLINGGATE-b4af8ea18bef5c02,STABLEAUTO-174cc8f124d58944,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,100%人工核验,计划数冲突或疑似字段错位，不能进入筛选。,8,10,true,false,false,F902,江苏理工学院,M-bf093921a5df7b57,G-158e8a85ddd262f3,F90202,135,left,135-left,8,10,数字媒体技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,C0-冲突先核PDF原页和湖北官方系统,5800,,,数字媒体技术,,2,5800,,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,true,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
