官方不可得抽样门禁ID,来源类型,来源账本ID,来源逐专业证据路由ID,来源高校侧辅证刷新账本,来源湖北官方活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,院校代码,院校名称OCR,专业行ID,专业组出现ID,院校专业组代码OCR规范化,页码版面键,来源文件类型集合,官网辅证自动动作,风险等级,抽样分层,抽样策略,是否纳入抽样或100%核验,样本选择原因,样本最低明细数,涉及招生明细数,必核字段,字段差异标记,升级触发器,升级范围,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方一致性状态,字段事实写回状态,当前用途边界,下一步
SAMPLINGGATE-42b14bba94c19fcb,高校侧辅证刷新任务,SCHOOLREFRESH-0e8009428c38bfa0,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A033,中国传媒大学,,,,,API/JSON,C0-冲突先核PDF原页和湖北官方系统,R4-blocker,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,计划数冲突或疑似字段错位，不能进入筛选。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SAMPLINGGATE-cc6e6586898552b1,高校侧辅证刷新任务,SCHOOLREFRESH-71789acaa2f3c653,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A135,山东大学,,,,,API/JSON,C0-冲突先核PDF原页和湖北官方系统,R4-blocker,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,计划数冲突或疑似字段错位，不能进入筛选。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SAMPLINGGATE-b4af8ea18bef5c02,高校侧辅证刷新任务,SCHOOLREFRESH-6ca7c821433e97fe,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,F902,江苏理工学院,,,,,结构化CSV,C0-冲突先核PDF原页和湖北官方系统,R4-blocker,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,计划数冲突或疑似字段错位，不能进入筛选。,10,10,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SAMPLINGGATE-7fc3e508c25deda6,高校侧辅证刷新任务,SCHOOLREFRESH-4e2b070b70028ed9,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,H450,山东工商学院,,,,,结构化CSV,C0-冲突先核PDF原页和湖北官方系统,R4-blocker,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,计划数冲突或疑似字段错位，不能进入筛选。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SAMPLINGGATE-db7d8ad3baa1527f,高校侧辅证刷新任务,SCHOOLREFRESH-4de837fe670c4679,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,H945,南宁学院,,,,,HTML,C0-冲突先核PDF原页和湖北官方系统,R4-blocker,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,计划数冲突或疑似字段错位，不能进入筛选。,3,3,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SAMPLINGGATE-176600da140b879f,高校侧辅证刷新任务,SCHOOLREFRESH-3e7cb02caf3aeb70,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,K153,成都信息工程大学,,,,,HTML,C0-冲突先核PDF原页和湖北官方系统,R4-blocker,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,计划数冲突或疑似字段错位，不能进入筛选。,2,2,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,计划数冲突,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SAMPLINGGATE-740b69ed95f26249,高校侧辅证刷新任务,SCHOOLREFRESH-3d80b4e0f3d47e17,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A033,中国传媒大学,,,,,API/JSON,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,8,8,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-7ad58ab065d7b07b,高校侧辅证刷新任务,SCHOOLREFRESH-095fc3d9660e95b3,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A195,兰州大学,,,,,API/JSON,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,7,7,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-33332efc49338f15,高校侧辅证刷新任务,SCHOOLREFRESH-523e73514867c6ce,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,F305,忻州师范学院,,,,,结构化CSV,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,4,4,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-254ebd8db5f7dd82,高校侧辅证刷新任务,SCHOOLREFRESH-cc22c234269fed50,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,H001,杭州电子科技大学,,,,,XLS/XLSX,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
