官方不可得抽样Overlay公开账本ID,来源官方不可得抽样执行明细,来源私有抽样复核Overlay,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,来源官方不可得抽样执行明细ID,专业行ID,专业组出现ID,来源页码,版面列,页码版面键,执行类别,执行优先级,风险等级,官网辅证自动动作,是否100%人工核验,是否抽样核验,是否低风险样本,是否需要双人复核,抽样策略,样本序号,样本最低明细数,私有Overlay证据编号,私有OverlayCSV_SHA256,私有Overlay记录SHA256,私有Overlay记录是否存在,私有Overlay记录缺失数,PDF原页已填字段数,湖北官方侧已填字段数,高校辅证已填字段数,三方一致性可评估,抽检失败状态,升级状态,首轮复核状态,次轮复核状态,字段事实写回状态,Overlay进度桶,公开安全策略,下一步
SAMPLINGOVERLAYPROG-b612cc09947a66c6,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-4287b2f6693fedf8,M-1313bee178d7d0ee,G-df1242f8618d3971,18,left,018-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,1,1,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,36b984bc087cc66103242dc44900d2ee3b4e9cb396d525ffa8645446dbcc7cc3,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-3012fed300a590dc,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-0d37c476fb81a0bc,M-a85b56dac30243b2,G-9fca3ce8b2adbf9c,37,left,037-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,1,1,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,9a80178dc17b6944e24f584c651610fb7f5cf988d8148d409149f18d86673386,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-176e2b8cedf92d5b,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-099af38413ff1343,M-dc3b57515c994b61,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,1,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,874825ab8de9929f8597f09ff8c3b87e1b17d873380689247affdb4e279d488c,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-d669a878f29ec8d3,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-22a159ea241b4566,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,2,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,18ce63778bdb2b4ec6508eb35d3b4e217c055c0c560a06d85a23eb3e92c950e9,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-c84c22d346316b1d,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-4e26df467e4a4afc,M-af973281700f5eb7,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,3,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,f82cebdff3739f35046185752f5d3dc25ed214a8ec08278e833edfc42be1d4ed,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-e2c25f648d174199,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-dc51a85f91a1e863,M-78343e2534bdcb7c,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,4,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,de7103e5481f6f2e70017ac43fc02b924934f96e43d870d4d24022b2629a4bfe,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-7ddeb4f9474d1297,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-fd7e37f16b1bfe0e,M-e169ec05a319416b,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,5,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,ba97839fb544a6566e1941ba987f8fe59fa9a65b3a5198d6828e859df56ba887,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-261c6da914149b97,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-df96f9ab46641e27,M-7af5985c525e29ba,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,6,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,f9f5c55a97a7deb99463bcd477f8a2d4e8b0064c81639c052bf21b6330e2d6bc,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-7cef68fb517479b3,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-e5da5872cd4f0857,M-e61c577465bca697,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,7,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,8479dba088d231c41b6f815d6e160c44b126631a7288afc37cc1dfa10d5a894a,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-8943be6ea97152c9,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-68275c2b301ed616,M-bf093921a5df7b57,G-158e8a85ddd262f3,135,left,135-left,H0-高风险100%人工核验,00-高风险逐专业核验,R4-blocker,C0-冲突先核PDF原页和湖北官方系统,true,false,false,true,100%人工核验,8,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,04f690f09cc8e31a39ddc3d61a35c31f08e16700360dde45deec91b6bad12ca4,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,pending,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
