官方不可得抽样私有预填公开审计ID,来源抽样页列执行队列,来源本地抽样复核Overlay,来源本地私有预填材料,来源湖北官方活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,来源页码,版面列,页码版面键,来源官方不可得抽样页列执行队列ID,执行队列总序,执行泳道,执行优先级,页列任务数,高风险100%核验明细数,C0冲突明细数,C1官网补缺明细数,C7官网未匹配明细数,C2强辅证抽样明细数,P3低风险抽样明细数,PDF原页必核明细数,湖北官方侧必核明细数,高校辅证需复核明细数,高校辅证待补源明细数,双人复核明细数,高校辅证线索明细数,高校专业名称线索明细数,高校计划数线索明细数,高校学费线索明细数,高校选科线索明细数,高校来源文件明细数,高校来源文件数,OCR计划数线索明细数,OCR学费线索明细数,OCR选科线索明细数,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,私有预填材料状态,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
SAMPLINGPREFILLAUDIT-62adb867629254df,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,135,left,135-left,SAMPLINGEXECQ-91660ec0052de8e6,1,E0-冲突/错位先核,00-先核PDF原页和湖北官方侧冲突,11,10,10,0,0,0,1,11,11,10,1,10,10,10,10,10,0,10,1,11,5,2,SAMPLING-PREFILL-CSV-135-left,55e79e11f292ffbd9823d866408bef8d1e9b3806c0b9386478bb1283e5e3699b,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-aa99ed19a67fc018,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,209,right,209-right,SAMPLINGEXECQ-b809c0f6d16fc192,2,E0-冲突/错位先核,00-先核PDF原页和湖北官方侧冲突,14,9,2,4,3,5,0,14,14,14,0,5,11,11,11,11,11,11,1,9,14,0,SAMPLING-PREFILL-CSV-209-right,09c419d3d58a695e8f99a1e6ad2718473f7dac87aa0c217bba8383c279c569ff,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-5518c90abaed2e66,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,199,left,199-left,SAMPLINGEXECQ-80d6faaa3dec7b77,3,E0-冲突/错位先核,00-先核PDF原页和湖北官方侧冲突,5,4,3,0,1,1,0,5,5,5,0,4,4,4,4,4,4,4,1,5,0,1,SAMPLING-PREFILL-CSV-199-left,1cc136f11d1c1a379e9531a23f6172ad8faf5bbd6112e948c3750fb80f344acf,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-4984fbbbf5e3a44b,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,37,left,037-left,SAMPLINGEXECQ-995976f8c93f6cee,4,E0-冲突/错位先核,00-先核PDF原页和湖北官方侧冲突,4,3,1,0,2,1,0,4,4,4,0,3,2,2,2,2,2,2,1,4,3,1,SAMPLING-PREFILL-CSV-37-left,00cda10471b3e179f95cc87c5da34e4dced6c8c5860491fde9040c98f632c89d,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-1f90f43191c4949e,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,169,right,169-right,SAMPLINGEXECQ-a2ff09a42dc7c99f,5,E0-冲突/错位先核,00-先核PDF原页和湖北官方侧冲突,14,12,1,10,1,2,0,14,14,14,0,2,13,13,13,0,0,13,1,4,14,1,SAMPLING-PREFILL-CSV-169-right,3416048226f881f68424e99b93037d56fa0c9a54697d1fdfab88b552d54a63ac,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-be11985e03708017,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,18,left,018-left,SAMPLINGEXECQ-e6ec274b0f698293,6,E0-冲突/错位先核,00-先核PDF原页和湖北官方侧冲突,9,9,1,8,0,0,0,9,9,9,0,1,9,9,9,9,9,9,1,1,9,2,SAMPLING-PREFILL-CSV-18-left,d2c69064ce766c4d78407906f65e57602035129e330998e53b01af2fb2fce5f8,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-abfc12e4a92be2bf,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,70,right,070-right,SAMPLINGEXECQ-784e5743f5cd9ea9,7,E1-官网未匹配专业名归属,01-先确认专业名和归属,11,11,0,0,11,0,0,11,11,11,0,11,0,0,0,0,0,0,0,7,11,1,SAMPLING-PREFILL-CSV-70-right,645c08956104343a3b0df627782db711b96435200971ad3a52e50a5780202ffa,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-0a9f97f728159472,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,135,right,135-right,SAMPLINGEXECQ-0ba31b56673f7d1a,8,E1-官网未匹配专业名归属,01-先确认专业名和归属,4,3,0,0,3,1,0,4,4,4,0,3,1,1,1,1,0,1,1,2,2,1,SAMPLING-PREFILL-CSV-135-right,33e1ebc4518df28e2235251817a0f4befe90837ecbae664df2229b33e5cffe4b,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-5d4214ceee11860a,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,235,left,235-left,SAMPLINGEXECQ-f893e6bf310f5449,9,E1-官网未匹配专业名归属,01-先确认专业名和归属,4,2,0,0,2,2,0,4,4,4,0,2,2,2,2,0,0,2,1,4,4,1,SAMPLING-PREFILL-CSV-235-left,510cea2f67154b980fd381e490a699c83f3cadaaede5d8568aab579e479d3ef6,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-c4ff36019f899f9a,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,226,left,226-left,SAMPLINGEXECQ-002330b37f2388a9,10,E1-官网未匹配专业名归属,01-先确认专业名和归属,20,20,0,19,1,0,0,20,20,20,0,1,19,19,19,0,19,19,1,0,20,2,SAMPLING-PREFILL-CSV-226-left,d4fb64250c9d5518f0ce41039caeffe76c1c6c5af674cb623f424f0501ceb8b3,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
