P0即时字段确认公开账本ID,来源P0字段即时复核包,来源P0裁图证据索引,来源P0即时三方闭环公开账本,来源P0即时裁图OCR公开审计,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,字段确认公开账本总序,人工核验优先级数值,人工核验泳道,人工核验方式,人工核验动作,必须完成证据步骤,公开升级阻断原因,字段名,专业行ID,专业组出现ID,院校代码,来源页码,版面列,P0字段即时复核任务ID,P0即时复核裁图证据索引ID,P0即时三方闭环公开账本ID,P0即时裁图OCR公开审计ID,裁图证据编号,裁图文件SHA256,裁图规格SHA256,裁图bbox归一化,裁图bbox像素,执行批次,即时复核阶段,语义多源优先桶,裁图OCR三方辅助桶,裁图OCR候选状态,裁图OCR候选置信等级,裁图OCR平均置信度区间,裁图OCR目标行定位状态,裁图OCR与机器候选关系,裁图OCR与高校辅证关系,机器候选状态,机器候选置信等级,机器候选与高校辅证关系,高校官网辅证覆盖状态,高校官网证据强度,高校官网证据匹配状态,高校官网来源状态,高校官网是否可替代湖北官方计划,是否有机器规范候选,是否有高校字段线索,是否裁图OCR有可比候选,是否裁图OCR与机器候选冲突,是否裁图OCR与高校辅证冲突,是否机器高校冲突,是否高校补缺线索,是否需要双人复核,PDF原页私有记录状态,湖北官方私有记录状态,高校辅证私有记录状态,双人复核公开状态,三方字段一致性公开状态,字段事实写回评估状态,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,私有字段确认工作台状态,公开安全策略,下一步
P0FCONF-fbf4df965481d22c,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,1,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数,M-6f60d88ce3a3687e,G-399026bbf2fbbc18,A195,56,left,P0IMMEDIATE-7b4b19f096c47639,P0CROPINDEX-849c798a9b927a37,P0CLOSURE-fbf4df965481d22c,P0CROPOCRAUDIT-0934f87011a8c44e,P0CROP-21bcb640e4c2a9b3,7585397e90fccc4ed14ff7eaa21290ce21689c40f9e35586aa95d0c5b3f69dd7,308137570b9fff9efa230856b2776a85ad0ba70c0ac4a473406896b2bf23a4b1,x=0.043000-0.552000;y_bottom_origin=0.092662-0.257384,x=72-920;y=1819-2222,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S1-多源字段冲突优先核页,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.284558;distance=0.022373,crop_ocr_matches_reference,crop_ocr_conflicts_reference,P0C1-单一坐标候选待人工核验,medium,R5-机器候选与高校辅证字段冲突,has_b0b1_school_sidecar,fill_candidate,matched,has_reusable_2026_hubei_plan_source,false,true,true,true,false,true,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-ff1804250dcfc260,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,2,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,学费,M-0948630e9c96d719,G-09c809b3416aa6ab,A185,53,right,P0IMMEDIATE-42c5378f6377dc51,P0CROPINDEX-cfd219f9f00c371e,P0CLOSURE-ff1804250dcfc260,P0CROPOCRAUDIT-cb846684ec725beb,P0CROP-a5ac7751175425d4,34e3b80b7db3e171bfd6debfe99cf21b2b93baeafb3998946c8a654e04d47fa8,c753515cb1b9a8b0951c6900771a412ffdfa36c481377634f21e2fcfbb567773,x=0.448000-0.957000;y_bottom_origin=0.281794-0.414268,x=747-1595;y=1440-1766,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C3-中高置信,target_y=0.450420;distance=0.037310,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-77fa25ce9d205048,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,3,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-41f9a26d1cfcd633,G-40e8e2649ba8d3a6,H857,194,left,P0IMMEDIATE-09e3be62e32e6a12,P0CROPINDEX-84d39d1cdab7cc24,P0CLOSURE-77fa25ce9d205048,P0CROPOCRAUDIT-f4c41e2441ebf9ab,P0CROP-748e343e066c9899,6d9057eb49bb85379bc9bf59c65e1c17dbe60b56884447b6aa5455ab55bc10e2,c0c794fa5521f7c02e9856c3819480927f1f04275daf3dc7892227d3d7449fb4,x=0.043000-0.552000;y_bottom_origin=0.428644-0.622209,x=72-920;y=925-1399,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C3-中高置信,target_y=0.351675;distance=0.034401,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-94ee364aa3b0790d,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,4,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-8a3c24bfbc59571d,G-40e8e2649ba8d3a6,H857,194,left,P0IMMEDIATE-e14f97158c30f818,P0CROPINDEX-413a78a2ff395850,P0CLOSURE-94ee364aa3b0790d,P0CROPOCRAUDIT-26de0840c00cd668,P0CROP-be18b6cf009bb041,313120648d3895f3160a317c17c0861ccb4ade3b98d20f05324427cefdd33737,8478649efa02bbd56b159c66c4e6a37d1c470b02dad6fb84e68e477ba940e38a,x=0.043000-0.552000;y_bottom_origin=0.331279-0.622209,x=72-920;y=925-1638,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.229254;distance=0.020046,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-7eb8b4ca9bbf7ea8,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,5,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-eb2bc5f19a360334,G-40e8e2649ba8d3a6,H857,194,left,P0IMMEDIATE-24494c00cfd0c37e,P0CROPINDEX-ee99166c4e3c043b,P0CLOSURE-7eb8b4ca9bbf7ea8,P0CROPOCRAUDIT-2ea70c56f2830e43,P0CROP-251356739f32c814,ea541dc531a5ae54da6cf7703e4fb60d8ff8ba34e41c27ade3cb325cdf870e5e,f7f219ac0fbd20afa9b8a7749cab758d17cc25f31e5f864d18fc2188f79018e5,x=0.043000-0.552000;y_bottom_origin=0.360051-0.622209,x=72-920;y=925-1567,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.267598;distance=0.026795,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-7d7445076dfe0dd0,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,6,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-26d2edeaf4b862a5,G-a0f68bc50be1b3be,H857,194,left,P0IMMEDIATE-93509207bb2f1258,P0CROPINDEX-feeebf1e4ff178a3,P0CLOSURE-7d7445076dfe0dd0,P0CROPOCRAUDIT-1d366abfd9292e8a,P0CROP-4bc8857002d14825,8304b920addc9b5357d013fdd256a8a927d7a1d0fe7f9722879878de00414977,6fc4d8963f8a0efc59504bdaba107d45d6449addfeb1befbfdf7568718ee70d6,x=0.043000-0.552000;y_bottom_origin=0.147857-0.690020,x=72-920;y=759-2087,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.927644;distance=0.012115,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-974f8cca6584b6cc,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,7,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-50cab57f432b5cdc,G-a0f68bc50be1b3be,H857,194,left,P0IMMEDIATE-bc7d35594450138b,P0CROPINDEX-fd72427aefb67ace,P0CLOSURE-974f8cca6584b6cc,P0CROPOCRAUDIT-4a06065a9a323628,P0CROP-b8fdb82e8745caae,d8bb8a031d305725367d190ac678923630dfe10e7b381a9e18f86213d4a51f76,7a592d26739aeff541285d343287c7d9a2852ec6a54989e550a3e4df46c8791a,x=0.043000-0.552000;y_bottom_origin=0.147857-0.743898,x=72-920;y=627-2087,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.931818;distance=0.012949,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-3f924f2211790cce,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,8,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-8842bf5399054ddc,G-a0f68bc50be1b3be,H857,194,left,P0IMMEDIATE-f892df3333e9279e,P0CROPINDEX-6877dafc3bf13b3c,P0CLOSURE-3f924f2211790cce,P0CROPOCRAUDIT-e4e882743e6768f7,P0CROP-1a9ffeeaba2a2343,321d80f7478110c9495ea151221ba440cf34de223cdb2fd4ec86c0949f23d863,e82699206f91645967880cc5fca6c43bcca0f512745cedacd92274cbe9aee7a0,x=0.043000-0.552000;y_bottom_origin=0.147857-0.775735,x=72-920;y=549-2087,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.940485;distance=0.009370,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-72ad275fbc40aca6,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,9,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-d7bad17c82051950,G-98fa46f0f05ab76e,K753,235,right,P0IMMEDIATE-b6f237c72e679883,P0CROPINDEX-8bb5a1cd50717ed0,P0CLOSURE-72ad275fbc40aca6,P0CROPOCRAUDIT-f0f7f1957c93871a,P0CROP-742ddc221025d4cb,0e505f30841dd43a65f554606a7db3b9fa2f84b0d956f62577810e221a458357,7287319d3f47dc5ace938ca788f1f0f3227c7e4888fcdabb9baea3c688e23b1a,x=0.448000-0.957000;y_bottom_origin=0.022724-0.950337,x=747-1595;y=122-2403,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.874742;distance=0.012097,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R1-有高校官网辅证行但本字段无值,has_b0b1_school_sidecar,partial_source,,has_partial_source_needs_followup,false,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
P0FCONF-cac6350acde52d1d,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-p0-immediate-three-way-closure-public-ledger.csv,data/working/issue19-p0-immediate-crop-ocr-public-audit.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_field_confirmation_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×字段确认公开状态,false,false,false,false,false,false,false,10,10,M0-冲突优先双人核页,双人复核,先核PDF原页，再核湖北官方，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；双人复核未完成,专业计划数,M-0eb0b28d721dd807,G-40e8e2649ba8d3a6,H857,194,left,P0IMMEDIATE-8f91246341d39563,P0CROPINDEX-6e8c5b0e76fc3a66,P0CLOSURE-cac6350acde52d1d,P0CROPOCRAUDIT-f71ddcb3540a8dea,P0CROP-619d6804a7d49f0c,5e7501bc890bed4eb0b14d00d3ecd2ba7f433678a01ec619882561b8043121b9,730dcb05569147fd5eb9e297a54fa939b50c56b8f14a9271064817d028aa039b,x=0.043000-0.552000;y_bottom_origin=0.398139-0.622209,x=72-920;y=925-1474,EXEC-02-计划数偏大重点核页,IR-01-冲突异常和偏大先核,S5-机器候选偏大重点核页,A0-裁图OCR提示冲突优先人工核页,O4-目标行单一候选,high,C2-中置信,target_y=0.292426;distance=0.033029,crop_ocr_conflicts_reference,no_school_reference,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,true,false,true,true,false,false,false,true,pending_private_pdf_reading,pending_private_hubei_reading,not_applicable_no_school_field_clue,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、bbox、关系状态和门禁；不保存字段记录值、候选值、识别文本、图片路径、院校名、专业名、专业代号或专业组代码。,在私有字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有字段记录；公开账本只同步状态，不同步记录值。
