P0即时页列执行进度公开账本ID,来源P0即时页列核页执行队列,来源P0即时字段确认公开账本,来源私有字段确认工作台,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,页列执行总序,来源页码,版面列,页码版面键,P0即时页列核页执行队列ID,P0即时按页核页包ID,页列核页优先级桶,页列核页优先级数值,包内字段任务数,包内专业行数,包内裁图证据数,包内需要双人复核任务数,包内高校辅证核验任务数,PDF原页私有记录已录数,PDF原页私有记录未录数,湖北官方私有记录已录数,湖北官方私有记录未录数,高校辅证应录数,高校辅证已录数,高校辅证未录数,字段确认私有记录已录数,字段确认私有记录未录数,双人复核应完成数,双人复核已完成数,双人复核未完成数,冲突阻断任务数,三方字段一致性可评估数,可进入字段写回复查数,PDF原页私有记录状态分布,湖北官方私有记录状态分布,高校辅证私有记录状态分布,双人复核公开状态分布,字段事实写回评估状态分布,页列执行进度桶,页列执行进度状态,私有字段确认工作台SHA256,字段确认公开账本ID集合SHA256,P0字段即时复核任务ID集合SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,字段事实写回状态,公开安全策略,下一步
P0PAGEPROG-956a725bfaf5e2ec,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,1,80,right,080-right,P0PAGEEXEC-d30e1423498fe93b,P0PAGEPACK-00f3def34f5a054e,Q0-候选冲突页列先核,0,17,17,17,17,17,0,17,0,17,17,0,17,0,17,17,0,17,1,0,0,pending_private_pdf_reading:17,pending_private_hubei_reading:17,pending_private_school_reading:17,pending_double_review:17,blocked_until_required_private_readings_complete:17,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,1b8d8b647641e7e93f0269093c6e4ffc4e12373073d1f7a24ef7a88374b6ff0e,6b76f2223385feeda2f5e1dbfad9a8b021f9d63f9adc121cf93a1616827863c3,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-5a16435a66ea22aa,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,2,169,right,169-right,P0PAGEEXEC-ddc1bac1a5487398,P0PAGEPACK-cd3b51542cc7d04b,Q0-候选冲突页列先核,0,10,10,10,9,10,0,10,0,10,10,0,10,0,10,9,0,9,9,0,0,pending_private_pdf_reading:10,pending_private_hubei_reading:10,pending_private_school_reading:10,double_review_not_required:1；pending_double_review:9,blocked_until_required_private_readings_complete:10,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,ffb8a1bdfbbfac30bf0a7a9eb0773907cb5cb9f3635a34298a0fe60d551cc287,4d0d43fefe917b12c0551dd3457f7774ce8ada3a9f61e56ae254649aba40c4f4,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-f0b0a934656c96cd,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,3,194,left,194-left,P0PAGEEXEC-5b9328f636be1e95,P0PAGEPACK-89eb427fed468248,Q0-候选冲突页列先核,0,8,8,8,8,0,0,8,0,8,0,0,0,0,8,8,0,8,7,0,0,pending_private_pdf_reading:8,pending_private_hubei_reading:8,not_applicable_no_school_field_clue:8,pending_double_review:8,blocked_until_required_private_readings_complete:8,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,67d7feada1ba69b0cfbbd38c4c23335bddbb4efe3e24cc15211fc815f623e45c,e3c398d51c36c0077a65b512f36910f0d4bc44c78a486905ff63f13a9cfcbd77,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-c5e5efe518768f9e,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,4,226,left,226-left,P0PAGEEXEC-f0274750ae89f756,P0PAGEPACK-411cd183bf54a3a9,Q0-候选冲突页列先核,0,20,20,20,6,19,0,20,0,20,19,0,19,0,20,6,0,6,4,0,0,pending_private_pdf_reading:20,pending_private_hubei_reading:20,not_applicable_no_school_field_clue:1；pending_private_school_reading:19,double_review_not_required:14；pending_double_review:6,blocked_until_required_private_readings_complete:20,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,c8f497bdaad7bb4b00774f1660adfb4f635e3745dd2e43597aa3a5d9a2ce4cd9,7dfb252933e6b4c54231f531f1182a7fcfe391cbc7a69b9e77e010cd4e59e460,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-72fd474d9f4ca8b7,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,5,18,left,018-left,P0PAGEEXEC-240ff61ff074ab48,P0PAGEPACK-e6fcbd3e859eaf1c,Q0-候选冲突页列先核,0,10,10,10,5,8,0,10,0,10,8,0,8,0,10,5,0,5,3,0,0,pending_private_pdf_reading:10,pending_private_hubei_reading:10,not_applicable_no_school_field_clue:2；pending_private_school_reading:8,double_review_not_required:5；pending_double_review:5,blocked_until_required_private_readings_complete:10,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,fc6fc4415929813478be976743310269228b3ac0dfb12111fd078e857240562e,b05bf5dd1b170ad241581aa69e81aaf570bf1b40f13f8cb166e496733f0a6d1f,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-a77f08de8d595ea8,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,6,226,right,226-right,P0PAGEEXEC-0695bdbfcfe54dbc,P0PAGEPACK-d7bdebc8b96e5ba9,Q0-候选冲突页列先核,0,4,4,4,4,2,0,4,0,4,2,0,2,0,4,4,0,4,2,0,0,pending_private_pdf_reading:4,pending_private_hubei_reading:4,not_applicable_no_school_field_clue:2；pending_private_school_reading:2,pending_double_review:4,blocked_until_required_private_readings_complete:4,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,fd209bf1c6396375e258747be6761f5d6ca5b62e538118e4f21e886a9d0134da,b104310ec481d61b914a2260ec2ee633a7078ac4dce2311a469ef8dda2724ec3,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-e17e3da1331ad692,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,7,56,left,056-left,P0PAGEEXEC-6a2c8fd3e0c43914,P0PAGEPACK-b81bb38c05b8f59b,Q0-候选冲突页列先核,0,8,8,8,3,7,0,8,0,8,7,0,7,0,8,3,0,3,1,0,0,pending_private_pdf_reading:8,pending_private_hubei_reading:8,not_applicable_no_school_field_clue:1；pending_private_school_reading:7,double_review_not_required:5；pending_double_review:3,blocked_until_required_private_readings_complete:8,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,9bca84a26ae693dfec3e89e846429160e963187a30b57833b77345ee16babef4,3f96bc3bed45fd6d07e89e93f0f2921e6e43683a0b21d03ea8883b99f9235e6e,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-4301bf38c2a25aed,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,8,109,left,109-left,P0PAGEEXEC-eca3dc887dedf451,P0PAGEPACK-88d6eb3d65e87a26,Q0-候选冲突页列先核,0,4,4,4,2,4,0,4,0,4,4,0,4,0,4,2,0,2,2,0,0,pending_private_pdf_reading:4,pending_private_hubei_reading:4,pending_private_school_reading:4,double_review_not_required:2；pending_double_review:2,blocked_until_required_private_readings_complete:4,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,7178ce84fe4edd7bde209ac0c3e80943dcfbaebfa8f044eb0a0ed6decaf4275e,50f93e37bef78a33815b41aca308c5e405b6c739e42ce2edd6ff4fdd157b47fb,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-df11a69b37ae2ef9,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,9,209,right,209-right,P0PAGEEXEC-4dcf759f13ddb7e5,P0PAGEPACK-5613b3133a74a867,Q0-候选冲突页列先核,0,4,4,4,2,4,0,4,0,4,4,0,4,0,4,2,0,2,2,0,0,pending_private_pdf_reading:4,pending_private_hubei_reading:4,pending_private_school_reading:4,double_review_not_required:2；pending_double_review:2,blocked_until_required_private_readings_complete:4,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,e28552d6f0e8d48ecc3294e735e40f073e366ac5778c85fcc5716801332a7e23,9cd4483d6a18d2eee64d4b35640405293e03d762d6caa376d98bd110e0277e15,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-4c72894429630a3f,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,10,53,right,053-right,P0PAGEEXEC-008b8b7adc60d9d1,P0PAGEPACK-e90f65ee3f76776c,Q0-候选冲突页列先核,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,8e57df004812fdf69349d496315c7afd93e9d71aacf5f2bbc9aa456e838c6b43,b3db8c4107c1debbddce65ee3c538f9d88e1339456f69faa2bf620ac8766f869,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
