P0即时三方闭环公开账本ID,来源P0字段即时复核包,来源P0裁图证据索引,来源B0B1高校官网辅证旁挂表,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,闭环公开账本总序,即时复核总序,执行总序,执行批次,即时复核阶段,语义多源优先桶,字段名,专业行ID,专业组出现ID,院校代码,来源页码,版面列,P0字段即时复核任务ID,来源P0字段三方核验任务ID,来源P0字段三方核验执行包ID,专业行原页证据锚点ID,P0即时复核裁图证据索引ID,裁图证据编号,裁图文件SHA256,裁图规格SHA256,裁图bbox归一化,裁图bbox像素,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,私有窗口证据编号,窗口文本SHA256,机器候选状态,机器候选置信等级,机器候选与高校辅证关系,高校官网辅证覆盖状态,高校官网证据旁挂ID,高校官网证据强度,高校官网证据匹配状态,高校官网来源状态,高校官网来源文件,高校官网是否可替代湖北官方计划,高校线索复核批次,高校线索复核批次序号,是否有机器规范候选,是否有高校字段线索,是否机器高校可比对,是否机器高校一致,是否机器高校冲突,是否高校补缺线索,是否需要双人复核,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,PDF原页私有核验记录状态,湖北官方私有核验记录状态,高校辅证私有对照状态,三方闭环私有记录状态,人工字段确认表生成状态,闭环公开状态,闭环阻断原因,公开安全策略,下一步
P0CLOSURE-fbf4df965481d22c,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,1,1,1,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S1-多源字段冲突优先核页,专业计划数,M-6f60d88ce3a3687e,G-399026bbf2fbbc18,A195,56,left,P0IMMEDIATE-7b4b19f096c47639,P0TRIAGE-9870713e69d69823,P0TRIAGEPACK-50d3bd7c08fe7376,PDFANCHOR-5ac4cee05a0f7ec5,P0CROPINDEX-849c798a9b927a37,P0CROP-21bcb640e4c2a9b3,7585397e90fccc4ed14ff7eaa21290ce21689c40f9e35586aa95d0c5b3f69dd7,308137570b9fff9efa230856b2776a85ad0ba70c0ac4a473406896b2bf23a4b1,x=0.043000-0.552000;y_bottom_origin=0.092662-0.257384,x=72-920;y=1819-2222,page-056,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,056_page-056,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,PDFANCHOR-5ac4cee05a0f7ec5,e3bbbb23e77703bc25078114b0d183ef964772e26e34844b3a3171d2f4d149a0,P0C1-单一坐标候选待人工核验,medium,R5-机器候选与高校辅证字段冲突,has_b0b1_school_sidecar,B0B1SIDE-56014455288adc62,fill_candidate,matched,has_reusable_2026_hubei_plan_source,data/external/issue19-b0-b1-official-sources/lzu-2026-hubei-physics-normal-zsjh.json,false,H0-机器高校冲突先核,1,true,true,true,false,true,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,pending_private_school_sidecar_value_review,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-0d23753b844c97b7,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,2,2,2,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,专业计划数,M-d00c26dbacdf01ae,G-d3f006c8e5f4feff,A075,23,left,P0IMMEDIATE-0daf2a4ebb9317b0,P0TRIAGE-71753ff257bdf378,P0TRIAGEPACK-9ecdadccde44babd,PDFANCHOR-1dd7bac1c6fc15f0,P0CROPINDEX-4bfa42731242f400,P0CROP-99d757d08d99e8e5,eea2a4bc5e5793b7a2a48111564026526a39bc2c9595d4492afe2b087fd020fb,f0ddab9899f51683291a9ae19a70c6814e2b9027caa1ac3a44de41cc8aea0d43,x=0.043000-0.552000;y_bottom_origin=0.527500-0.725244,x=72-920;y=676-1162,page-023,1f5622b697b4c0a1fa2c8d56049ae4127722d02df64fb0adf48ac14435696268,023_page-023,c42197e5a0ce2ec3bf44a8cb1189943558709229b3d40d18f99a8fcfce79c65c,PDFANCHOR-1dd7bac1c6fc15f0,212ee0adcf3ac05ca2be81968a8bf492ee3f273057c5f2fc021321cf70da0868,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-05a4d80e4392729f,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,3,3,3,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,专业计划数,M-bd5236570ff0b18a,G-0982c5e9e2f76632,A145,40,right,P0IMMEDIATE-a17fc8078317a33d,P0TRIAGE-133bbdc803f60736,P0TRIAGEPACK-0e2ecbf9f92186c5,PDFANCHOR-0e779ef7e24c7db6,P0CROPINDEX-05784d15a4bff9b2,P0CROP-194985d27c9a99eb,16d670d77966fa2932a221b2698b7cfc08e38fb6904e93b93ad95d1ccfe90459,eb475544020656b1343b9a082f3470df8104905aed48ba14d17f92e3d738de11,x=0.448000-0.957000;y_bottom_origin=0.426633-0.614942,x=747-1595;y=943-1404,page-040,27fd7f973876c95cf16623bbf2c84b18765c51396d5ee89cb552d54b2f9907f9,040_page-040,8d2844b1e7e3ca7923bdfa4db72c7d9b081ca8279d822c8653ade4787d69e33e,PDFANCHOR-0e779ef7e24c7db6,6aac5d29f1ce092eb67927ba6a61d0ba7c8216f6572ee0cb98c867ed80dd68f9,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-404f23dadae85dae,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,4,4,4,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,专业计划数,M-a3b3fb4cce94a6b1,G-9eb5729c6ba5bb05,A151,43,left,P0IMMEDIATE-57a7929d1167fa84,P0TRIAGE-d9dc89d5db58c5fd,P0TRIAGEPACK-c6c2e649a4cf2b7e,PDFANCHOR-58180edecbfb3b75,P0CROPINDEX-746d258c1d6b950f,P0CROP-4631da05ed442e6c,7b3f90ea6b421afedcd3495248f02b6d966aebdb28afe94126b03bd03a36a377,6f5d8c8edecba76f79917c51c07241ce41d6069d81d8bb0eb1f27e96aa7bc0df,x=0.043000-0.552000;y_bottom_origin=0.544942-0.664268,x=72-920;y=826-1119,page-043,6cf910bcb2079114eac92f46e510fc9d46751bde2773992136869d89a9848216,043_page-043,45f13e3e0f91a701309b5e778164c6cfd0165ccfd7a8b51f9388e094dc67b29c,PDFANCHOR-58180edecbfb3b75,73b37b967cc72730adee0aa5bf631f44f4552220856721192226b37e728ebef0,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-ff1804250dcfc260,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,5,5,5,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,学费,M-0948630e9c96d719,G-09c809b3416aa6ab,A185,53,right,P0IMMEDIATE-42c5378f6377dc51,P0TRIAGE-7628b5f0b9ae7008,P0TRIAGEPACK-b064f24c45ed38ce,PDFANCHOR-591084ec4b98df43,P0CROPINDEX-cfd219f9f00c371e,P0CROP-a5ac7751175425d4,34e3b80b7db3e171bfd6debfe99cf21b2b93baeafb3998946c8a654e04d47fa8,c753515cb1b9a8b0951c6900771a412ffdfa36c481377634f21e2fcfbb567773,x=0.448000-0.957000;y_bottom_origin=0.281794-0.414268,x=747-1595;y=1440-1766,page-053,456f4a85c05162755dbb1ae8671fe9f91cf9bf578f5ba7721a8e3c057604284b,053_page-053,04fc62dd68730ba7e918b57c9a7d2931afab76e766459e1dca014fd41df77a67,PDFANCHOR-591084ec4b98df43,2fb554431bb546f87b7d6bdfbb3704323de7008f5136761139e87f106d3fba81,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-764c5d715983bd1f,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,6,6,6,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,专业计划数,M-33fd60126319d2e3,G-ac06627d5c6676be,C108,70,left,P0IMMEDIATE-8b19be64e48e859f,P0TRIAGE-910960d673a7ed04,P0TRIAGEPACK-5beacad58d9192db,PDFANCHOR-70eddd8c430d3ec2,P0CROPINDEX-d4cf63babc90d3b5,P0CROP-5b665a78f9dd4a20,5b45d6521b5f7983a6c68d95e1f554366439029425fbba97ef800cf3abba3ba6,44e88688d24d9e32dac705d0003b0b3682d8e0eb4e97181865e9aff7a9b30bc8,x=0.043000-0.552000;y_bottom_origin=0.000000-0.309694,x=72-920;y=1691-2449,page-070,31a8fa321c47651c5e47aa7518b6066580a4f8430352effc2afdbc7ed7a7d909,070_page-070,8c63d3c1beb34f1581118eee112ddd7131a1353c7836c8f4d885bf507efde235,PDFANCHOR-70eddd8c430d3ec2,97b103ac31151befbe16617f818c10674f8315e8e4d2d69ef70b3a728e8cd476,P0C1-单一坐标候选待人工核验,medium,R1-有高校官网辅证行但本字段无值,has_b0b1_school_sidecar,B0B1SIDE-49b0d25be2ddab3d,partial_source,,has_partial_source_needs_followup,,false,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-1bd761f17292de21,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,7,7,7,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,学费,M-5f2c58c2cd393f06,G-a6db479a7a076023,F008,93,left,P0IMMEDIATE-2921c66321f93e57,P0TRIAGE-7d6ae2bdb63e3b50,P0TRIAGEPACK-91e8768710e789c0,PDFANCHOR-83f4f719b48d3b14,P0CROPINDEX-d1665f3e87fbf43f,P0CROP-f5b4d2a649b96cf4,2fe82260a3ce1cb5a40f9d6285ed25ffbc984a5d03fd345eeab846451e0e0cf1,5d6e8a2f7a2ba50b83b724ee8540d367dfda93522156443462899c0e9f752bd5,x=0.043000-0.735769;y_bottom_origin=0.289012-0.447791,x=72-1227;y=1358-1748,page-093,93bffc68e348f752482eda714dd886e982d0a3935b749d6607c333b0c18f14a0,093_page-093,261c15e10e62ca9443e62fce9cc36aca7f83830a085d631778e0b11cb370edfb,PDFANCHOR-83f4f719b48d3b14,0eb380aa96ae0210b8d8b99daf9e16c7ea6f10cfd61adee785aea4db61db5c60,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-6d703948b0c7ff5b,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,8,8,8,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,学费,M-ab056be9f534d089,G-13ade75559db9581,H023,141,left,P0IMMEDIATE-3f80ea2c5da38e77,P0TRIAGE-742656007b750882,P0TRIAGEPACK-e5832e40b498d002,PDFANCHOR-e804570e30d87cdf,P0CROPINDEX-24d73a37689e71f9,P0CROP-1d114d34397007fe,49b9bb999c317fc7732f6cf59d49d3f9b297182471400dd40be951ec63cd6793,f833489647195f7e5dbee0d9e88c86ae6dfcdd7e905cceb7a3cb355f1ceea95a,x=0.043000-0.729345;y_bottom_origin=0.055117-0.174431,x=72-1216;y=2030-2323,page-141,22182c55e2db4678755153c2a0ed3cb41cee018fa8c82047daecdfb5b8dddf1c,141_page-141,94f874410d026387cecd147b47d4e6f0549193af2988136a9a02cb6018c18ab0,PDFANCHOR-e804570e30d87cdf,154dd149d2031343fa41ad534e852c87588dc373e65dba57484a58300599374b,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-77fa25ce9d205048,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,9,9,9,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,专业计划数,M-41f9a26d1cfcd633,G-40e8e2649ba8d3a6,H857,194,left,P0IMMEDIATE-09e3be62e32e6a12,P0TRIAGE-1aafceb3359add69,P0TRIAGEPACK-02eb2f1224de2e8c,PDFANCHOR-bb1a3afec631c70e,P0CROPINDEX-84d39d1cdab7cc24,P0CROP-748e343e066c9899,6d9057eb49bb85379bc9bf59c65e1c17dbe60b56884447b6aa5455ab55bc10e2,c0c794fa5521f7c02e9856c3819480927f1f04275daf3dc7892227d3d7449fb4,x=0.043000-0.552000;y_bottom_origin=0.428644-0.622209,x=72-920;y=925-1399,page-194,64fbd70faa0dca2fb2415b2a49ba1f7f25ccc69d3d1eb2ba39f8cb1d41740af5,194_page-194,963bfd5d139aeaa5f300824b936e6514af9c2e6ce31091b975ab985cb23112cd,PDFANCHOR-bb1a3afec631c70e,360c76deab5601808d450bb4d165a166a92394609f26d044406a40f133fe1f09,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
P0CLOSURE-94ee364aa3b0790d,data/working/issue19-field-fact-p0-immediate-review-packet.csv,data/working/issue19-p0-immediate-pdf-crop-evidence-index.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_three_way_closure_public_ledger,逐专业招生明细,逐专业招生明细×P0字段×三方闭环公开状态,false,false,false,false,false,false,false,10,10,10,EXEC-01-冲突异常立即核页,IR-01-冲突异常和偏大先核,S2-机器候选语义异常优先排除,专业计划数,M-8a3c24bfbc59571d,G-40e8e2649ba8d3a6,H857,194,left,P0IMMEDIATE-e14f97158c30f818,P0TRIAGE-82a1976227df770d,P0TRIAGEPACK-02eb2f1224de2e8c,PDFANCHOR-b5f9c2250b4f91a0,P0CROPINDEX-413a78a2ff395850,P0CROP-be18b6cf009bb041,313120648d3895f3160a317c17c0861ccb4ade3b98d20f05324427cefdd33737,8478649efa02bbd56b159c66c4e6a37d1c470b02dad6fb84e68e477ba940e38a,x=0.043000-0.552000;y_bottom_origin=0.331279-0.622209,x=72-920;y=925-1638,page-194,64fbd70faa0dca2fb2415b2a49ba1f7f25ccc69d3d1eb2ba39f8cb1d41740af5,194_page-194,963bfd5d139aeaa5f300824b936e6514af9c2e6ce31091b975ab985cb23112cd,PDFANCHOR-b5f9c2250b4f91a0,3981c638cbf7a491f4998cdc36cee574154cfc0a6242f7052eec4404c8566f70,P0C1-单一坐标候选待人工核验,medium,R0-无高校官网辅证行,no_b0b1_school_sidecar,,,,,,,H9-无高校字段线索或待判,9,true,false,false,false,false,false,true,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,pending_private_pdf_page_review,pending_private_hubei_official_review,not_applicable_no_school_field_value,pending_private_three_way_closure,blocked_until_private_three_way_closure,pending_private_three_way_review_not_final,PDF原页、湖北官方系统或省招办计划、高校官网或章程尚未在私有记录中三方闭环；公开账本不保存具体字段内容，不能写回主表或进入推荐。,公开账本只保存任务ID、证据编号、SHA、bbox、状态和门禁；具体字段内容、本地裁图路径和复核备注只在本地私有模板。,按闭环公开账本总序回看裁图和PDF原页；再录入私有三方核验记录；闭环后另建人工确认表。
