P0Top3字段公开账本ID,来源P0Top3公开复核包台账,来源P0Top3私有字段核验表,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许字段写回,字段总序,P0Top3公开复核包ID,核验包编号,页码版面,来源页码,版面列,字段名,字段候选关系桶,PDFOCR字段候选状态,高校辅证字段候选状态,是否需要双人复核,是否需要人工看图,PDF原页待记录状态,湖北官方待记录状态,高校辅证待记录状态,三方一致性状态,字段事实写回状态,来源任务ID_SHA256,来源专业行ID_SHA256,来源院校代码_SHA256,来源专业组代码_SHA256,来源专业代号_SHA256,私有字段核验表证据编号,私有字段核验表_SHA256,私有字段线索_SHA256,下一步,公开安全边界
P0TOP3FPUB-a4d384ecaf980b3c,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,1,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,专业计划数,R0-候选冲突,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,43a9274de05c6c1089ef332d4a697d851c3214e1f1e7560c9dce5894515cf9b4,e1f499f79452c30271701e5a171c690d1c90847f5db9c46be90c8f2abd34c43b,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,0b8efa5a3bf104413a725c6ff0459a6be12b1fd33314cbb138745baf39504ae5,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,5de6ded9265b96dde660a19e5bcd0316564c1c09b7461293ab182f53849fb118,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-9a0438b4daec0779,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,2,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,学费,R3-仅高校辅证候选,missing_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,43a9274de05c6c1089ef332d4a697d851c3214e1f1e7560c9dce5894515cf9b4,e1f499f79452c30271701e5a171c690d1c90847f5db9c46be90c8f2abd34c43b,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,0b8efa5a3bf104413a725c6ff0459a6be12b1fd33314cbb138745baf39504ae5,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,05e4c14a8bd61f1bc64d642ccb4a37aa674646f0b1fd6c5812152e73b6933668,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-d0f18cf3f2d893b0,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,3,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,再选科目,R2-仅PDFOCR候选,has_pdfocr_candidate,missing_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,43a9274de05c6c1089ef332d4a697d851c3214e1f1e7560c9dce5894515cf9b4,e1f499f79452c30271701e5a171c690d1c90847f5db9c46be90c8f2abd34c43b,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,0b8efa5a3bf104413a725c6ff0459a6be12b1fd33314cbb138745baf39504ae5,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,02841be72e87bcf3da283ccc83adb25855b5357058844999f6fd246843e429e8,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-73a5cf500c471daa,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,4,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,专业计划数,R0-候选冲突,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,c9d4d71dcb45ac961d42ef8fe6b6fe120bf1d87074d02cff836eb77cf867c1a5,6c282f98474f778c787352ee539207ff15d7a968a0c742717dc409b29aa2e3a2,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,0c06d62583f5f93c180ba3bb9cbcd5de98d5948529016943d5d27ad3484ba7f0,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-8959e3a82916af3e,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,5,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,学费,R1-候选一致,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,c9d4d71dcb45ac961d42ef8fe6b6fe120bf1d87074d02cff836eb77cf867c1a5,6c282f98474f778c787352ee539207ff15d7a968a0c742717dc409b29aa2e3a2,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,9c9735e6209320a7409861e3b55e7d781038b828513232c435d77442e7567dff,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-7aea8c8b2d9aae46,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,6,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,专业计划数,R0-候选冲突,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,223d9201e7e6e9401d8b27938a095816b9679ca0bba8720738d87c063078c7b2,8361a4614327fff856bdbf43abd4c26d8072108fbd1f2df938939e38fd92a5f9,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,c97550ce8213ef5cf6ed4ba48790c137df3ef6a5da20b48961001a634b6cead2,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,63433a3b84d2e0713cdeccc90daba79f08de8bef5d6fde30b422e9dadfb60798,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-f91af24d26637b02,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,7,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,学费,R1-候选一致,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,223d9201e7e6e9401d8b27938a095816b9679ca0bba8720738d87c063078c7b2,8361a4614327fff856bdbf43abd4c26d8072108fbd1f2df938939e38fd92a5f9,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,c97550ce8213ef5cf6ed4ba48790c137df3ef6a5da20b48961001a634b6cead2,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,c0c524554b56bd0f3ce85376791b316e43f881af0fdcdf7a52e41d11bb250050,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-6ad107a10ce7cf86,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,8,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,专业计划数,R0-候选冲突,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,de3146842fbcc37c79bd227404bdbb82139324ba7dce72eb0d4d770961351651,d18cb014a1473c8cde903989ae299a282bf440a8bb347c6759d93f39f2e9b03f,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,aacd834b5cdc64a329e27649143406dd068306542988dfc250d6184745894849,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,bdc6f1df198ff39cbcf708b965eec2c3a91b564e368a8e751e202c610ce562e2,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-1ee546acdc783c5f,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,9,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,学费,R1-候选一致,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,de3146842fbcc37c79bd227404bdbb82139324ba7dce72eb0d4d770961351651,d18cb014a1473c8cde903989ae299a282bf440a8bb347c6759d93f39f2e9b03f,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,aacd834b5cdc64a329e27649143406dd068306542988dfc250d6184745894849,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,f9ffdcf3d87fe22f6b267ffa2a75d5162f80e4b9b8a4dbf936635a3c9a60274a,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
P0TOP3FPUB-6f1eb71b60fe9002,data/working/issue19-p0-top3-review-packet-public-ledger.csv,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_top3_field_review_public_ledger,逐字段,P0冲突top3×专业行×字段,false,false,false,false,false,10,P0TOP3PACK-32e62d3ca104776a,FCACT-21bf5d03c4063f0e,135-left,135,left,专业计划数,R0-候选冲突,has_pdfocr_candidate,has_school_evidence_candidate,true,true,pending_private_pdf_field_reading,pending_private_hubei_field_reading,pending_private_school_field_reading,pending_private_three_way_field_confirmation,blocked_until_private_field_readings_complete,735610b28bfbcb87bd2f520fcc416d72c7845f708bb869e1cddc930e693996ae,0eee230accca443035b37165e0814f27c9d0b9125a4b478669c487c6965bce49,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,d5ebc778cebfc14a7c34f24792f2c9f798b9234d77080606bf24cd902e71626c,19b100ab7725c612f3d80ff203ca53cea5cadaafae3bf0f88f0fb4089fe08815,P0TOP3-PRIVATE-FIELD-REVIEW-CSV,37b6a2e7d08b51c78e33e3168373071a8f3e407169c0fc712851387c4b8f463d,5b034bb6ee63f2331118732b72d9aa8fb70f7cde514edcdb13964220554ac86b,在私有字段核验表逐字段补PDF原页、湖北官方侧和高校辅证字段值；三方闭环前不得写回。,公开层只保存字段名、状态、关系桶、证据编号和SHA；不保存候选值、人工读数、院校专业明细或复核备注。
