页级保真队列ID,来源页级manifest,来源底座按页审计,来源全量逐专业保真总账,来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,PDF页码,页码范围角色,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,OCR识别行数,OCR平均置信度,OCR_QC_P0数,OCR_QC_P1数,疑似招生计划行数,页面复核优先级,页面阻断等级,页面审计状态,页面专业组数,页面专业明细数,页面院校数,页面结构异常数,页面高严重结构异常数,高风险保真行数,低风险行数,F0阻断行数,F1高优先行数,F2待补证行数,F3低风险非最终行数,P0结构串行行数,P1计划数保真行数,P2家庭费用行数,P3选科限制行数,P4调剂风险行数,P5偏好或普通待核行数,P6暂未触发机器高风险行数,空专业名行数,高严重结构异常专业行数,结构异常专业行数,计划数字段风险行数,学费字段风险行数,再选科目字段风险行数,家庭底线风险行数,偏好专业行数,候选池V1专业明细数,样本学校专业明细数,涉及院校数,涉及专业组数,风险字段Top,风险规则Top,必须核验字段,是否可进入最终页级结论,可进入下一阶段,下一步
PAGEFID-c328570f5a021d9a,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,10,招生计划明细页,page-010,64b7465273f94ff5354ef12a46406804363ae06dfed325ff974e79dc57c2bdeb,010_page-010,4c6edcf548f1403c7988c30e7dd6d8107c0bbea1b67b0ec515cbd48426c6c6a5,200,0.7100,32,77,15,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,4,33,3,5,5,33,0,6,26,1,0,5,27,0,0,0,1,0,0,5,5,15,0,29,1,8,0,0,3,4,组内字段风险:32；再选科目字段:29；调剂风险:21；计划数字段:15；偏好专业:8；结构异常:5；家庭底线:1,group_has_plan_count_untrusted:32；missing_subject_candidate:29；group_has_rejected_medical_or_nursing:21；missing_plan_count_candidate:15；plan_count_not_verified_numeric:15；preference_major_candidate:8；high_structure_anomaly:5；tuition_number_le_500:3,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-f10d79263959aad3,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,11,招生计划明细页,page-011,deeeb2a0bc2bae5fa894151107ba4c95937fe6879d77a513591b78d0805b796e,011_page-011,7d03cefe1169603ae92fa547b69066666e2459f958568ec748a53822edfaf5d3,254,0.7193,57,85,10,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,9,29,2,2,2,28,1,4,20,4,1,2,20,2,4,0,0,1,0,2,2,2,0,26,5,8,0,0,3,8,再选科目字段:26；调剂风险:23；组内字段风险:21；偏好专业:8；家庭底线:5；结构异常:2；计划数字段:2；费用底线:2,missing_subject_candidate:26；group_has_plan_count_untrusted:21；group_has_rejected_medical_or_nursing:20；preference_major_candidate:8；high_fee_or_coop:3；family_machine_reject_fee:3；group_has_high_fee_or_over_budget:3；high_structure_anomaly:2,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-d322b748f4efdb44,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,12,招生计划明细页,page-012,5969cef2d3e6c63a2726d5e15f38dcb35a54da11033a43b6e3688d3a12db3345,012_page-012,a30189079ee58d03e47d96262a20d27986fc56126fe8cc029a6843cd6e0a4042,231,0.7139,58,69,9,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,6,24,2,20,13,24,0,14,10,0,0,13,11,0,0,0,0,0,0,13,15,20,0,17,10,6,0,0,2,7,组内字段风险:24；调剂风险:24；计划数字段:20；再选科目字段:17；结构异常:15；家庭底线:10；偏好专业:6；OCR置信度:4,group_has_plan_count_untrusted:24；missing_plan_count_candidate:20；plan_count_not_verified_numeric:20；missing_subject_candidate:17；group_has_rejected_medical_or_nursing:15；high_structure_anomaly:13；tuition_number_le_500:12；high_fee_or_coop:7,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-8f85d27a92f8e877,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,13,招生计划明细页,page-013,8bbcadfd223ab0799c308ff1c04cd8920d72e4f4ddfc7ba7e9e2da597edaffb9,013_page-013,85b2e8efa42f947a142d0e421ed0aec34bcd42b97e39e2b3734904aa11bf2699,238,0.6983,73,64,12,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,9,31,3,17,11,31,0,11,19,1,0,10,12,1,7,0,1,0,0,10,14,22,11,25,2,4,0,0,3,9,再选科目字段:25；计划数字段:22；组内字段风险:18；调剂风险:16；结构异常:14；学费字段:11；特殊限制:8；OCR置信度:5,missing_subject_candidate:25；group_has_plan_count_untrusted:18；missing_plan_count_candidate:13；plan_count_not_verified_numeric:13；missing_tuition_candidate:11；tuition_not_verified_numeric:11；group_has_rejected_medical_or_nursing:11；high_structure_anomaly:10,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-798fa44c925d4843,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,14,招生计划明细页,page-014,2eefb744e7de8cc887bc3babf0224d92281686d772c1673e2ab00f260320dca7,014_page-014,59a529e98c7ab5d0161f5a067b75aaab3d244ece7cbcc58dfff9089f04fe5a14,249,0.6924,106,55,17,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,8,33,2,31,26,33,0,22,11,0,0,21,12,0,0,0,0,0,0,21,23,33,5,28,9,6,0,0,2,8,组内字段风险:33；计划数字段:33；再选科目字段:28；调剂风险:25；结构异常:23；特殊限制:9；家庭底线:9；偏好专业:6,missing_plan_count_candidate:33；plan_count_not_verified_numeric:33；group_has_plan_count_untrusted:33；missing_subject_candidate:28；high_structure_anomaly:21；tuition_number_le_500:20；group_has_special_requirement_pending:18；group_has_high_fee_or_over_budget:18,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-b582a79b0a707874,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,15,招生计划明细页,page-015,d83fea392592b1598633a90326a5ee6219afa877d6e5cb206b8f86c8469d422b,015_page-015,fe7db32ab4867a31f5884918c86233167abc707913db8f17ea924caff458070f,249,0.6659,48,106,13,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,5,37,2,13,7,37,0,7,30,0,0,5,32,0,0,0,0,0,0,5,9,8,8,31,6,3,0,0,2,6,组内字段风险:36；再选科目字段:31；调剂风险:18；结构异常:9；学费字段:8；计划数字段:8；家庭底线:6；OCR置信度:4,group_has_plan_count_untrusted:36；missing_subject_candidate:31；group_has_rejected_medical_or_nursing:13；tuition_not_verified_numeric:8；missing_plan_count_candidate:7；plan_count_not_verified_numeric:7；group_has_high_fee_or_over_budget:6；missing_tuition_candidate:6,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-6d4c60b6b32ee4fa,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,16,招生计划明细页,page-016,6a17cdf9d4e67e3462b1245766bd51590966a488f63b539566f4adcfd76db247,016_page-016,cb398fc75b5e03f7394562b22ae3d150bca178b0e214011baf11a016da30df7d,264,0.6955,108,55,21,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,15,42,3,19,8,41,1,14,24,3,1,8,26,0,7,0,0,1,0,8,16,31,1,41,8,4,0,0,3,15,再选科目字段:41；组内字段风险:34；计划数字段:31；结构异常:16；调剂风险:12；OCR置信度:10；家庭底线:8；特殊限制:6,missing_subject_candidate:41；group_has_plan_count_untrusted:34；missing_plan_count_candidate:31；plan_count_not_verified_numeric:31；group_has_rejected_medical_or_nursing:12；low_ocr_confidence:10；high_structure_anomaly:8；medical_or_nursing_rejected:8,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-bf014c757491541c,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,17,招生计划明细页,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,017_page-017,90c74c3dafb62f9f212f7a3968830b625546a6dac3ef3a549f8de4c9937191fe,277,0.6996,88,69,9,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,11,52,4,14,6,49,3,13,21,15,3,5,27,1,15,0,1,3,0,5,13,6,1,42,12,7,1,0,5,11,再选科目字段:42；调剂风险:32；组内字段风险:28；特殊限制:15；结构异常:13；家庭底线:12；OCR置信度:8；偏好专业:7,missing_subject_candidate:42；group_has_special_requirement_pending:28；group_has_plan_count_untrusted:28；special_requirement_pending:15；group_has_rejected_medical_or_nursing:12；medical_or_nursing_rejected:10；family_machine_reject_medical:10；structure_anomaly:8,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-4338e559d7d3cb53,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,18,招生计划明细页,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,254,0.6953,61,89,18,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,17,41,4,22,20,41,0,14,27,0,0,14,27,0,0,0,0,0,0,14,16,39,6,30,6,13,0,0,4,17,组内字段风险:40；计划数字段:39；再选科目字段:30；结构异常:16；偏好专业:13；调剂风险:8；家庭底线:6；学费字段:6,group_has_plan_count_untrusted:40；missing_plan_count_candidate:39；plan_count_not_verified_numeric:39；missing_subject_candidate:30；high_structure_anomaly:14；tuition_number_le_500:13；preference_major_candidate:13；tuition_not_verified_numeric:6,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-8447694076b6da99,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,19,招生计划明细页,page-019,7541910ef581f7f3e1369d5ac1e2b89c0e91a729614915e8be700288d965c4b3,019_page-019,c5238d45f3b99248726a2036cfef38959d1327066c50306ecc02eda6b0eb5baf,214,0.6925,56,71,13,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,16,48,5,10,6,47,1,6,34,7,1,4,33,2,8,0,0,1,0,4,8,29,9,44,9,3,0,0,5,17,再选科目字段:44；组内字段风险:36；计划数字段:29；调剂风险:20；家庭底线:9；学费字段:9；结构异常:8；特殊限制:5,missing_subject_candidate:44；group_has_plan_count_untrusted:36；missing_plan_count_candidate:29；plan_count_not_verified_numeric:29；group_has_special_requirement_pending:10；tuition_not_verified_numeric:9；missing_tuition_candidate:8；high_fee_or_coop:7,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
