来源期号,来源PDF_SHA256,数据阶段,最终可用,PDF页码,页码范围角色,私有页图证据编号,私有页图SHA256,私有页图大小字节,私有OCR文本证据编号,私有OCR文本SHA256,OCR引擎,识别语言,OCR识别行数,OCR平均置信度,OCR错误,OCR行类型分布,OCR栏位分布,OCR_QC_P0数,OCR_QC_P1数,疑似招生计划行数,结构化状态,结构化院校数,结构化专业组数,结构化专业明细数,结构异常数,高严重结构异常数,候选V2字段任务数,候选V2字段P0任务数,底座页级复核优先级,底座页级审计状态,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,1,前置说明页,page-001,5c5b93a3757a1bcac6073cc32cf3b3d7b068054161680293a1fa04fb801862bb,2892914,001_page-001,9bbed9bf9bbcedd165e598cc7a3a2845aaf54c5204389e1b125c8bb040d9dfab,apple_vision,"zh-Hans,en-US",53,0.8642,,text:53,left:39；outside:1；right:13,1,13,0,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,2,前置说明页,page-002,3ca080bd76005b4c22f2c1a2fc12d1b7bb42018f7e46fb90fd906f6c74dee8e0,3308725,002_page-002,1dac52c785cc1ceb4d762ca66b475ad4a028ffe89959bb678c03d8838197d45c,apple_vision,"zh-Hans,en-US",66,0.7348,,major_or_numbered_line:4；page_header:1；text:61,left:65；right:1,10,22,2,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,3,前置说明页,page-003,172fa6be810411c175e565e7d6cf1ea910d9db83a66b496979ca5b24ed50861b,3403197,003_page-003,0193b11b06a4687355f217bf432e867d398f2c67a1f154370827a12497f1452b,apple_vision,"zh-Hans,en-US",71,0.9000,,major_or_numbered_line:5；page_header:2；table_header:14；text:50,left:33；right:38,10,9,14,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,4,前置说明页,page-004,af71a81489deeac042f9edc612103e427195982dde1654af0397fa37a6fab556,3634581,004_page-004,ef8b92b422b711d138c64bf4502edd3b5faaa1dffda8872ac0cace8847fec6be,apple_vision,"zh-Hans,en-US",95,0.8842,,major_or_numbered_line:3；table_header:21；text:71,left:53；outside:1；right:41,6,15,22,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,5,前置说明页,page-005,cc01b5bf52e8ded0065eaaa6dc1c83c0cb1d8d6ef4fda280929c8b1d291c6c89,1930538,005_page-005,76ff9c6b9738f09c5fb2cf861933c5c42febacf2d5e5b670d6dbefcca45ef939,apple_vision,"zh-Hans,en-US",67,0.7045,,page_header:1；table_header:2；text:64,left:40；right:27,9,27,8,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,6,前置说明页,page-006,c13c0111d8474bdcf8255c69a9b22a59c41779077582b140ddb84424e55bccb6,1815772,006_page-006,4b677fae034428c9b6e3313aa1a14a4dd9160f19ebdb3ba5bf4bd89d68dc54ea,apple_vision,"zh-Hans,en-US",58,0.6500,,major_or_numbered_line:1；page_header:1；table_header:2；text:54,left:50；outside:1；right:7,14,21,8,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,7,前置说明页,page-007,8a95e60089784f181aed421e9b960fa9fbf6edecfb85b9d7bfbd80318186c12e,2947118,007_page-007,849b8f4bd36f96aaa86e6131b63d03f1c581593319fbd8c0b9629b9531f04400,apple_vision,"zh-Hans,en-US",46,0.7739,,major_or_numbered_line:3；page_header:5；text:38,left:32；right:14,7,11,5,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,8,前置说明页,page-008,44688784a780f018b6d14a5fdb631c06fb4bd0169eefc77930f6805fde4cc4d3,3296389,008_page-008,939f2f37fe17bd068368e76af73e2c62fb6ce1345acab85d09f2365114b635c6,apple_vision,"zh-Hans,en-US",45,0.8556,,major_or_numbered_line:6；page_header:4；table_header:8；text:27,left:44；outside:1,11,6,18,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,9,前置说明页,page-009,39d5f01524637f1ed043a55e449c93bc34b949dba954851fb1a0159beb836489,3182837,009_page-009,7a4535f928f7437dce3d8c464aa7524ed66ef762611c3e247d1556c61873a413,apple_vision,"zh-Hans,en-US",39,0.8769,,major_or_numbered_line:7；page_header:5；table_header:1；text:26,left:26；right:13,9,4,5,非结构化前置页或未抽取招生明细页,0,0,0,0,0,0,0,,,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,10,招生计划明细页,page-010,64b7465273f94ff5354ef12a46406804363ae06dfed325ff974e79dc57c2bdeb,3783780,010_page-010,4c6edcf548f1403c7988c30e7dd6d8107c0bbea1b67b0ec515cbd48426c6c6a5,apple_vision,"zh-Hans,en-US",200,0.7100,,major_or_numbered_line:77；page_header:3；school:7；table_header:2；text:111,left:111；outside:1；right:88,32,77,15,结构化招生计划页,3,4,33,5,5,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
