页列底座全批次公开审计ID,来源页列底座字段线索公开审计,来源私有字段线索模板,来源私有人工复核Overlay,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动标记核验完成,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,页列底座核验批次行ID,页列底座字段线索公开审计ID,来源页码,版面列,页码版面键,综合风险优先级桶,页列首要核验动作,包内专业行数,包内字段任务数,批次字段任务数,批次专业行覆盖数,批次字段名分布,批次阻断等级分布,批次字段状态分布,批次规范线索非空任务数,批次OCR线索非空任务数,批次多值线索任务数,批次疑似错位线索任务数,批次需PDF原页核验任务数,批次需湖北官方核验任务数,批次需高校辅证任务数,批次可自动写入正式Overlay任务数,批次建议动作分布,批次页列状态,私有批次明细证据编号,私有批次明细CSV_SHA256,私有批次页列记录数,私有批次总记录数,公开安全策略,下一步
PSALLBATCHPUB-7c3579c68602ace3,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,1,1,PSFOUNDATIONBATCHROW-06e92054533d3234,PSFIELDCLUE-5e3aa36636e6e4f5,117,left,117-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,31,93,93,31,专业计划数:31；再选科目:31；学费:31,Q0-字段缺口无候选阻断:33；Q1-字段缺口有候选待人工核验:54；Q2-OCR字段齐全但PDF和官方未闭环:6,K0-字段缺口无候选需原页重读:22；K1-字段缺口有候选待PDF原页和官方核验:18；K2-OCR候选存在但三方核验未闭环:53,18,54,2,0,93,93,0,0,A1-无线索先人工读PDF原页:33；A2-带线索核PDF原页再核湖北官方:54；A3-OCR齐全但仍需PDF和湖北官方闭环:6,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,93,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-7eb75ee2d58b0a35,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,2,2,PSFOUNDATIONBATCHROW-02e75975268bf362,PSFIELDCLUE-18821aeb00080931,63,left,063-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,99,33,专业计划数:33；再选科目:33；学费:33,Q0-字段缺口无候选阻断:69；Q1-字段缺口有候选待人工核验:18；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:29；K1-字段缺口有候选待PDF原页和官方核验:6；K2-OCR候选存在但三方核验未闭环:64,6,66,0,0,99,99,0,0,A1-无线索先人工读PDF原页:69；A2-带线索核PDF原页再核湖北官方:18；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,99,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-633fc082786edb05,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,3,3,PSFOUNDATIONBATCHROW-d56a6bd20608264d,PSFIELDCLUE-42b4a6ea1b9f8fd9,62,right,062-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,23,69,69,23,专业计划数:23；再选科目:23；学费:23,Q0-字段缺口无候选阻断:66；Q1-字段缺口有候选待人工核验:3,K0-字段缺口无候选需原页重读:46；K1-字段缺口有候选待PDF原页和官方核验:1；K2-OCR候选存在但三方核验未闭环:22,1,23,0,0,69,69,0,0,A1-无线索先人工读PDF原页:66；A2-带线索核PDF原页再核湖北官方:3,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,69,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-e08d65900b0b5a7c,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,4,4,PSFOUNDATIONBATCHROW-c77b8d9e22f689da,PSFIELDCLUE-1e60126bafaea28a,199,right,199-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,108,36,专业计划数:36；再选科目:36；学费:36,Q0-字段缺口无候选阻断:18；Q1-字段缺口有候选待人工核验:84；Q2-OCR字段齐全但PDF和官方未闭环:6,K0-字段缺口无候选需原页重读:14；K1-字段缺口有候选待PDF原页和官方核验:35；K2-OCR候选存在但三方核验未闭环:59,35,69,16,0,108,108,0,0,A1-无线索先人工读PDF原页:18；A2-带线索核PDF原页再核湖北官方:84；A3-OCR齐全但仍需PDF和湖北官方闭环:6,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,108,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-d217a6f1271c930a,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,5,5,PSFOUNDATIONBATCHROW-cacda526eb2d88dd,PSFIELDCLUE-9616e6b663e1c7c3,142,left,142-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,108,36,专业计划数:36；再选科目:36；学费:36,Q0-字段缺口无候选阻断:33；Q1-字段缺口有候选待人工核验:51；Q2-OCR字段齐全但PDF和官方未闭环:24,K0-字段缺口无候选需原页重读:21；K1-字段缺口有候选待PDF原页和官方核验:17；K2-OCR候选存在但三方核验未闭环:70,17,70,0,0,108,108,0,0,A1-无线索先人工读PDF原页:33；A2-带线索核PDF原页再核湖北官方:51；A3-OCR齐全但仍需PDF和湖北官方闭环:24,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,108,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-514bf9aa9c4368cb,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,6,6,PSFOUNDATIONBATCHROW-e85d67cefc6ccf32,PSFIELDCLUE-2c0ed584b9bd70a5,221,right,221-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,30,90,90,30,专业计划数:30；再选科目:30；学费:30,Q0-字段缺口无候选阻断:30；Q1-字段缺口有候选待人工核验:48；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:10；K1-字段缺口有候选待PDF原页和官方核验:16；K2-OCR候选存在但三方核验未闭环:64,16,64,5,0,90,90,0,0,A1-无线索先人工读PDF原页:30；A2-带线索核PDF原页再核湖北官方:48；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,90,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-f4ad8315529fb202,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,7,7,PSFOUNDATIONBATCHROW-f8b008602b8565e0,PSFIELDCLUE-a702210974b917e8,112,left,112-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,22,66,66,22,专业计划数:22；再选科目:22；学费:22,Q0-字段缺口无候选阻断:12；Q1-字段缺口有候选待人工核验:15；Q2-OCR字段齐全但PDF和官方未闭环:39,K0-字段缺口无候选需原页重读:6；K1-字段缺口有候选待PDF原页和官方核验:5；K2-OCR候选存在但三方核验未闭环:55,5,55,0,0,66,66,0,0,A1-无线索先人工读PDF原页:12；A2-带线索核PDF原页再核湖北官方:15；A3-OCR齐全但仍需PDF和湖北官方闭环:39,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,66,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-c5bcff7ce92b659e,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,8,8,PSFOUNDATIONBATCHROW-25008b8ce0d338b6,PSFIELDCLUE-20961d1bad7fb736,130,right,130-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,99,33,专业计划数:33；再选科目:33；学费:33,Q0-字段缺口无候选阻断:63；Q1-字段缺口有候选待人工核验:36,K0-字段缺口无候选需原页重读:55；K1-字段缺口有候选待PDF原页和官方核验:12；K2-OCR候选存在但三方核验未闭环:32,12,35,2,0,99,99,0,0,A1-无线索先人工读PDF原页:63；A2-带线索核PDF原页再核湖北官方:36,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,99,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-fcb2c176f8d9df04,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,9,9,PSFOUNDATIONBATCHROW-10ca25180346358c,PSFIELDCLUE-946145fbcf4bcbc2,180,right,180-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,26,78,78,26,专业计划数:26；再选科目:26；学费:26,Q0-字段缺口无候选阻断:21；Q1-字段缺口有候选待人工核验:45；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:16；K1-字段缺口有候选待PDF原页和官方核验:16；K2-OCR候选存在但三方核验未闭环:46,16,47,10,0,78,78,0,0,A1-无线索先人工读PDF原页:21；A2-带线索核PDF原页再核湖北官方:45；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,78,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-7714c29ae4c0821f,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,10,10,PSFOUNDATIONBATCHROW-bb4d628504db643b,PSFIELDCLUE-9375f207a894ff6b,182,left,182-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,29,87,87,29,专业计划数:29；再选科目:29；学费:29,Q0-字段缺口无候选阻断:39；Q1-字段缺口有候选待人工核验:39；Q2-OCR字段齐全但PDF和官方未闭环:9,K0-字段缺口无候选需原页重读:19；K1-字段缺口有候选待PDF原页和官方核验:13；K2-OCR候选存在但三方核验未闭环:55,13,55,0,0,87,87,0,0,A1-无线索先人工读PDF原页:39；A2-带线索核PDF原页再核湖北官方:39；A3-OCR齐全但仍需PDF和湖北官方闭环:9,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,87,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-d89553f9ebeffe53,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,11,11,PSFOUNDATIONBATCHROW-6b32ac410cc17f3c,PSFIELDCLUE-b45087af56cd7673,147,left,147-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,27,81,81,27,专业计划数:27；再选科目:27；学费:27,Q0-字段缺口无候选阻断:24；Q1-字段缺口有候选待人工核验:45；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:11；K1-字段缺口有候选待PDF原页和官方核验:15；K2-OCR候选存在但三方核验未闭环:55,15,56,0,0,81,81,0,0,A1-无线索先人工读PDF原页:24；A2-带线索核PDF原页再核湖北官方:45；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,81,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-de0ad5b8ee63e8d2,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,12,12,PSFOUNDATIONBATCHROW-c78053951da38c33,PSFIELDCLUE-9251e7cd291eed77,217,left,217-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,21,63,63,21,专业计划数:21；再选科目:21；学费:21,Q0-字段缺口无候选阻断:18；Q1-字段缺口有候选待人工核验:30；Q2-OCR字段齐全但PDF和官方未闭环:15,K0-字段缺口无候选需原页重读:12；K1-字段缺口有候选待PDF原页和官方核验:10；K2-OCR候选存在但三方核验未闭环:41,10,41,7,0,63,63,6,0,A1-无线索先人工读PDF原页:18；A2-带线索核PDF原页再核湖北官方:30；A3-OCR齐全但仍需PDF和湖北官方闭环:15,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,63,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-20e142803f8cecfd,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,13,13,PSFOUNDATIONBATCHROW-ed3b190a232644dd,PSFIELDCLUE-12b9182f6f191024,192,right,192-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,25,75,75,25,专业计划数:25；再选科目:25；学费:25,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:27,K0-字段缺口无候选需原页重读:34；K1-字段缺口有候选待PDF原页和官方核验:9；K2-OCR候选存在但三方核验未闭环:32,9,32,0,0,75,75,0,0,A1-无线索先人工读PDF原页:48；A2-带线索核PDF原页再核湖北官方:27,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,75,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSALLBATCHPUB-11a389ee6512df88,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_all_batch_review_public_ledger,PDF页码×版面列,PDF页码×版面列×全批次复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,14,14,PSFOUNDATIONBATCHROW-41b8ad2c1a83b736,PSFIELDCLUE-14676f371e269b62,29,right,029-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,20,60,60,20,专业计划数:20；再选科目:20；学费:20,Q0-字段缺口无候选阻断:15；Q1-字段缺口有候选待人工核验:42；Q2-OCR字段齐全但PDF和官方未闭环:3,K0-字段缺口无候选需原页重读:12；K1-字段缺口有候选待PDF原页和官方核验:14；K2-OCR候选存在但三方核验未闭环:34,14,34,0,0,60,60,0,0,A1-无线索先人工读PDF原页:15；A2-带线索核PDF原页再核湖北官方:42；A3-OCR齐全但仍需PDF和湖北官方闭环:3,S0-批次已生成但未事实核准,batch-01-review-detail,7e29cd4abe28bc7cf4ea871afae8eb64bcfbbfe5c194f8927dcfdb437c42dd21,60,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段线索、学校专业明细和复核明细只在私有批次详表。,按页列回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
