页列底座样板公开审计ID,来源页列底座字段线索公开审计,来源私有字段线索模板,来源私有人工复核Overlay,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动标记核验完成,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,页列底座核验批次行ID,页列底座字段线索公开审计ID,来源页码,版面列,页码版面键,综合风险优先级桶,页列首要核验动作,包内专业行数,包内字段任务数,样板字段任务数,样板专业行覆盖数,样板字段名分布,样板阻断等级分布,样板字段状态分布,样板候选值集合非空任务数,样板OCR候选非空任务数,样板多值候选任务数,样板疑似错位候选任务数,样板需PDF原页核验任务数,样板需湖北官方核验字段数,样板需高校辅证字段数,样板可自动写入正式Overlay字段数,样板建议动作分布,样板页列状态,私有样板明细证据编号,私有样板明细CSV_SHA256,私有样板页列记录数,私有样板批次记录数,公开安全策略,下一步
PSSAMPLEPUB-7c3579c68602ace3,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,1,1,PSFOUNDATIONBATCHROW-06e92054533d3234,PSFIELDCLUE-5e3aa36636e6e4f5,117,left,117-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,31,93,93,31,专业计划数:31；再选科目:31；学费:31,Q0-字段缺口无候选阻断:33；Q1-字段缺口有候选待人工核验:54；Q2-OCR字段齐全但PDF和官方未闭环:6,K0-字段缺口无候选需原页重读:22；K1-字段缺口有候选待PDF原页和官方核验:18；K2-OCR候选存在但三方核验未闭环:53,18,54,2,0,93,93,0,0,A1-无候选先人工读PDF原页:33；A2-带候选核PDF原页再核湖北官方:54；A3-OCR齐全但仍需PDF和湖北官方闭环:6,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,93,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-7eb75ee2d58b0a35,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,2,2,PSFOUNDATIONBATCHROW-02e75975268bf362,PSFIELDCLUE-18821aeb00080931,63,left,063-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,99,33,专业计划数:33；再选科目:33；学费:33,Q0-字段缺口无候选阻断:69；Q1-字段缺口有候选待人工核验:18；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:29；K1-字段缺口有候选待PDF原页和官方核验:6；K2-OCR候选存在但三方核验未闭环:64,6,66,0,0,99,99,0,0,A1-无候选先人工读PDF原页:69；A2-带候选核PDF原页再核湖北官方:18；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,99,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-633fc082786edb05,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,3,3,PSFOUNDATIONBATCHROW-d56a6bd20608264d,PSFIELDCLUE-42b4a6ea1b9f8fd9,62,right,062-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,23,69,69,23,专业计划数:23；再选科目:23；学费:23,Q0-字段缺口无候选阻断:66；Q1-字段缺口有候选待人工核验:3,K0-字段缺口无候选需原页重读:46；K1-字段缺口有候选待PDF原页和官方核验:1；K2-OCR候选存在但三方核验未闭环:22,1,23,0,0,69,69,0,0,A1-无候选先人工读PDF原页:66；A2-带候选核PDF原页再核湖北官方:3,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,69,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-e08d65900b0b5a7c,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,4,4,PSFOUNDATIONBATCHROW-c77b8d9e22f689da,PSFIELDCLUE-1e60126bafaea28a,199,right,199-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,108,36,专业计划数:36；再选科目:36；学费:36,Q0-字段缺口无候选阻断:18；Q1-字段缺口有候选待人工核验:84；Q2-OCR字段齐全但PDF和官方未闭环:6,K0-字段缺口无候选需原页重读:14；K1-字段缺口有候选待PDF原页和官方核验:35；K2-OCR候选存在但三方核验未闭环:59,35,69,16,0,108,108,0,0,A1-无候选先人工读PDF原页:18；A2-带候选核PDF原页再核湖北官方:84；A3-OCR齐全但仍需PDF和湖北官方闭环:6,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,108,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-d217a6f1271c930a,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,5,5,PSFOUNDATIONBATCHROW-cacda526eb2d88dd,PSFIELDCLUE-9616e6b663e1c7c3,142,left,142-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,108,36,专业计划数:36；再选科目:36；学费:36,Q0-字段缺口无候选阻断:33；Q1-字段缺口有候选待人工核验:51；Q2-OCR字段齐全但PDF和官方未闭环:24,K0-字段缺口无候选需原页重读:21；K1-字段缺口有候选待PDF原页和官方核验:17；K2-OCR候选存在但三方核验未闭环:70,17,70,0,0,108,108,0,0,A1-无候选先人工读PDF原页:33；A2-带候选核PDF原页再核湖北官方:51；A3-OCR齐全但仍需PDF和湖北官方闭环:24,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,108,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-514bf9aa9c4368cb,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,6,6,PSFOUNDATIONBATCHROW-e85d67cefc6ccf32,PSFIELDCLUE-2c0ed584b9bd70a5,221,right,221-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,30,90,90,30,专业计划数:30；再选科目:30；学费:30,Q0-字段缺口无候选阻断:30；Q1-字段缺口有候选待人工核验:48；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:10；K1-字段缺口有候选待PDF原页和官方核验:16；K2-OCR候选存在但三方核验未闭环:64,16,64,5,0,90,90,0,0,A1-无候选先人工读PDF原页:30；A2-带候选核PDF原页再核湖北官方:48；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,90,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-f4ad8315529fb202,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,7,7,PSFOUNDATIONBATCHROW-f8b008602b8565e0,PSFIELDCLUE-a702210974b917e8,112,left,112-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,22,66,66,22,专业计划数:22；再选科目:22；学费:22,Q0-字段缺口无候选阻断:12；Q1-字段缺口有候选待人工核验:15；Q2-OCR字段齐全但PDF和官方未闭环:39,K0-字段缺口无候选需原页重读:6；K1-字段缺口有候选待PDF原页和官方核验:5；K2-OCR候选存在但三方核验未闭环:55,5,55,0,0,66,66,0,0,A1-无候选先人工读PDF原页:12；A2-带候选核PDF原页再核湖北官方:15；A3-OCR齐全但仍需PDF和湖北官方闭环:39,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,66,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-c5bcff7ce92b659e,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,8,8,PSFOUNDATIONBATCHROW-25008b8ce0d338b6,PSFIELDCLUE-20961d1bad7fb736,130,right,130-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,99,33,专业计划数:33；再选科目:33；学费:33,Q0-字段缺口无候选阻断:63；Q1-字段缺口有候选待人工核验:36,K0-字段缺口无候选需原页重读:55；K1-字段缺口有候选待PDF原页和官方核验:12；K2-OCR候选存在但三方核验未闭环:32,12,35,2,0,99,99,0,0,A1-无候选先人工读PDF原页:63；A2-带候选核PDF原页再核湖北官方:36,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,99,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-fcb2c176f8d9df04,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,9,9,PSFOUNDATIONBATCHROW-10ca25180346358c,PSFIELDCLUE-946145fbcf4bcbc2,180,right,180-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,26,78,78,26,专业计划数:26；再选科目:26；学费:26,Q0-字段缺口无候选阻断:21；Q1-字段缺口有候选待人工核验:45；Q2-OCR字段齐全但PDF和官方未闭环:12,K0-字段缺口无候选需原页重读:16；K1-字段缺口有候选待PDF原页和官方核验:16；K2-OCR候选存在但三方核验未闭环:46,16,47,10,0,78,78,0,0,A1-无候选先人工读PDF原页:21；A2-带候选核PDF原页再核湖北官方:45；A3-OCR齐全但仍需PDF和湖北官方闭环:12,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,78,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
PSSAMPLEPUB-7714c29ae4c0821f,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_sample_review,PDF页码×版面列,PDF页码×版面列×第1批样板复核审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,10,10,PSFOUNDATIONBATCHROW-bb4d628504db643b,PSFIELDCLUE-9375f207a894ff6b,182,left,182-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,29,87,87,29,专业计划数:29；再选科目:29；学费:29,Q0-字段缺口无候选阻断:39；Q1-字段缺口有候选待人工核验:39；Q2-OCR字段齐全但PDF和官方未闭环:9,K0-字段缺口无候选需原页重读:19；K1-字段缺口有候选待PDF原页和官方核验:13；K2-OCR候选存在但三方核验未闭环:55,13,55,0,0,87,87,0,0,A1-无候选先人工读PDF原页:39；A2-带候选核PDF原页再核湖北官方:39；A3-OCR齐全但仍需PDF和湖北官方闭环:9,S0-样板已生成但未事实核准,batch-01-sample-detail,72a591aee7083f71c60c70ff5e6c5b3311defb8633fc65957c616797afc5a110,87,2151,公开表只保存计数、状态分布、SHA和非最终门禁；字段候选值、学校专业明细和人工记录只在私有样板详表。,人工回看PDF原页并核湖北官方系统或省招办计划；通过后再写入正式Overlay。
