页列底座批次执行包ID,来源页列底座核验批次表,来源私有OCR行表,来源私有页图,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批次页列数,批次PDF页数,批次专业行数,批次字段任务数,批次Z0页列数,批次Z1页列数,批次Z2页列数,批次Z3页列数,批次字段Q0任务数,批次字段Q1任务数,批次字段Q2任务数,批次结构R0专业行数,批次源证据X1专业行数,批次源证据X2专业行数,批次官方查询键碰撞行数,批次教育部未匹配校名专业行数,批次官网辅证线索行数,批次官网计划数冲突行数,批次OCR行数,批次OCR低置信度行数,批次页图证据编号集合SHA256,批次页图SHA256集合SHA256,批次页列核验行ID集合SHA256,批次页码版面键集合SHA256,私有批次审阅HTML证据编号,私有批次审阅HTML_SHA256,私有批次审阅任务CSV_SHA256,私有审阅材料状态,PDF原页核页完成页列数,湖北官方核验完成页列数,结构和官方消歧完成页列数,高校辅证完成页列数,批次完成状态,PDF原页核页状态,湖北官方系统或省招办计划核验状态,结构和官方消歧状态,高校官网或招生章程辅证状态,字段事实写回状态,公开安全策略,下一步
PSFOUNDATIONEXECPACK-108271d7d31371d3,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,23,717,2151,25,0,0,0,831,1071,249,99,2,341,97,18,2,0,3442,1914,a864bf6d1706d377facedd1aa16576e093bfa0bb959152559c0239bedaa710f5,d442017c9068f10e41d617b6a1ddafd494d2d8fca17ce618e24b6db2d404d450,a2d34271d7e7a5c6c5953d1f300272cedc6a4ada399c2a4268942a02a3963aa8,a040ab99fcc2cf6eabeedeed79752896ae02fa332e0a8043c1238dfa82f1bbc0,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第01批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-483b03bb9f640d8d,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,2,PSFOUNDATIONBATCH-84dc5b84703c3a75,第02批-页列底座核验,25,23,763,2289,25,0,0,0,972,1158,159,29,11,287,18,26,34,0,3382,1756,18c64f6ee8aa8d7d9683fbd5b52ded9d1a0b4dd20695ffd7fa099037c89a6de2,b97b5bc4ee205126ac6edc1c758971b24c947b9a6be3fbaf495bcabc044790b2,63fdd758442fde240d8fc48e37cde37b623ac7e9e4e0b8029d553853ed378379,4f497def2db8618951f3814bece465e4ac06f31805ef10d402aab0fb28f9645c,ps-foundation-batch-02-html,68a2dae185e58aa547142de4dabe1743a8297b7e3f0fbbf574325e910d7c5e82,dda24c28b57752197b39778afd8d67e2d40ce559cc21fd80abf60ec570829b64,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第02批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-16cf00f1c203de95,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,3,PSFOUNDATIONBATCH-624cbb5690223e09,第03批-页列底座核验,25,23,857,2571,25,0,0,0,864,1467,240,1,0,625,1,26,91,0,3570,1838,a3c35266719ccf0c6cc1a5055cf7c76b99dc3e9261ed2f8a53f0de676894b1dc,7fd4700bf63b787d9b87f08fbe634c7e9abf5abecba6dfc4aa5935f677b87698,b720d55c5831ea70a9df0de5b4c87a519f430319c9bb3180ba546cdc5f6c8890,637d32d1a8f4260255c2335094e4b59b6830c34e580bc6b7401e46c93a3fb5da,ps-foundation-batch-03-html,1a74483feb67360531472a15178183a85da62a824ca6d626741d9cb0add4fce4,b9bb1c5b0786649fc5db7e8b11f1335201739a8bdc00399c5fc598fd5d4ee8af,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第03批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-c94f514b3eabb8fc,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,4,PSFOUNDATIONBATCH-57cdc99e66824607,第04批-页列底座核验,25,21,802,2406,25,0,0,0,987,1137,282,0,0,559,0,84,102,0,3547,1861,1f8ce7f49b9567601822555eddb955c984f28defda74da44d6cab241e41fa190,8e455660b4cc5856da97af0974b1d4e230dc92cc09a4501ad08a9649d862e8c0,e3391a3e4840eeb73c07bd2eb8ea797ca874c0bec1e70e90539784f2d9f1385e,48f4a393e54e65361ed886e48d7cae07f4c95c195f63cc671ab74e225644ba5f,ps-foundation-batch-04-html,931828e3a02deba13ccc18ed975476ad01c492f20a3b33eddf72847a91ef4f19,20ca451f644eab91d47124e5f15be0ebd91e210a9a8c174b55d46ed192eeb643,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第04批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-255445bc7b1963e1,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,5,PSFOUNDATIONBATCH-abae03899d272d2c,第05批-页列底座核验,25,24,788,2364,25,0,0,0,1044,1095,225,0,0,507,0,14,65,0,3630,1881,4862d5e90bf961c6f40d194f1b976b2d155ee1fff12bceef3c1d25593fc81167,f12ef8745d4ab6f80e01828cf4a3a1e1b943f07deebab8a809a0004fdf094557,ceac78cbcdbb45b6f8974d5dd187f4a5ba8889c65ae6aa2169a844b7db692b67,da4cb50ccc6e3f95e76ce160bfb92d7acc173abd864f7a6977c064abe6cc2971,ps-foundation-batch-05-html,566cb4d7d510788879e9bf757bb61c09b663976854b5e5ba8c9899f640f1a89c,6fb0c6dfc67ca294f0b7714048266714f367bd5b8699843ea49440f095e7d7e9,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第05批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-4448f29111554b31,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,6,PSFOUNDATIONBATCH-7d5be7027274369a,第06批-页列底座核验,25,25,892,2676,25,0,0,0,813,1656,207,0,0,461,0,5,68,4,3690,1877,3d2c72d9688db8f7f3bee178a52518fe2dc45c7151a411c1019b91ec036531c4,330acdb473cbade3fa3db34311b35f96f15b026465691f70162252e0aebe4752,972abdaff4787d1ab22c38c3738618058c588ca72f79c6ad28ce2c659272ffbf,eec8d1db60ef5c541346e7b3e43d9c00df3a30220d0b17f2b1b4ad4b9cf34f50,ps-foundation-batch-06-html,1dfc09e1a69717546fc94628570b6dd02cffe16a53aa2f6a5ba9f48acf1c1ace,fb555a86a90b3450923facde583139e64c1c67ad0d674050d383425b076e3fc0,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第06批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-9bd166c9d85ed527,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,7,PSFOUNDATIONBATCH-15e89cfef2478b34,第07批-页列底座核验,25,25,829,2487,25,0,0,0,1017,1188,282,0,0,418,0,48,77,0,3741,1841,1262f2294fe7fbbb4fcd5717b9032cccdaf5706d2829c9133a5e3a73f9a09162,365f5295137f33d7b988e2be4927acc79e389a17eccdd20f1cb8219b37d20ad3,a6d5208b546c9ec67adc9718b466f56a0d501adb404c83ba9c03d61056a17730,65996b1b7eb18e43057b3faaaa4217422c578b6b7f75b7a34aee0c323883cafd,ps-foundation-batch-07-html,f7081cf1456921614c4db9c6d0759346b61ac9aedc75ec6f255425016ef4775b,c272d9e06745f001a45352d4706ff8e88e455f1964870b8882aad3f233bd0d3b,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第07批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-9669423c4022f91e,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,8,PSFOUNDATIONBATCH-64acf798aacc69cb,第08批-页列底座核验,25,23,696,2088,25,0,0,0,804,1047,237,0,0,395,0,0,77,12,3491,1893,7019d52b1331948657293e393989ec7d942485790e4154ad5db527e7bb797e59,5adb6fe5bbecc70a7218dabf31e9d8a7abfd8b078bb2db3376df926de21c2796,86893a6bd2089df003eeb8adc754064dbfc8d58adce546bc01e6c2d5bce984a6,487c1fd8adc77154c2eff4195def65f31dc75c34e8dc8a9c0099eb469353d876,ps-foundation-batch-08-html,8a95703cc0363b0f6bab9f0a3e2810aacf624b95f94d20df0a726d1b78757ec0,5768191997d7744272c4246d21ceb3785f101f2960cca0ac24ffd64972673b87,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第08批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-cc85145b6704254a,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,9,PSFOUNDATIONBATCH-7601c96de9bbd7e6,第09批-页列底座核验,25,24,832,2496,25,0,0,0,894,1296,306,0,0,367,2,61,36,0,3645,1852,a6a148e77088eb6695c575a9b7da5a251d3e15e7afd77bd89a195c3cf65a20eb,fb72a48b03590ec0ddf3c7734e6d174c41953e98c2384de7ce44ec032d58a6ab,a927f48f1a9683849174fe12d6187b8ceb9b522e90d4b40617b2435b2046ead4,42ebedea932b840e77e2a563e050fbcac5a4a573672c9bb9292fddced26db700,ps-foundation-batch-09-html,5295e6f565f711f43511a993bb8f59e9d42d168aad9afc907f3e8719f19fcd23,c3f181a6ef5c8ffc0c270c409070fe2b35f6c358734e7f0bc475ca7f0e58a0d5,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第09批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
PSFOUNDATIONEXECPACK-bd7daf27d1c579e9,data/working/issue19-page-side-foundation-verification-batches.csv,private_ocr_lines_not_public,private_rendered_pages_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_batch_execution_packets,PDF页码×版面列批次,页列底座核验批次×私有审阅材料,false,false,false,false,false,10,PSFOUNDATIONBATCH-884d479a15fdc62f,第10批-页列底座核验,25,25,766,2298,25,0,0,0,720,1290,288,0,0,346,0,15,54,0,3623,1963,289a8423a94696f70e431f64790a30b57b124a8ebc9610eaf122464732c94f27,f02268c5754c9afa24fcf2a911a2a2e0b9c958592b3208f5214aed5e3004d354,1fa161ec3f7b2bf51d0c4fa973aab0d85ce990d17b5c747a70eacd556cba35e7,f71f573f1141711ff74cc951acc1598757ce7478e814fd7b54da248970d9c979,ps-foundation-batch-10-html,dc9b413a7cb1bf236e284a7a6e34ec3a2216b4f4ce77398e105257ef6853f90c,ffcfbb16c5a57c30100893836931d3bcbaa0c7860661d39a9d1c3b39e228c3ec,private_batch_review_assets_generated,0,0,0,0,R0-未开始页列底座核验,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,公开表只保存批次计数、私有材料证据编号和SHA、状态和非最终门禁；不公开识别行内容、页图路径、学校专业明细、字段读数或人工记录。,第10批-页列底座核验 已生成私有核页材料；先核PDF原页和结构边界，再核湖北官方侧与必要高校辅证。
