页列底座字段线索公开审计ID,来源页列底座公开核页进度账本,来源字段事实核验任务队列,来源私有字段线索模板,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动标记核验完成,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,页列底座核验批次行ID,页列底座核页进度公开账本ID,来源页码,版面列,页码版面键,综合风险优先级桶,页列首要核验动作,包内专业行数,包内字段任务数,字段任务回链数,字段任务缺失数,专业行覆盖数,字段名任务分布,字段核验优先级分布,字段事实状态分布,字段事实阻断等级分布,字段线索状态分布,三字段OCR完整状态分布,字段线索非空任务数,字段线索缺失任务数,字段线索多值或冲突任务数,字段PDF待核任务数,湖北官方待核任务数,高校官网线索任务数,私有字段线索模板批次证据编号,私有字段线索模板CSV_SHA256,私有字段线索模板页列记录数,私有字段线索模板批次记录数,私有字段线索材料状态,PDF原页人工确认完成字段数,湖北官方字段完成字段数,高校辅证字段完成字段数,三方一致性可评估字段数,字段事实写回复查可进入字段数,页列是否满足字段复查条件,字段事实写回状态,公开安全策略,下一步
PSFIELDCLUE-5e3aa36636e6e4f5,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,1,1,PSFOUNDATIONBATCHROW-06e92054533d3234,PSFOUNDATIONPROG-5e3aa36636e6e4f5,117,left,117-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,31,93,93,0,31,专业计划数:31；再选科目:31；学费:31,P0:22；P1:18；P3:53,K0:22；K1:18；K2:53,Q0:33；Q1:54；Q2:6,C0-无单独线索状态:53；C1-缺线索:22；C2-冲突或疑似线索:2；C4-组级线索:15；C5-OCR线索:1,T0-三字段线索齐全:6；T1-缺1项:57；T2-缺2项:30,71,22,2,93,93,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,93,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-18821aeb00080931,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,2,2,PSFOUNDATIONBATCHROW-02e75975268bf362,PSFOUNDATIONPROG-18821aeb00080931,63,left,063-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,99,0,33,专业计划数:33；再选科目:33；学费:33,P0:29；P1:6；P3:64,K0:29；K1:6；K2:64,Q0:69；Q1:18；Q2:12,C0-无单独线索状态:64；C1-缺线索:29；C4-组级线索:4；C5-OCR线索:2,T0-三字段线索齐全:12；T1-缺1项:75；T2-缺2项:12,70,29,0,99,99,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,99,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-42b4a6ea1b9f8fd9,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,3,3,PSFOUNDATIONBATCHROW-d56a6bd20608264d,PSFOUNDATIONPROG-42b4a6ea1b9f8fd9,62,right,062-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,23,69,69,0,23,专业计划数:23；再选科目:23；学费:23,P0:46；P1:1；P3:22,K0:46；K1:1；K2:22,Q0:66；Q1:3,C0-无单独线索状态:22；C1-缺线索:46；C5-OCR线索:1,T2-缺2项:69,23,46,0,69,69,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,69,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-1e60126bafaea28a,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,4,4,PSFOUNDATIONBATCHROW-c77b8d9e22f689da,PSFOUNDATIONPROG-1e60126bafaea28a,199,right,199-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,108,0,36,专业计划数:36；再选科目:36；学费:36,P0:14；P1:35；P3:59,K0:14；K1:35；K2:59,Q0:18；Q1:84；Q2:6,C0-无单独线索状态:59；C1-缺线索:14；C2-冲突或疑似线索:26；C4-组级线索:9,T0-三字段线索齐全:6；T1-缺1项:87；T2-缺2项:15,94,14,26,108,108,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,108,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-9616e6b663e1c7c3,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,5,5,PSFOUNDATIONBATCHROW-cacda526eb2d88dd,PSFOUNDATIONPROG-9616e6b663e1c7c3,142,left,142-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,108,0,36,专业计划数:36；再选科目:36；学费:36,P0:21；P1:17；P3:70,K0:21；K1:17；K2:70,Q0:33；Q1:51；Q2:24,C0-无单独线索状态:70；C1-缺线索:21；C4-组级线索:17,T0-三字段线索齐全:24；T1-缺1项:54；T2-缺2项:30,87,21,0,108,108,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,108,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-2c0ed584b9bd70a5,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,6,6,PSFOUNDATIONBATCHROW-e85d67cefc6ccf32,PSFOUNDATIONPROG-2c0ed584b9bd70a5,221,right,221-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,30,90,90,0,30,专业计划数:30；再选科目:30；学费:30,P0:10；P1:16；P3:64,K0:10；K1:16；K2:64,Q0:30；Q1:48；Q2:12,C0-无单独线索状态:64；C1-缺线索:10；C2-冲突或疑似线索:5；C4-组级线索:11,T0-三字段线索齐全:12；T1-缺1项:78,80,10,5,90,90,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,90,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-a702210974b917e8,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,7,7,PSFOUNDATIONBATCHROW-f8b008602b8565e0,PSFOUNDATIONPROG-a702210974b917e8,112,left,112-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,22,66,66,0,22,专业计划数:22；再选科目:22；学费:22,P0:6；P1:5；P3:55,K0:6；K1:5；K2:55,Q0:12；Q1:15；Q2:39,C0-无单独线索状态:55；C1-缺线索:6；C4-组级线索:5,T0-三字段线索齐全:39；T1-缺1项:21；T2-缺2项:6,60,6,0,66,66,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,66,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-20961d1bad7fb736,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,8,8,PSFOUNDATIONBATCHROW-25008b8ce0d338b6,PSFOUNDATIONPROG-20961d1bad7fb736,130,right,130-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,99,0,33,专业计划数:33；再选科目:33；学费:33,P0:55；P1:12；P3:32,K0:55；K1:12；K2:32,Q0:63；Q1:36,C0-无单独线索状态:32；C1-缺线索:55；C4-组级线索:9；C5-OCR线索:3,T1-缺1项:6；T2-缺2项:93,44,55,0,99,99,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,99,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-946145fbcf4bcbc2,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,9,9,PSFOUNDATIONBATCHROW-10ca25180346358c,PSFOUNDATIONPROG-946145fbcf4bcbc2,180,right,180-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,26,78,78,0,26,专业计划数:26；再选科目:26；学费:26,P0:16；P1:16；P3:46,K0:16；K1:16；K2:46,Q0:21；Q1:45；Q2:12,C0-无单独线索状态:46；C1-缺线索:16；C2-冲突或疑似线索:10；C4-组级线索:5；C5-OCR线索:1,T0-三字段线索齐全:12；T1-缺1项:39；T2-缺2项:27,62,16,10,78,78,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,78,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
PSFIELDCLUE-9375f207a894ff6b,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,private_field_clue_templates_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_field_clue_public_audit,PDF页码×版面列,PDF页码×版面列×字段线索状态审计,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,10,10,PSFOUNDATIONBATCHROW-bb4d628504db643b,PSFOUNDATIONPROG-9375f207a894ff6b,182,left,182-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,29,87,87,0,29,专业计划数:29；再选科目:29；学费:29,P0:19；P1:13；P3:55,K0:19；K1:13；K2:55,Q0:39；Q1:39；Q2:9,C0-无单独线索状态:55；C1-缺线索:19；C4-组级线索:13,T0-三字段线索齐全:9；T1-缺1项:60；T2-缺2项:18,68,19,0,87,87,0,ps-field-clue-batch-01-csv,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,87,2151,private_field_clue_template_generated,0,0,0,0,0,false,blocked_until_pdf_hubei_and_required_school_evidence_closed,公开表只保存页列字段任务计数、状态分布、证据编号和SHA；不公开具体读数、识别行内容、页图路径、学校专业明细或人工填写内容。,在本地私有字段线索模板中核 PDF 原页和湖北官方侧；所有线索都保持待人工核验，不自动写回字段事实。
