页列底座Overlay公开账本ID,来源页列底座字段线索公开审计,来源私有字段线索模板,来源私有人工复核Overlay,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动标记核验完成,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,页列底座核验批次行ID,页列底座字段线索公开审计ID,来源页码,版面列,页码版面键,综合风险优先级桶,页列首要核验动作,包内字段任务数,Overlay字段记录数,Overlay字段记录缺失数,私有字段线索模板CSV_SHA256,私有Overlay批次证据编号,私有OverlayCSV_SHA256,私有Overlay页列记录数,私有Overlay批次记录数,PDF原页记录已填字段数,PDF原页状态完成字段数,湖北官方记录已填字段数,湖北官方状态完成字段数,高校辅证记录已填字段数,高校辅证状态完成字段数,字段最终记录已填字段数,三方一致性可评估字段数,首轮复核已填字段数,次轮复核已填字段数,复查结论已填字段数,字段事实写回复查可进入字段数,Overlay进度桶,字段事实写回状态,Overlay合并策略,公开安全策略,下一步
PSOVERLAYPROG-5e3aa36636e6e4f5,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,1,1,PSFOUNDATIONBATCHROW-06e92054533d3234,PSFIELDCLUE-5e3aa36636e6e4f5,117,left,117-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,93,93,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,93,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-18821aeb00080931,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,2,2,PSFOUNDATIONBATCHROW-02e75975268bf362,PSFIELDCLUE-18821aeb00080931,63,left,063-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,99,99,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,99,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-42b4a6ea1b9f8fd9,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,3,3,PSFOUNDATIONBATCHROW-d56a6bd20608264d,PSFIELDCLUE-42b4a6ea1b9f8fd9,62,right,062-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,69,69,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,69,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-1e60126bafaea28a,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,4,4,PSFOUNDATIONBATCHROW-c77b8d9e22f689da,PSFIELDCLUE-1e60126bafaea28a,199,right,199-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,108,108,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,108,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-9616e6b663e1c7c3,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,5,5,PSFOUNDATIONBATCHROW-cacda526eb2d88dd,PSFIELDCLUE-9616e6b663e1c7c3,142,left,142-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,108,108,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,108,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-2c0ed584b9bd70a5,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,6,6,PSFOUNDATIONBATCHROW-e85d67cefc6ccf32,PSFIELDCLUE-2c0ed584b9bd70a5,221,right,221-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,90,90,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,90,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-a702210974b917e8,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,7,7,PSFOUNDATIONBATCHROW-f8b008602b8565e0,PSFIELDCLUE-a702210974b917e8,112,left,112-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,66,66,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,66,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-20961d1bad7fb736,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,8,8,PSFOUNDATIONBATCHROW-25008b8ce0d338b6,PSFIELDCLUE-20961d1bad7fb736,130,right,130-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,99,99,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,99,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-946145fbcf4bcbc2,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,9,9,PSFOUNDATIONBATCHROW-10ca25180346358c,PSFIELDCLUE-946145fbcf4bcbc2,180,right,180-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,78,78,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,78,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
PSOVERLAYPROG-9375f207a894ff6b,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,private_field_clue_templates_not_public,private_human_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_human_review_overlay_public_ledger,PDF页码×版面列,PDF页码×版面列×人工复核Overlay进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,10,10,PSFOUNDATIONBATCHROW-bb4d628504db643b,PSFIELDCLUE-9375f207a894ff6b,182,left,182-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,87,87,0,da968c46b868091cb81fa3b30282663c46f0b873a32b7e135b6c57e1d859e365,ps-human-review-overlay-batch-01-csv,7889c61ca4c88de5a543e61e93e835f40036523460b2a4095f19d417c8bab720,87,2151,0,0,0,0,0,0,0,0,0,0,0,0,R0-Overlay已生成未填写,blocked_until_overlay_pdf_hubei_review_closed,机器重跑只刷新来源键和SHA；按字段事实核验任务ID保留既有人工填写列；孤立旧记录写入本地私有orphan文件。,公开表只保存Overlay记录计数、完成状态计数、证据编号和SHA；不公开具体字段读数、官方值、学校专业明细、人员字段或备注正文。,在本地Overlay逐字段录入PDF原页、湖北官方侧和必要高校辅证；完成双人复查后再进入字段事实写回复查。
