页列底座核页进度公开账本ID,来源页列底座批次执行包表,来源页列底座核验批次表,来源私有批次任务CSV,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动标记核验完成,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,页列底座核验批次行ID,来源页码,版面列,页码版面键,综合风险优先级桶,页列首要核验动作,包内专业行数,包内字段任务数,字段Q0无候选阻断任务数,字段Q1有候选待人工核验任务数,字段Q2待三方闭环任务数,结构风险事件数,官方查询键碰撞行数,教育部未匹配校名专业行数,官网辅证线索行数,官网计划数冲突行数,OCR行数,OCR低置信度行数,私有页图证据编号,私有页图SHA256,私有批次审阅HTML证据编号,私有批次审阅HTML_SHA256,私有批次审阅任务CSV_SHA256,私有任务CSV_SHA256匹配状态,PDF原页核页记录状态,湖北官方核验记录状态,结构和官方消歧记录状态,高校辅证记录状态,高校辅证是否需要记录,一审记录状态,二审记录状态,双人复核记录状态,私有记录必填项数,私有记录已填项数,私有记录未填项数,私有记录填写进度,页列私有记录进度桶,页列私有记录进度状态,PDF原页核页是否完成,湖北官方核验是否完成,结构和官方消歧是否完成,高校辅证是否完成,页列是否满足升级条件,字段事实写回状态,公开安全策略,下一步
PSFOUNDATIONPROG-5e3aa36636e6e4f5,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,1,1,PSFOUNDATIONBATCHROW-06e92054533d3234,117,left,117-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,31,93,33,54,6,10,10,0,0,0,139,87,page-117,06af8c2e9ef994c40124332658c967af7878247187c1d1f074d6f383f83ac2c5,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-18821aeb00080931,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,2,2,PSFOUNDATIONBATCHROW-02e75975268bf362,63,left,063-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,69,18,12,32,9,0,0,0,144,79,page-063,cea4cca06361088ff66b3c194dca7ae4871ce5cc70a4eb852a0b819e6644f73d,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-42b4a6ea1b9f8fd9,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,3,3,PSFOUNDATIONBATCHROW-d56a6bd20608264d,62,right,062-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,23,69,66,3,0,9,9,1,0,0,92,60,page-062,eecf46f2ed1fad8e9c2bd3654f1b1123def13b3297734516be4a5a6e8ec906cf,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-1e60126bafaea28a,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,4,4,PSFOUNDATIONBATCHROW-c77b8d9e22f689da,199,right,199-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,18,84,6,10,6,0,0,0,147,72,page-199,04a13d07b958a2165704e51511b21dd8118c1335395644eb673a1f635a140903,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-9616e6b663e1c7c3,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,5,5,PSFOUNDATIONBATCHROW-cacda526eb2d88dd,142,left,142-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,33,51,24,26,4,0,0,0,163,83,page-142,ada3b00476c739213766af7af6832e5b400da9a4fad2674ad64c5904f33dc9a2,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-2c0ed584b9bd70a5,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,6,6,PSFOUNDATIONBATCHROW-e85d67cefc6ccf32,221,right,221-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,30,90,30,48,12,20,4,0,0,0,157,80,page-221,7dae47283aa93089c16444c5d33536523c62b4682423a015d6367aa998f2111c,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-a702210974b917e8,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,7,7,PSFOUNDATIONBATCHROW-f8b008602b8565e0,112,left,112-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,22,66,12,15,39,4,4,1,0,0,146,81,page-112,886f385295300b8841e9934e018f7c6f96f1c6f6ca243dd408c211d7ef1ad225,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-20961d1bad7fb736,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,8,8,PSFOUNDATIONBATCHROW-25008b8ce0d338b6,130,right,130-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,33,99,63,36,0,7,4,0,0,0,132,78,page-130,5f4cc34e00023f3b0f7ad5848d96cfad915758a7d698abc1d5a7636d78d9eb10,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-946145fbcf4bcbc2,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,9,9,PSFOUNDATIONBATCHROW-10ca25180346358c,180,right,180-right,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,26,78,21,45,12,5,4,0,0,0,134,79,page-180,96c2588c5e4282b65d8227485645b4b4f6c85e9ac58fb9b1f8af486a86e10567,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
PSFOUNDATIONPROG-9375f207a894ff6b,data/working/issue19-page-side-foundation-batch-execution-packets.csv,data/working/issue19-page-side-foundation-verification-batches.csv,private_batch_task_csv_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_review_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×私有核页记录进度,false,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,10,10,PSFOUNDATIONBATCHROW-bb4d628504db643b,182,left,182-left,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,29,87,39,39,9,6,4,0,0,0,141,72,page-182,f3eab65ffcede47b5e9392937d5f2546b5b1bad959afb7e120ffbc8691d27012,ps-foundation-batch-01-html,ca53f4139a8c5af6efc7f51676b98345309ebba23a2548e2d4d72d9e5596ae03,fb039f81d04c2db9e3389f7e203655857daade8352416e2d47b406de9bb633a3,matched_execution_packet_sha,S0-未记录,S0-未记录,S0-未记录,S0-未记录,false,S0-未记录,S0-未记录,D0-未记录,3,0,3,0/3,R0-未开始私有核页记录,pending_private_review_records,false,false,false,false,false,blocked_until_private_records_and_fact_review_closed,公开账本只保存页列状态、计数、证据编号和SHA；不公开识别行内容、页图路径、学校专业明细、字段值、核页记录内容或补充记录内容。,在本地私有任务CSV/HTML中补 PDF 原页、湖北官方、结构消歧和必要高校辅证记录；公开账本只同步填写状态，不自动认定字段事实。
