页列底座核验批次行ID,来源页列底座综合风险登记表,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,是否允许作为志愿推荐依据,是否允许生成学校专业建议,批次总序,批次ID,批次名称,批次容量上限,批内页列序号,页列全局风险总序,来源页码,版面列,页码版面键,页列底座综合风险登记ID,综合风险优先级桶,综合风险优先级数值,页列首要核验动作,批次执行线,批次页列数,批次专业行数,批次字段任务数,批次Z0页列数,批次Z1页列数,批次Z2页列数,批次Z3页列数,批次结构R0专业行数,批次源证据X1专业行数,批次源证据X2专业行数,批次官方查询键碰撞行数,批次字段Q0任务数,包内专业行数,包内字段任务数,字段Q0无候选阻断任务数,字段Q1有候选待人工核验任务数,字段Q2待三方闭环任务数,结构R0专业行数,结构R1专业行数,结构R2专业行数,结构R3专业行数,结构风险事件数,版面风险事件数,专业代号风险事件数,官方查询键碰撞行数,教育部未匹配校名专业行数,官网辅证线索行数,官网计划数冲突行数,决策G0结构或归属未闭环行数,决策G1家庭底线风险待确认行数,决策G2字段缺口未闭环行数,源证据X1专业窗口P0行数,源证据X2起始行P0_QC行数,源证据X3优先复核行数,源证据X4低风险抽检行数,专业行ID集合SHA256,字段任务集合SHA256,风险登记ID集合SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,结构和官方消歧状态,高校官网或招生章程辅证状态,字段事实写回状态,批次完成状态,公开安全策略,下一步
PSFOUNDATIONBATCHROW-06e92054533d3234,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,1,1,117,left,117-left,PSFOUNDATIONRISK-072938d52532ee70,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,31,93,33,54,6,10,6,4,11,10,0,3,10,0,0,0,16,9,5,0,15,16,0,2f85307231c768aad1706a0cbf0be9caea73ac600b83dfac824a26096e56ed63,2ccdd6fe784047e1ba6f356fe467f8aea3373789894d1e4a6803bb6da6d45f0d,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-02e75975268bf362,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,2,2,63,left,063-left,PSFOUNDATIONRISK-8ed0bc8c6464d5f5,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,33,99,69,18,12,9,17,0,7,32,26,5,9,0,0,0,26,1,4,0,8,21,4,915b479a01c62faa2552c5c5ea5266945842245f5307d382d749e4e49490c4c6,4b023a6a33c26504aabba092e7e8fade91a3bf961b416a7b61ba9ed090700ae3,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-d56a6bd20608264d,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,3,3,62,right,062-right,PSFOUNDATIONRISK-52635437e8c7819b,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,23,69,66,3,0,9,4,0,10,9,0,1,9,1,0,0,13,8,2,0,2,21,0,4f9ddcb82fd059693a3b93ea991ff0b85b90f7b731a62453dd01e46a790d6838,2381a893ff52406874b2a74798f957834d6eaf399bb85a8e77b42b067b82e994,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-c77b8d9e22f689da,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,4,4,199,right,199-right,PSFOUNDATIONRISK-f603d8b3c553b990,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,36,108,18,84,6,6,15,1,14,10,3,4,6,0,0,0,21,15,0,0,17,16,3,a337afabc1d72401cf9b12745d06a3b72131c4a93f7f35e35b31e8ccb922701e,31aaa09d85cef5fa82eecff8206818692dbdd1e2eae2e9d9cfb79f2359099585,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-cacda526eb2d88dd,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,5,5,142,left,142-left,PSFOUNDATIONRISK-6454aedcfdc41d4f,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,36,108,33,51,24,4,15,1,16,26,14,4,4,0,0,0,19,16,1,0,20,15,1,5a56da13d8ff1dd1679b3efce000ee2e72a3569e014a64a92820fa769a40680f,75938d0c2c39bbfd1df3c3d005e633a98dd8bf15dcf2eb65c86808018467bdaf,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-e85d67cefc6ccf32,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,6,6,221,right,221-right,PSFOUNDATIONRISK-a852b43483afb9f7,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,30,90,30,48,12,4,10,3,13,20,1,1,4,0,0,0,14,16,0,0,18,12,0,0d0f8a3a6473e6b72ec354767cf463c8248d38f7c155d621a1dd85aad87a2668,e12b52fb991a4498b047127d840a47edda656846fd9ca83fc6f7cbb3e46257c0,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-f8b008602b8565e0,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,7,7,112,left,112-left,PSFOUNDATIONRISK-8284d53afd2411c1,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,22,66,12,15,39,4,6,1,11,4,0,1,4,1,0,0,10,5,1,0,18,4,0,d7504ca643236e034cc7024aa2c2b8face8b7f2479c2fb04f44a77ca232c09cb,dc472ba85018f85e8c77f0f1e698ddb6c1888396b7c4358a9173e551d855cf89,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-25008b8ce0d338b6,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,8,8,130,right,130-right,PSFOUNDATIONRISK-bc5960bd2eb6bde9,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,33,99,63,36,0,4,16,2,11,7,3,3,4,0,0,0,20,13,0,0,17,16,0,6f3f6dddac04e99449da310f83b5087c7f1c92774738c49043583c1327bcb291,f8279f497172e0582ebc493b9f1fcb3ec34b6890616d2aa31579eff6081896cf,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-10ca25180346358c,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,9,9,180,right,180-right,PSFOUNDATIONRISK-41af395e12853f4b,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,26,78,21,45,12,4,4,3,15,5,3,2,4,0,0,0,8,8,9,0,17,9,0,aa676f3a46658bfd009e90e3deed43b0ec89802caf6d062e99375aeeaf410245,f4eecb0803d99cc88cf40907f674bd31e6bbbbfce53649c4aa82496050b5dbea,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
PSFOUNDATIONBATCHROW-bb4d628504db643b,data/working/issue19-page-side-foundation-risk-register.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_side_foundation_verification_batches,PDF页码×版面列,PDF页码×版面列×底座核验批次,false,false,false,false,false,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,25,10,10,182,left,182-left,PSFOUNDATIONRISK-819cfae22fcaa2f3,Z0-结构源证据或官方消歧阻断页列先核,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,L0-结构源证据官方消歧先核,25,717,2151,25,0,0,0,99,2,341,97,831,29,87,39,39,9,4,5,5,15,6,3,2,4,0,0,0,9,2,16,0,16,9,4,11aa0026cb22ee587884e0ea96a171e020d21e5a7ae61f0abe255b5a3f459e8c,ed14dd49f9387ace32a1085547e88ce16f750f1f62da99dd1553146a3b00683c,162a736597cb173e87c2a723308b4de8c1c613f45eb5919136ab482136af05e0,pending_manual_pdf_review,pending_hubei_official_review,pending_structure_and_official_key_review,pending_if_school_clue_present,blocked_until_batch_evidence_closed,R0-未开始页列底座核验,只公开批次、页列、风险计数、集合SHA和非最终门禁；不公开学校专业明细、字段读数、人工记录、图片路径或私有识别材料。,第01批-页列底座核验 内先按页列风险顺序核 PDF 原页、湖北官方侧和必要高校辅证；完成前不得写回字段事实或进入志愿推荐。
