来源期号,来源PDF_SHA256,数据阶段,优先方向,综合风险等级,本专业OCR风险等级,本专业风险类型,专业组风险类型,院校代码,院校名称OCR,院校专业组代码,专业组号,来源页码,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,学费OCR数字候选,偏好和风险标签,字段完整性标记,候选池V1命中,样本学校命中,核验状态,最终可用,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,A027,北京师范大学,A02705,05,17,15,教育学类（教育学、学前教育、特教南；另含：教育技术学；办学地点：北京校区）,,2,4800,4800,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,A081,东北师范大学,A08112,12,24,23,教育学类（师范类：教育学、小学教育学前教育：办学地点：人民大街校区）,,,3,3,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,A081,东北师范大学,A08113,13,24,25,数学与应用数学（师范类；办学地点：人民大街校区）,,,3,3,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,A081,东北师范大学,A08113,13,24,26,化学（师范类；办学地点：人民大街校,,,3,3,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,A081,东北师范大学,A08113,13,24,28,生物科学类（生物科学（师范）、生物技术：办学地点：人民大街校区）,,,3,3,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,A081,东北师范大学,A08114,14,24,30,物理学（师范类：陆家義试验班；办学地点：人民大街校区）A083 哈尔滨工业大学（公办）（黑龙江）,［化学,3,6320,6320,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C103,湖北大学,C10320,20,66,88,数学与应用数学（师范类；第一学年在武員校区；优秀学生可选拔至“强师实验班”）,「化学,43,4500,4500,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C103,湖北大学,C10320,20,66,89,物理学（师范类；第一学年在武昌校区：优秀学生可选拔至“强师实验班”）,,98,4500,4500,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C103,湖北大学,C10320,20,66,90,化学（师范类；第一学年在武昌校区）,,68,4500,4500,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C103,湖北大学,C10320,20,66,91,生物科学（师范类；第一学年在武昌校,,55,4500,4500,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
