复核优先级,来源期号,来源PDF_SHA256,数据阶段,候选池学校专业组,候选专业组代码,机器初判,初判原因,硬风险类型,第19期全量OCR命中,第19期OCR页码,OCR专业行数,下一步
100,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,成都理工大学 K15123 第23组,K15123,待定位,未在第19期全量OCR初稿命中，需核对2026组号变化、OCR漏识别或历史组调整,,否,,0,先复核
100,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉体育学院 C10702 第02组,C10702,待定位,未在第19期全量OCR初稿命中，需核对2026组号变化、OCR漏识别或历史组调整,,否,,0,先复核
100,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉体育学院 C10704 第04组,C10704,待定位,未在第19期全量OCR初稿命中，需核对2026组号变化、OCR漏识别或历史组调整,,否,,0,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,北京语言大学 A03208 第08组,A03208,默认排除,含中外合作/高收费或学费超过当前家庭上限,中外合作或高收费,是,17,1,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,成都医学院 K17801 第01组,K17801,默认排除,历史候选池已标记为主方案排除/历史样本,体检或色觉限制；医学/护理等排除方向,是,212,1,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,成都医学院 K17802 第02组,K17802,默认排除,历史候选池已标记为主方案排除/历史样本,体检或色觉限制；医学/护理等排除方向,是,212,1,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15007 第07组,C15007,默认排除,含中外合作/高收费或学费超过当前家庭上限,中外合作或高收费；学费超过当前上限,是,81,2,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安医学院 K48804 第04组,K48804,默认排除,历史候选池已标记为主方案排除/历史样本,语种或单科限制,是,226,1,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安医学院 K48805 第05组,K48805,默认排除,历史候选池已标记为主方案排除/历史样本,医学/护理等排除方向,是,226,1,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安建筑科技大学 K46505 第05组,K46505,默认排除,含中外合作/高收费或学费超过当前家庭上限,中外合作或高收费；学费超过当前上限,是,223,1,先复核
