序号,学校名称,城市或地区,省份,办学性质,样本理由,第19期OCR页码,第19期OCR院校代码线索,第19期OCR专业组线索,官网核验状态,官网URL,备注
1,武汉商学院,武汉,湖北,公办,武汉公办低位重点样本，官网可核湖北分专业计划,80-81,C150,第03/04/05/06/07组,高：可核湖北分专业计划/计划数/学费/选科；不含院校专业组代号,https://zs.wbu.edu.cn/2026/0618/c1351a89857/page.htm；https://zs.wbu.edu.cn/2026/0618/c1351a89856/page.htm,重点看第19期院校专业组与官网分专业计划如何对齐
2,武汉科技大学,武汉,湖北,公办,湖北本省高质量官方专业组样本，用于验证 OCR 对专业组页的准确性,71-72,C115,待OCR复核,高：已有湖北专业组页和各专业计划/学费页，可作为强样本,https://zs.wust.edu.cn/info/1071/15371.htm；https://zs.wust.edu.cn/info/1071/15291.htm,分数可能偏高，但适合做 OCR double check
3,湖北大学,武汉,湖北,公办,湖北本省官方专业组样本，适合验证图片/附件类官网数据,70-71,C103,待OCR复核,中高：官方湖北专业组及招生计划页，主体为图片/附件,https://zsxx.hubu.edu.cn/info/1016/2366.htm,分数多为冲高样本，但可做数据准确性样本
4,湖北理工学院,黄石,湖北,公办,湖北省内公办保稳样本，官网疑似含专业组/专业/选科/人数/学费,79,C138,第05-14组线索,高：托管招生页疑似含专业组/专业/选科/人数/学费，需打开详情核第19期物理,https://www.zhinengdayi.com/hbpu,重点看数字媒体/计算机相关专业
5,湖北科技学院,咸宁,湖北,公办,湖北省内公办保稳样本，官网有 2026 湖北专业组设置及计划,72,C116,第06-16组线索,高：官方2026湖北专业组设置及计划PDF/附件，可对照,https://zsjy.hbust.edu.cn/info/1132/2239.htm,重点看医学类体检限制
6,湖北工程学院,孝感,湖北,公办,湖北省内公办样本，官网有 2026 招生计划入口,74-75,C127,第03-10组线索,中：官方2026招生计划入口，页面主体可能为图片，需截图/OCR判定,https://zs.hbeu.edu.cn/info/1044/9654.htm,重点看组边界和专业完整性
7,荆楚理工学院,荆门,湖北,公办,湖北省内较低位公办样本，官网有普通本科招生计划,79-80,C139,第04-11组线索,高：官方2026普通本科招生计划，另有公众号专业组线索,https://zsxx.jcut.edu.cn/info/1052/2326.htm,重点看是否能接受调剂
8,湖北第二师范学院,武汉,湖北,公办,师范方向样本，武汉城市匹配,78-79,C137,第09-20组线索,中：找到荆楚优师计划，非普通本科批完整计划,https://zszx.hue.edu.cn/；https://www.hue.edu.cn/_upload/article/files/77/c9/c896a9ad427f9d01030e951d7e2d/96ad0b39-7563-4f30-8470-921c2cecf241.pdf,普通批仍需第19期或官网后续来源
9,湖北汽车工业学院,十堰,湖北,公办,湖北公办理工保稳扩展样本，官网有湖北省专业组分组线索,82-83,C156,待OCR复核,中：招生网首页列2026年湖北省专业组分组情况，需打开详情核表,https://zs.huat.edu.cn/,非目标城市，但适合验证工科公办样本
10,武汉体育学院,武汉,湖北,公办,武汉公办样本，可核章程和专业限制,69,C107,第03/04/05组,低：找到2026本科招生章程，未找到湖北专业组计划页,https://zs.whsu.edu.cn/info/1151/22357.htm,普通批代码仍回第19期
11,湖北经济学院,武汉,湖北,公办,武汉公办财经类样本，组数较多，适合检验 OCR 复杂表格,75,C128,第11-20组线索,中低：官方信息公开列表未见2026普通本科湖北计划,https://xxgk.hbue.edu.cn/zszcjjh/list.htm,需继续查招生网/公众号
12,武汉轻工大学,武汉,湖北,公办,武汉公办且有食品/计算机/工科等方向，历史分波动,73-74,C125,第05/06/07/08/09组,中低：本轮未定位到官方2026湖北普通本科计划页,,重点核第08组及组内专业
13,湖北文理学院,襄阳,湖北,公办,湖北省内公办样本，历史候选空间较大,74,C126,第04-12组线索,待继续核验：本轮未给出明确官方2026湖北计划页,,重点看师范/计算机/工科方向
14,汉江师范学院,十堰,湖北,公办,师范方向和省内保稳扩展样本,81,C151,第08-14组线索,待继续核验：本轮未给出明确官方2026湖北普通本科计划页,,重点看师范专业和调剂范围
15,西安航空学院,西安,陕西,公办,西安公办重点样本，前期候选池命中,226,K487,第01/02/03/04组,中：找到官方招生入口，未定位湖北2026专页,https://zb.xaau.edu.cn/,重点核第03/04组
16,西安医学院,西安,陕西,公办,西安公办医学样本，分数波动大,226,K488,第04/05/06/07/08组,中低：未定位官方湖北2026招生计划页,,医学体检和专业接受度需谨慎
17,成都师范学院,成都,四川,公办,成都师范方向样本，家庭初始方向匹配,212-213,K179,第03-08组线索,待继续核验：本轮未给出明确官方2026湖北计划页,,分数可能偏高，先做样本核验
18,成都医学院,成都,四川,公办,成都医学样本，体检/调剂风险高,212,K178,第01/02组,中：找到2026本科招生章程，可核医学限制/录取规则，不能核专业组计划,https://zs.cmc.edu.cn/page.jsp?urltype=news.NewsContentUrl&wbnewsid=1392&wbtreeid=1004,医学类不一定适合但适合作为风险样本
19,西华大学,成都,四川,公办,成都周边公办样本，专业覆盖较广,210,K155,第04-08组线索,中：找到2026招生政策热点，可核部分计划/学费/中外合作线索，非湖北完整专业组表,https://zb.xhu.edu.cn/b5/2d/c7891a242989/page.htm；https://zb.xhu.edu.cn/,重点看工科/计算机及校区
20,北京联合大学,北京,北京,公办,北京公办可讨论样本，验证北京低位空间,94,F020,第02组,中：官方历年计划查询入口，需交互查询湖北2026,https://zsxx.buu.edu.cn/；https://zsxx.buu.edu.cn/zsjh.aspx,北京样本少，需重点核风险和计划数
