高校源AdapterD0D1逐项准出门禁ID,来源D0D1逐项证据路由公开账本,来源D0D1逐项证据路由摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否可进入私有写回评审,执行序号,来源页码,版面列,页码版面键SHA16,高校源AdapterD0D1逐项证据路由ID,高校源AdapterD0D1人工核验项ID,高校源AdapterD0D1页列核验包ID,高校源AdapterD0D1页列进度公开账本ID,高校源AdapterD0D1页列PDF视觉核验审计ID,人工核验优先级,冲突核验桶,准出门禁状态,准出动作组,PDF原页证据缺口,湖北官方侧证据缺口,高校辅证验证缺口,冲突处理缺口,双人复核缺口,三方闭环缺口,字段写回缺口,必要缺口数,缺口组合桶,PDF视觉素材状态,私有页图证据编号,私有页图SHA256,私有栏图证据编号,私有栏图SHA256,私有审阅HTML证据编号,私有审阅HTML_SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,私有页列HTML证据编号,私有页列HTML_SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网结构化源状态,字段事实写回状态,公开安全策略,下一步
SSITEMGATE-99e2958683e0eb40,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,1,17,right,d657091983e7beba,SSITEMROUTE-e648d9150cf5b9e3,SSREVIEWITEM-65d998508e41259d,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R0-计划数冲突优先核PDF原页,C0-计划数冲突,blocked_missing_required_evidence,G0-计划数冲突双核,true,true,true,true,true,true,true,7,缺PDF原页+缺湖北官方侧+高校辅证未验证+冲突未处理+双人复核未完成+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-ad1d61d368760135,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,2,17,right,d657091983e7beba,SSITEMROUTE-0f64a4b01ea16086,SSREVIEWITEM-0662abb8c893b99a,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R0-计划数冲突优先核PDF原页,C0-计划数冲突,blocked_missing_required_evidence,G0-计划数冲突双核,true,true,true,true,true,true,true,7,缺PDF原页+缺湖北官方侧+高校辅证未验证+冲突未处理+双人复核未完成+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-0f2646be6a77ca82,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,3,17,right,d657091983e7beba,SSITEMROUTE-18eff7b4f41fb8d5,SSREVIEWITEM-0792776ebb605f6c,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R0-计划数冲突优先核PDF原页,C0-计划数冲突,blocked_missing_required_evidence,G0-计划数冲突双核,true,true,true,true,true,true,true,7,缺PDF原页+缺湖北官方侧+高校辅证未验证+冲突未处理+双人复核未完成+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-bef668b157f2de5f,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,4,17,right,d657091983e7beba,SSITEMROUTE-02566c87be64ab32,SSREVIEWITEM-6684f13d17e0adee,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R0-计划数冲突优先核PDF原页,C0-计划数冲突,blocked_missing_required_evidence,G0-计划数冲突双核,true,true,true,true,true,true,true,7,缺PDF原页+缺湖北官方侧+高校辅证未验证+冲突未处理+双人复核未完成+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-a8a421a948f029c6,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,5,17,right,d657091983e7beba,SSITEMROUTE-65120833b7ad168a,SSREVIEWITEM-8ef956785334c0b1,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R0-计划数冲突优先核PDF原页,C0-计划数冲突,blocked_missing_required_evidence,G0-计划数冲突双核,true,true,true,true,true,true,true,7,缺PDF原页+缺湖北官方侧+高校辅证未验证+冲突未处理+双人复核未完成+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-dc77772a264bd246,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,6,17,right,d657091983e7beba,SSITEMROUTE-ac207407599518ab,SSREVIEWITEM-4e19bae02c31a47f,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R1-OCR计划数缺失但高校源可补,C1-OCR计划缺失可补,blocked_missing_required_evidence,G1-OCR缺口补读,true,true,true,false,false,true,true,5,缺PDF原页+缺湖北官方侧+高校辅证未验证+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-e84a40e18493e58e,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,7,17,right,d657091983e7beba,SSITEMROUTE-81ad53510715a570,SSREVIEWITEM-21eb2a15e04a3743,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R1-OCR计划数缺失但高校源可补,C1-OCR计划缺失可补,blocked_missing_required_evidence,G1-OCR缺口补读,true,true,true,false,false,true,true,5,缺PDF原页+缺湖北官方侧+高校辅证未验证+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-941bfa6ae89e7cb7,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,8,17,right,d657091983e7beba,SSITEMROUTE-2dfbf11434b860b5,SSREVIEWITEM-12cb345bce2fbc09,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R3-计划数一致候选抽检,C3-计划一致抽检,blocked_missing_required_evidence,G3-一致抽检三方确认,true,true,true,false,false,true,true,5,缺PDF原页+缺湖北官方侧+高校辅证未验证+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-a38a5798e7f317ce,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,9,17,right,d657091983e7beba,SSITEMROUTE-22d25ffb38cb0df3,SSREVIEWITEM-3fe9a78a6b7bab9e,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,SSPAGEVIS-419ab0a8d03e0968,R3-计划数一致候选抽检,C3-计划一致抽检,blocked_missing_required_evidence,G3-一致抽检三方确认,true,true,true,false,false,true,true,5,缺PDF原页+缺湖北官方侧+高校辅证未验证+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
SSITEMGATE-de487b699af7b9b4,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-item-evidence-route-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_item_resolution_gate_v1,高校源Adapter D0/D1逐项证据路由,逐项准出门禁,false,false,false,false,false,false,false,false,false,10,70,left,c0deadcc9187c543,SSITEMROUTE-89f039ea9da068e9,SSREVIEWITEM-5ba4c81aa7ae92f2,SSPAGE-d353bbeaf7baa04d,SSPAGEPROG-b98c72e843a5598b,SSPAGEVIS-59a42aeba4f35c0f,R0-计划数冲突优先核PDF原页,C0-计划数冲突,blocked_missing_required_evidence,G0-计划数冲突双核,true,true,true,true,true,true,true,7,缺PDF原页+缺湖北官方侧+高校辅证未验证+冲突未处理+双人复核未完成+三方闭环未完成+字段写回阻断,local_pdf_visual_ready_sha_recorded,page-070,31a8fa321c47651c5e47aa7518b6066580a4f8430352effc2afdbc7ed7a7d909,local_d0_d1_page_side_visual_crop_002,907de7b2b54768a614647158cad084c11d1629d6e900ddbfa1aecaf909ec8e22,local_d0_d1_page_side_visual_html_002,25ae74455e953f99d8bf1f7ebd1d997f721e45b49be800fc57bdf4de9c5eaa1b,local_school_source_adapter_d0_d1_page_side_csv_002_not_public,3f25c1a5088bc5a3ccc837885930bae5a95b271723d443dd571dcdc3cbedaaff,local_school_source_adapter_d0_d1_page_side_html_002_not_public,517b7e72880f3fef74fb4088425c638bc84b35a176c0d60b5846f97a962272c4,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存准出门禁、缺口桶、证据编号和SHA；学校、专业、代码、OCR线索、字段内容、人工记录和本地材料路径均留在本地。,逐条补齐PDF原页、湖北官方侧、高校辅证、冲突处理和必要双人复核；全部完成后才允许进入私有写回评审。
