高校源AdapterD0D1人工核验包ID,来源Adapter候选diff公开账本,来源Adapter候选diff摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行序号,院校代码,学校键SHA16,高校源Adapter候选diff公开ID,高校源Adapter解析审计ID,Adapter候选diff优先级,私有diff明细行数,计划数冲突候选数,OCR计划数可补候选数,疑似匹配候选数,计划数一致抽检候选数,本包私有核验项数,私有核验项优先级分布,最小人工核验动作,本地未公开核验项CSV证据编号,本地未公开核验项CSV_SHA256,本地未公开核验项行数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网结构化源状态,字段事实写回状态,公开安全策略,下一步
SSREVIEW-8123c4b73c3688df,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,1,A195,0ba76915d2607709,SSDIFF-3e2b970e0fbe3c2c,SSPARSE-9390c38f77693e6c,D1-高校源可补OCR计划数缺口需核页,54,0,49,2,0,49,R1-OCR计划数缺失但高校源可补:49,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,49,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-0993cf0f707f5124,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,2,C125,44c2c2fc0238b80e,SSDIFF-2ff30281278e8bd7,SSPARSE-b213529881c40833,D0-存在计划数冲突需优先核PDF原页,41,3,0,1,1,5,R0-计划数冲突优先核PDF原页:3；R2-疑似匹配专业名人工确认:1；R3-计划数一致候选抽检:1,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,5,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-d319bd95a89ecfdc,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,3,C133,c99d08eba7af6333,SSDIFF-a65c35ea23904a70,SSPARSE-7113ed690373ab1d,D0-存在计划数冲突需优先核PDF原页,36,11,0,0,2,13,R0-计划数冲突优先核PDF原页:11；R3-计划数一致候选抽检:2,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,13,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-18bef54b00026dd3,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,4,K465,84b6b1aade266ecc,SSDIFF-89f73263d36564a2,SSPARSE-deaad93202022076,D0-存在计划数冲突需优先核PDF原页,19,1,7,0,2,10,R0-计划数冲突优先核PDF原页:1；R1-OCR计划数缺失但高校源可补:7；R3-计划数一致候选抽检:2,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,10,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-e414fe9a2a5add1c,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,5,A032,2adc8521fa9ea82f,SSDIFF-a81cf414601efbeb,SSPARSE-f419b225cab8d558,D0-存在计划数冲突需优先核PDF原页,12,5,2,0,2,9,R0-计划数冲突优先核PDF原页:5；R1-OCR计划数缺失但高校源可补:2；R3-计划数一致候选抽检:2,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,9,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-862f1c439e49335b,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,6,F099,76b4ccd2e4921310,SSDIFF-8e4b3d94f5ef73ac,SSPARSE-6203a6d7f73e31c2,D1-高校源可补OCR计划数缺口需核页,13,0,12,0,0,12,R1-OCR计划数缺失但高校源可补:12,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,12,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-ee27508d3a019499,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,7,F305,27068a00ead10fbf,SSDIFF-8f2a8fea8129f5d5,SSPARSE-0e423150350d11bd,D1-高校源可补OCR计划数缺口需核页,12,0,11,0,0,11,R1-OCR计划数缺失但高校源可补:11,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,11,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-b9dc4d99d1b63c32,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,8,K487,e998e013ee42a270,SSDIFF-8c99c50f5414b4ed,SSPARSE-706cddf758c66384,D1-高校源可补OCR计划数缺口需核页,6,0,5,0,0,5,R1-OCR计划数缺失但高校源可补:5,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,5,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-9fe761dfc7ebfd62,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,9,C108,8f61d7a6df1de995,SSDIFF-78aa9fde55313614,SSPARSE-ab629e578ee79740,D0-存在计划数冲突需优先核PDF原页,72,1,0,1,2,4,R0-计划数冲突优先核PDF原页:1；R2-疑似匹配专业名人工确认:1；R3-计划数一致候选抽检:2,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,4,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
SSREVIEW-9d5e7364ff337169,data/working/issue19-school-source-adapter-candidate-diff-v1-public-ledger.csv,data/working/issue19-school-source-adapter-candidate-diff-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_manual_review_packets_v1,高校源Adapter候选diff包×D0/D1最小人工核验项,公开包级计数；逐专业核验项仅保存在本地未公开CSV,false,false,false,false,false,false,false,false,10,K753,d17c6c291402bfd7,SSDIFF-95a653bea0e6994d,SSPARSE-fbe19b9c49cc6ca0,D0-存在计划数冲突需优先核PDF原页,25,2,3,0,2,7,R0-计划数冲突优先核PDF原页:2；R1-OCR计划数缺失但高校源可补:3；R3-计划数一致候选抽检:2,先核计划数冲突、OCR计划数缺失但高校源可补、疑似匹配；每包最多抽检2条计划数一致候选。,local_school_source_adapter_d0_d1_review_items_csv_not_public,ef5fd869fee056b91fcaa5254dd465bc4db8bae92e3cba68b5392f20ec963eca,7,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留包级计数和SHA；学校名、专业名、OCR字段、高校源字段、人工备注不公开。,在私有核验项表中按R0/R1/R2/R3顺序回看PDF原页，并尽量核湖北官方侧；核验前不得写回字段事实。
