高校源AdapterD0D1页列核验包ID,来源D0D1人工核验包公开账本,来源D0D1人工核验包摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列执行序号,来源页码,版面列,页码版面键SHA16,涉及院校代码数,涉及院校代码集合SHA16,涉及D0D1人工核验包数,私有核验项数,R0计划数冲突项数,R1OCR计划数可补项数,R2疑似匹配项数,R3计划数一致抽检项数,双人复核建议项数,页列执行优先级,页列最小核验动作,涉及D0D1人工核验包ID集合SHA256,涉及专业行ID集合SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,私有页列CSV行数,私有页列HTML证据编号,私有页列HTML_SHA256,私有页列索引CSV_SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网结构化源状态,字段事实写回状态,公开安全策略,下一步
SSPAGE-dad4507035c0e465,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,1,17,right,d657091983e7beba,1,5968f80b4e50f1e3,1,9,5,2,0,2,5,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,a7dcca8570b45cbd,88ef81b351655ba1,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,9,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-d353bbeaf7baa04d,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,2,70,left,c0deadcc9187c543,1,9fd3efd1c6e4aa5c,1,1,1,0,0,0,1,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,65af034fb34124ca,fda02b3e7266799a,local_school_source_adapter_d0_d1_page_side_csv_002_not_public,3f25c1a5088bc5a3ccc837885930bae5a95b271723d443dd571dcdc3cbedaaff,1,local_school_source_adapter_d0_d1_page_side_html_002_not_public,517b7e72880f3fef74fb4088425c638bc84b35a176c0d60b5846f97a962272c4,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-ef0cfcd922389d66,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,3,74,left,688468f3eac8e342,1,138934917dd656ee,1,3,3,0,0,0,3,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,8a8762e94d2ba6b4,d4436f5e3b9fb353,local_school_source_adapter_d0_d1_page_side_csv_003_not_public,d5075a0bd62a1051761a506746b377ddba1886091d4f0f331a57d4fe212a07b0,3,local_school_source_adapter_d0_d1_page_side_html_003_not_public,9fb45990402892dfb54a880c097363486fabd732e55ea4dd933581accbd336cc,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-7874c179d6374d4a,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,4,78,left,f3b9ac7d0f9472ce,1,5ae91481acc38b66,1,8,6,0,0,2,6,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,0a9f8966d32ddcc2,f583c991d3d3fc7a,local_school_source_adapter_d0_d1_page_side_csv_004_not_public,84858b4d34ce0ea60dffe8628687144ffa189d099d3b11e9179df7ebe987861f,8,local_school_source_adapter_d0_d1_page_side_html_004_not_public,9accf99998aff27cdc59b6ec8d87c82ca33ce1cf2fcc36db01a5c9b3a2b77bd9,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-5336a9edc02ddde1,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,5,78,right,6d220bbab9562f5e,1,5ae91481acc38b66,1,5,5,0,0,0,5,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,0a9f8966d32ddcc2,df2a09edcb304f37,local_school_source_adapter_d0_d1_page_side_csv_005_not_public,edf917f6175008b8bc65086f10db83e33ad549c2c86df8d61d218861c6357314,5,local_school_source_adapter_d0_d1_page_side_html_005_not_public,2db3c714db83d257efefb6c192ed2c14a923c2e0e6da5076c647982dfcb753c6,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-a92381df9a860b98,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,6,137,left,9642a66327431774,1,573261a7e560eca8,1,4,1,1,0,2,1,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,220b2bf4424d890b,de70203c4a9df6e7,local_school_source_adapter_d0_d1_page_side_csv_006_not_public,b1b6745f959734201f8d52709a604cd7eff4dc40f78d20feaba5192fb30e3c9b,4,local_school_source_adapter_d0_d1_page_side_html_006_not_public,872e6b7c87c5184bdb249a66a4ff57a92b879f75605209b8c1e69e27e70d4256,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-1ddb5c7671dcae87,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,7,169,right,42860fdaf6232183,1,e33aa8070796cc4b,1,16,3,11,0,2,3,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,280dd01928234993,633c2755d6405295,local_school_source_adapter_d0_d1_page_side_csv_007_not_public,3cb3f2e4d97b14b782baf3225301e98860c1358e89fd6f620b31234119cc07bc,16,local_school_source_adapter_d0_d1_page_side_html_007_not_public,3513c5992970fe5dbd229bcbf500ef50214c7d4269f2f5e3586d7c6c8ee35e70,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-5bcd5c0cd611302e,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,8,223,left,7e78d7a2488b5242,1,8aa16493e3f6a182,1,10,1,7,0,2,1,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,c9b39a846756502d,1e45e495aeb139d6,local_school_source_adapter_d0_d1_page_side_csv_008_not_public,bb3e5d73540e148d683c79746a1da187b3d48b28830ce807af84154d4ba47e6d,10,local_school_source_adapter_d0_d1_page_side_html_008_not_public,e60c0585186b248ce353ef270d1dfaff740e83c4751ff4adb1b37dcf48510e78,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-94d2fa9f56d486db,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,9,235,left,840c71a2ef9c7db9,1,e266f95730db6cb1,1,7,2,3,0,2,2,E0-计划数冲突页列先核,先核计划数冲突行；同页列其余R1/R2/R3随页一并抽查。,ec752214ae3cb87c,786d4414aef1fd5a,local_school_source_adapter_d0_d1_page_side_csv_009_not_public,8bccfce00aa6af3ebf0223dd28b4f6168b33fca64ec2d7fced76e471aee8eaec,7,local_school_source_adapter_d0_d1_page_side_html_009_not_public,d6477261f2b1b200368ea211aca1399269431fa7cd25600c0a7879df04df26b4,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
SSPAGE-fcb9238a6b3d5754,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-manual-review-packets-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_packets_v1,高校源Adapter D0/D1逐专业私有核验项,PDF页码×版面列人工核验包,false,false,false,false,false,false,false,false,10,56,left,db4991bccc6fd839,1,74b32d5f3a49a83c,1,22,0,22,0,0,0,E1-OCR计划数缺失可补页列先核,先回看PDF原页补读计划数；高校源只作提示，不能直接写回。,60d6fa03c38ca879,1ec4c2de0bd6ff47,local_school_source_adapter_d0_d1_page_side_csv_010_not_public,789e8267c16c5b3ab87917e0bc0a5a73400f48d9c86f7e0e3ce7633d392aaa7e,22,local_school_source_adapter_d0_d1_page_side_html_010_not_public,f42393c93da14b6dddc29a9f4f426a09c06e73d307cc2a93def5f7853ad1df8d,f495b9d0a4ab891ba72912712dd84bd3007e219620cf86b67b0d946e82a1bb80,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_pdf_hubei_official_review,公开层只保留页码、版面列、计数和SHA；学校名、专业名、OCR候选、高校源读数与人工备注只留在本地私有材料。,按页列打开私有CSV/HTML，对照第19期PDF原页与湖北官方侧核验；未闭环前不得写回字段事实或生成最终志愿建议。
