高校源AdapterD0D1页列PDF视觉核验审计ID,来源D0D1页列进度公开账本,来源D0D1页列进度摘要,来源页级manifest,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列执行序号,来源页码,版面列,页码版面键SHA16,高校源AdapterD0D1页列核验包ID,高校源AdapterD0D1页列进度公开账本ID,页列执行优先级,私有核验项数,R0计划数冲突项数,R1OCR计划数可补项数,R2疑似匹配项数,R3计划数一致抽检项数,私有页图证据编号,私有页图SHA256,私有页图大小字节,源页图宽度px,源页图高度px,OCR识别行数,OCR平均置信度,私有栏图证据编号,私有栏图SHA256,私有栏图大小字节,栏图宽度px,栏图高度px,栏图bbox归一化,栏图bbox像素,栏图生成参数摘要,栏图生成状态,私有审阅HTML证据编号,私有审阅HTML_SHA256,私有视觉索引CSV_SHA256,私有视觉总览HTML_SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,私有页列HTML证据编号,私有页列HTML_SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网结构化源状态,字段事实写回状态,公开安全策略,下一步
SSPAGEVIS-419ab0a8d03e0968,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,1,17,right,d657091983e7beba,SSPAGE-dad4507035c0e465,SSPAGEPROG-51a9a9c56609745e,E0-计划数冲突页列先核,9,5,2,0,2,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,4319894,1667,2459,277,0.6996,local_d0_d1_page_side_visual_crop_001,3c845d2e07ef24f59b5902fe2f672a045f9358ad419f81001d6f6f876a3cee83,2362701,834,2311,x=0.455000-0.955000;y_top_origin=0.030000-0.970000,x=758-1592;y=74-2385,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=right,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_001,9776aba226b716d42071251fd3ff6a814fe2984692251bb6a17641ba3b2ce35e,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_001_not_public,f9e48f2a424d9d903ab25ba74eadbd169a21c5863fd5c6cc8add779f91fbc7a3,local_school_source_adapter_d0_d1_page_side_html_001_not_public,061dbf019fd57a724774e553a97b4127bcf6f12e87e18a97b1e12ec2622a3cf2,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-59a42aeba4f35c0f,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,2,70,left,c0deadcc9187c543,SSPAGE-d353bbeaf7baa04d,SSPAGEPROG-b98c72e843a5598b,E0-计划数冲突页列先核,1,1,0,0,0,page-070,31a8fa321c47651c5e47aa7518b6066580a4f8430352effc2afdbc7ed7a7d909,3966062,1667,2449,303,0.7264,local_d0_d1_page_side_visual_crop_002,907de7b2b54768a614647158cad084c11d1629d6e900ddbfa1aecaf909ec8e22,2119799,834,2303,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=73-2376,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_002,25ae74455e953f99d8bf1f7ebd1d997f721e45b49be800fc57bdf4de9c5eaa1b,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_002_not_public,3f25c1a5088bc5a3ccc837885930bae5a95b271723d443dd571dcdc3cbedaaff,local_school_source_adapter_d0_d1_page_side_html_002_not_public,517b7e72880f3fef74fb4088425c638bc84b35a176c0d60b5846f97a962272c4,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-45eedc5a72f6c933,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,3,74,left,688468f3eac8e342,SSPAGE-ef0cfcd922389d66,SSPAGEPROG-ee9332a4d60bbd2b,E0-计划数冲突页列先核,3,3,0,0,0,page-074,ff491a3da8d096f7f2a73410dbeee588792575e1b274b9924143e4742aa3ee40,4036514,1667,2449,353,0.7402,local_d0_d1_page_side_visual_crop_003,fe0109a21dfe76595aa711d5526e982a023fb6ecb30d0c3fa5706db5eca90f54,2158935,834,2303,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=73-2376,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_003,f6c64e3d28525863a9756f3c1a5af9cf93031409a583699c6b890e8dcc8853d7,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_003_not_public,d5075a0bd62a1051761a506746b377ddba1886091d4f0f331a57d4fe212a07b0,local_school_source_adapter_d0_d1_page_side_html_003_not_public,9fb45990402892dfb54a880c097363486fabd732e55ea4dd933581accbd336cc,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-b33925749dd002cb,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,4,78,left,f3b9ac7d0f9472ce,SSPAGE-7874c179d6374d4a,SSPAGEPROG-8dab7bf38beae72e,E0-计划数冲突页列先核,8,6,0,0,2,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,4113184,1667,2449,351,0.7456,local_d0_d1_page_side_visual_crop_004,39b3b081f5acdef632aa2190fb54adb0d77ac71698e2cc018b3ebd7f7dd3dd0f,2245528,834,2303,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=73-2376,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_004,b66a0a52128d4a0084e7e66d78bdb08d99c435dbc2af990619aabda26b6fae73,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_004_not_public,84858b4d34ce0ea60dffe8628687144ffa189d099d3b11e9179df7ebe987861f,local_school_source_adapter_d0_d1_page_side_html_004_not_public,9accf99998aff27cdc59b6ec8d87c82ca33ce1cf2fcc36db01a5c9b3a2b77bd9,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-3b10f97e9a86a073,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,5,78,right,6d220bbab9562f5e,SSPAGE-5336a9edc02ddde1,SSPAGEPROG-f13fa495b8d60498,E0-计划数冲突页列先核,5,5,0,0,0,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,4113184,1667,2449,351,0.7456,local_d0_d1_page_side_visual_crop_005,ad2c4453fed6196d70e90443c05d1e02f51ea0afd217fa6370c69481a6841c4c,2265135,834,2303,x=0.455000-0.955000;y_top_origin=0.030000-0.970000,x=758-1592;y=73-2376,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=right,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_005,d227755a384daeda7e5fdfd74ce8ffc47578cb7906349b0c6c950448a788b439,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_005_not_public,edf917f6175008b8bc65086f10db83e33ad549c2c86df8d61d218861c6357314,local_school_source_adapter_d0_d1_page_side_html_005_not_public,2db3c714db83d257efefb6c192ed2c14a923c2e0e6da5076c647982dfcb753c6,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-7d14b56c112852e0,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,6,137,left,9642a66327431774,SSPAGE-a92381df9a860b98,SSPAGEPROG-5de4b115b59c2e3f,E0-计划数冲突页列先核,4,1,1,0,2,page-137,35edae1167745f43f2b7b2907fa17a4150c9e60938893ca1d78a41a4a3895e40,4501224,1667,2459,271,0.7255,local_d0_d1_page_side_visual_crop_006,f1a11712fe3404c7a8a86c865e2e47db8e42a0828066147a22bfa9956549c5a3,2401981,834,2311,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=74-2385,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_006,60e04651a7a4f898bd35ecd8baf88556cabaa8fe8b800fcbbdc8b58514aad231,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_006_not_public,b1b6745f959734201f8d52709a604cd7eff4dc40f78d20feaba5192fb30e3c9b,local_school_source_adapter_d0_d1_page_side_html_006_not_public,872e6b7c87c5184bdb249a66a4ff57a92b879f75605209b8c1e69e27e70d4256,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-bd7faa3927e5c696,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,7,169,right,42860fdaf6232183,SSPAGE-1ddb5c7671dcae87,SSPAGEPROG-7cd098123d94e256,E0-计划数冲突页列先核,16,3,11,0,2,page-169,68154a8768710ed161ae9744da6f34c0186a97e0ea1823cd0bea01436a70a3f1,3979603,1667,2459,294,0.7289,local_d0_d1_page_side_visual_crop_007,a57c7e852d66c3a70e2e2bb4d4ce062e7fe5b6b2491f5e9ff79a07a1bbb39067,2155657,834,2311,x=0.455000-0.955000;y_top_origin=0.030000-0.970000,x=758-1592;y=74-2385,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=right,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_007,6a89a67933e48722b1f10d59f66faf46508bff2898890ca829a891a9b73bb72b,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_007_not_public,3cb3f2e4d97b14b782baf3225301e98860c1358e89fd6f620b31234119cc07bc,local_school_source_adapter_d0_d1_page_side_html_007_not_public,3513c5992970fe5dbd229bcbf500ef50214c7d4269f2f5e3586d7c6c8ee35e70,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-a905006c1bf2c7f1,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,8,223,left,7e78d7a2488b5242,SSPAGE-5bcd5c0cd611302e,SSPAGEPROG-0e1a9b4d8a563db2,E0-计划数冲突页列先核,10,1,7,0,2,page-223,17ea866603fb0e29e03f4594305262428f5633eec80da642e21ffa8d5ce65d3d,4343039,1667,2459,304,0.6957,local_d0_d1_page_side_visual_crop_008,8f4eafed3fc9b163ddf0f8e7d278e338b1e76e7db185399017955df1ead44f11,2396891,834,2311,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=74-2385,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_008,d627a0268587a7a3edbbd39dcddd823d0b8f0667933ed7193009e0dee90101d3,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_008_not_public,bb3e5d73540e148d683c79746a1da187b3d48b28830ce807af84154d4ba47e6d,local_school_source_adapter_d0_d1_page_side_html_008_not_public,e60c0585186b248ce353ef270d1dfaff740e83c4751ff4adb1b37dcf48510e78,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-145dad022abf334d,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,9,235,left,840c71a2ef9c7db9,SSPAGE-94d2fa9f56d486db,SSPAGEPROG-02046ea8f076598f,E0-计划数冲突页列先核,7,2,3,0,2,page-235,35dde950859ace5ee66fbede63cc6db980e73af80cc874be0e78cee08b6dafc0,4136353,1667,2459,284,0.7141,local_d0_d1_page_side_visual_crop_009,655d9b29bc4eaf36d2c5b210989d3a10326b055fc3f4df75f7182264823f1d36,2310612,834,2311,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=74-2385,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_009,25faa47afad9fa36f25c9c0fb69fc5192395228010cc826486d378b2061585f7,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_009_not_public,8bccfce00aa6af3ebf0223dd28b4f6168b33fca64ec2d7fced76e471aee8eaec,local_school_source_adapter_d0_d1_page_side_html_009_not_public,d6477261f2b1b200368ea211aca1399269431fa7cd25600c0a7879df04df26b4,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
SSPAGEVIS-541c2769ecf3155b,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-public-ledger.csv,data/working/issue19-school-source-adapter-d0-d1-page-side-progress-v1-summary.json,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_d0_d1_page_side_pdf_visual_audit_v1,PDF页码×版面列,高校源Adapter D0/D1页列PDF视觉核验素材,false,false,false,false,false,false,false,false,10,56,left,db4991bccc6fd839,SSPAGE-fcb9238a6b3d5754,SSPAGEPROG-f4bcef7d7fa8753e,E1-OCR计划数缺失可补页列先核,22,0,22,0,0,page-056,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,4124093,1667,2449,271,0.7214,local_d0_d1_page_side_visual_crop_010,e5fd9d2dd3c98ba7ffb3e88ae4e217301402d9a2cc5417184c726babfef78331,2217907,834,2303,x=0.045000-0.545000;y_top_origin=0.030000-0.970000,x=75-909;y=73-2376,render_dpi=120;crop=side_full_height;coord_y_origin=top;side=left,local_page_side_crop_generated_hash_recorded,local_d0_d1_page_side_visual_html_010,5a01aade32e051c31aa42d72eec1d2fabe85236fde5328700de9af358ceba5c3,804ba04adea83bb51800d3c91ba9de4fed1807113d8f5cffee87b93cc6c7d2bf,2184bcf8812fc0ab4361406725bf6e13e85ed1e4c978b790938ce6ff7f39abfb,local_school_source_adapter_d0_d1_page_side_csv_010_not_public,789e8267c16c5b3ab87917e0bc0a5a73400f48d9c86f7e0e3ce7633d392aaa7e,local_school_source_adapter_d0_d1_page_side_html_010_not_public,f42393c93da14b6dddc29a9f4f426a09c06e73d307cc2a93def5f7853ad1df8d,pending_manual_pdf_review,pending_hubei_official_plan_review,structured_school_source_candidate_not_verified,blocked_until_required_private_records_complete,公开层只保存页列、计数、尺寸、证据编号和SHA；栏图、整页图、学校专业线索、OCR线索、人工记录和本地材料路径均留在本地。,人工打开本地视觉HTML或栏图，对照第19期原页、湖北官方侧和高校辅证逐条填写私有核验记录；未闭环前不得写回字段事实或生成志愿建议。
