高校源AdapterDiff执行ID,来源高校源结构化接入候选账本,来源高校源进度看板,来源高校源最新对齐账本,来源高校官网辅证自动执行批次,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行序号,院校代码,学校键SHA16,高校源结构化接入候选ID,接入批次,来源文件类型,来源族,公开证据集合SHA16,公开URL线索数量,结构化适配器状态,Adapter执行阶段,Parser状态桶,Normalized桥接状态,NormalizedSchema版本,匹配规则状态,Diff执行桶,Diff优先级,关联进度看板任务数,关联最新对齐任务数,关联自动批次数,关联进度看板ID集合SHA16,关联最新对齐ID集合SHA16,关联自动批次ID集合SHA16,候选涉及招生明细数,候选涉及专业组数最大值,进度看板涉及招生明细数合计,进度看板涉及专业组数合计,Next20结构化湖北物理行数合计,C4C6综合结构化官网证据行数,C4C6可生成候选diff明细数,候选diff线索数,计划数冲突线索数,官网补缺线索数,官网未匹配线索数,需补结构化明细数,需继续补源明细数,章程规则是否另表承接,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,下一步自动动作,最小人工核验动作,完成条件,公开安全策略
SSAD-22577d7f2341a0a7,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,1,A195,0ba76915d2607709,SS-INGEST-2c09012061c89119,B0B1_API_JSON,API/JSON,c4c6_reuse；c4c6_diff×3,09e938d32d7e7913,1,existing_json_adapter_needs_schema_check,A1-复用JSON并补schema或匹配规则,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,school_source_normalized_v1_pending,needs_major_name_normalization,D1-生成补缺或常规diff,D1-已有JSON源，优先生成补缺或冲突diff,3,3,3,80e44f107cc5e697,c19a1e1fbdc47663,eebe8743c073e40e,54,9,54,11,0,168,126,126,0,133,1,138,0,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,复用JSON解析，补schema或匹配规则后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-a72637b938527407,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,2,C125,44c2c2fc0238b80e,SS-INGEST-a4761ddb4b624164,NEXT20_API_JSON,API/JSON,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt×1,66ff7afc554f5787,1,new_next20_json_bridge_needed,A0-新建adapter或bridge,P0-JSON结构可解析待schema统一,N0-需新建normalized桥接,school_source_normalized_v1_pending,needs_group_boundary_absent_policy,D0-优先生成冲突或高明细diff,D0-next20高明细量优先接入,1,1,1,96258b20c2f7418a,0ed63556a0f85927,cff9c6acc3f5f311,41,5,41,5,38,0,0,0,0,0,0,0,41,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,新建JSON bridge，输出normalized行后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-e95ccbed1e83758b,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,3,C133,c99d08eba7af6333,SS-INGEST-9454eaa5a5f3ce61,NEXT20_API_JSON,API/JSON；章程HTML,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt×1,96313a728dce989c,2,new_next20_json_bridge_needed,A0-新建adapter或bridge,P1-JSON计划源与章程规则分流,N0-需新建normalized桥接,school_source_normalized_v1_pending,needs_batch_and_subject_note_policy,D0-优先生成冲突或高明细diff,D0-next20高明细量优先接入,1,1,1,a237ff5d52b6e639,5fffb024000806f9,4fd71da8f4a2a244,36,9,36,9,36,0,0,0,0,0,0,0,36,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,JSON计划源先接normalized；章程规则另入限制规则侧账。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-024ff51c66a27714,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,4,K465,84b6b1aade266ecc,SS-INGEST-4d1516f9a6da8124,C4C6_API_JSON,API/JSON,next20；c4c6_reuse；c4c6_diff×2,fe43e0752a4cd7ee,1,existing_c4c6_json_adapter_needs_unified_bridge,A1-复用JSON并补schema或匹配规则,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,school_source_normalized_v1_pending,needs_conflict_priority_rules,D0-优先生成冲突或高明细diff,D0-冲突候选优先回页,2,2,2,dd97dc206e52575f,21e5a9357d203772,84d2e4ea4c4fc647,19,3,19,4,40,80,36,36,2,14,0,36,2,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,复用JSON解析，补schema或匹配规则后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-8e04818c99c956c7,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,5,A032,2adc8521fa9ea82f,SS-INGEST-f6a11c0f34f33053,C4C6_API_JSON,API/JSON,next20；c4c6_reuse；c4c6_diff；c4c6_attempt×2,89010648ca81e801,1,existing_c4c6_json_adapter_needs_rule_patch,A1-复用JSON并补schema或匹配规则,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,school_source_normalized_v1_pending,needs_major_category_and_batch_rules,D0-优先生成冲突或高明细diff,D0-冲突候选优先回页,2,2,2,c5e0f22dc8fbe2bf,6da910d92539fdca,719576d7aa6236d2,12,3,12,4,28,56,20,20,10,4,0,22,2,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,复用JSON解析，补schema或匹配规则后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-a3cdbcc6efb04ca7,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,6,F099,76b4ccd2e4921310,SS-INGEST-8c6fac0ddecebca1,B0B1_API_JSON,API/JSON,c4c6_reuse；c4c6_diff×2,5f80df04d5dbd61e,1,existing_json_adapter_needs_schema_check,A1-复用JSON并补schema或匹配规则,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,school_source_normalized_v1_pending,needs_school_major_group_absent_policy,D1-生成补缺或常规diff,D1-补缺线索优先回页,2,2,2,5da7e3557b2fb06e,5fc189dc1c9ecd1c,b175d5590a1b81ea,13,4,13,5,0,28,24,24,0,24,1,24,0,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,复用JSON解析，补schema或匹配规则后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-2dfb60275167dcb7,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,7,F305,27068a00ead10fbf,SS-INGEST-175054faaf1885cb,B0B1_PDF_CSV,PDF抽取CSV,c4c6_reuse；c4c6_diff×2,00ee01f9c6926f7b,1,existing_pdf_csv_adapter_needs_grid_check,A2-复用PDF_CSV并补Parser规则,P2-PDF抽取CSV待网格抽检,N1-已有结构化线索需统一normalized输出,school_source_normalized_v1_pending,needs_major_name_and_subject_mapping,D1-生成补缺或常规diff,D1-PDF抽取源补缺优先,2,2,2,5878c7e6c9ae7308,a4b148298e3fa624,19f3389d8df0571f,12,3,12,4,0,30,14,14,0,18,0,16,0,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,复核PDF_CSV网格和字段映射，再生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-152624513f0291b0,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,8,K487,e998e013ee42a270,SS-INGEST-2c88d948355f3b81,LIVE_PDF_CSV,PDF抽取CSV,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt×1,aac18c54f294f3fe,1,new_live_pdf_csv_bridge_needed,A0-新建adapter或bridge,P2-PDF抽取CSV待网格抽检,N0-需新建normalized桥接,school_source_normalized_v1_pending,needs_school_code_boundary_guard,D2-先做来源边界防串校验再diff,D2-live源接入并查串行风险,1,1,1,8c7a31603cea76ec,16544afd8a241953,f477a963c5969bf0,6,4,6,4,6,0,0,0,0,0,0,0,6,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先做来源边界防串校验，再接PDF_CSV normalized行。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-ccfd28df9e345667,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,9,C108,8f61d7a6df1de995,SS-INGEST-3d2e0782baa598d1,B0B1_API_JSON,API/JSON,next20；c4c6_reuse；c4c6_diff×3,d8e48a9e709aec6f,1,existing_json_adapter_needs_conflict_audit,A1-复用JSON并补schema或匹配规则,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,school_source_normalized_v1_pending,needs_unmatched_major_rules,D0-优先生成冲突或高明细diff,D0-强辅证冲突优先,3,3,3,98f9e41fe27d669e,16ec20b0a2681b86,6d5e9d48019da74b,72,9,72,12,306,153,123,123,3,0,12,159,0,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,复用JSON解析，补schema或匹配规则后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSAD-9b9f63dca96236e7,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_diff_execution_workbench_v1,高校官网结构化源AdapterDiff执行候选,院校代码×结构化源类型×AdapterDiff动作,false,false,false,false,false,false,false,false,10,K753,d17c6c291402bfd7,SS-INGEST-a8c68de8d7db2c8c,B0B1_XLSX,XLSX,next20；c4c6_reuse；c4c6_diff×3,941d53bc64dbd5e6,1,new_xlsx_province_column_adapter_needed,A0-新建adapter或bridge,P3-XLSX待省份科类批次列校验,N0-需新建normalized桥接,school_source_normalized_v1_pending,needs_subject_and_batch_split,D0-优先生成冲突或高明细diff,D0-XLSX源冲突抽检,3,3,3,469eb6d0fac4542c,ecb6f3befa129fee,97ca8021e7eef0aa,25,5,25,7,0,93,39,39,6,9,2,51,0,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,校验省份、科类、批次列后生成候选diff。,adapter输出只作提示；字段进入候选前仍需回看PDF原页并核湖北官方侧。,normalized行、候选diff、PDF原页、湖北官方侧和必要人工复核全部闭环后，才可进入私有写回评审。,not_final；adapter_diff_execution_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
