高校源Adapter解析审计ID,来源AdapterDiff执行工作台,来源结构化接入候选账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,审计序号,院校代码,学校键SHA16,高校源AdapterDiff执行ID,高校源结构化接入候选ID,接入批次,来源文件类型,Parser状态桶,Normalized桥接状态,Diff执行桶,公开证据集合SHA16,证据文件数量,可解析证据文件数量,不可解析证据文件数量,非计划规则侧证数量,解析器族,解析结果状态,NormalizedSchema版本,解析湖北物理类行数,解析湖北物理类计划数合计,可核字段覆盖数量,可核字段覆盖集合,缺失关键字段集合,是否具备计划数线索,是否具备学费线索,是否具备选科线索,是否具备组内代码线索,是否具备专业组线索,是否可进入候选diff,候选diff前置缺口,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,下一步自动动作,最小人工核验动作,公开安全策略
SSPARSE-9390c38f77693e6c,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,1,A195,0ba76915d2607709,SSAD-22577d7f2341a0a7,SS-INGEST-2c09012061c89119,B0B1_API_JSON,API/JSON,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,D1-生成补缺或常规diff,09e938d32d7e7913,1,1,0,0,JSON计划源解析,parsed_has_rows,school_source_normalized_v1_audit_only,56,144,4,专业名线索；计划数；选科；校内组线索,学费；组内代码线索,true,false,true,false,true,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-b213529881c40833,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,2,C125,44c2c2fc0238b80e,SSAD-a72637b938527407,SS-INGEST-a4761ddb4b624164,NEXT20_API_JSON,API/JSON,P0-JSON结构可解析待schema统一,N0-需新建normalized桥接,D0-优先生成冲突或高明细diff,66ff7afc554f5787,1,1,0,0,JSON计划源解析,parsed_has_rows,school_source_normalized_v1_audit_only,38,2915,2,专业名线索；计划数,学费；选科；组内代码线索；校内组线索,true,false,false,false,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-7113ed690373ab1d,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,3,C133,c99d08eba7af6333,SSAD-e95ccbed1e83758b,SS-INGEST-9454eaa5a5f3ce61,NEXT20_API_JSON,API/JSON；章程HTML,P1-JSON计划源与章程规则分流,N0-需新建normalized桥接,D0-优先生成冲突或高明细diff,96313a728dce989c,2,1,0,1,JSON计划源解析；章程规则旁路,parsed_has_rows,school_source_normalized_v1_audit_only,36,1800,2,专业名线索；计划数,学费；选科；组内代码线索；校内组线索,true,false,false,false,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-deaad93202022076,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,4,K465,84b6b1aade266ecc,SSAD-024ff51c66a27714,SS-INGEST-4d1516f9a6da8124,C4C6_API_JSON,API/JSON,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,D0-优先生成冲突或高明细diff,fe43e0752a4cd7ee,1,1,0,0,JSON计划源解析,parsed_has_rows,school_source_normalized_v1_audit_only,20,80,4,专业名线索；计划数；选科；校内组线索,学费；组内代码线索,true,false,true,false,true,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-f419b225cab8d558,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,5,A032,2adc8521fa9ea82f,SSAD-8e04818c99c956c7,SS-INGEST-f6a11c0f34f33053,C4C6_API_JSON,API/JSON,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,D0-优先生成冲突或高明细diff,89010648ca81e801,1,1,0,0,JSON计划源解析,parsed_has_rows,school_source_normalized_v1_audit_only,14,34,5,专业名线索；计划数；学费；选科；组内代码线索,校内组线索,true,true,true,true,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-6203a6d7f73e31c2,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,6,F099,76b4ccd2e4921310,SSAD-a3cdbcc6efb04ca7,SS-INGEST-8c6fac0ddecebca1,B0B1_API_JSON,API/JSON,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,D1-生成补缺或常规diff,5f80df04d5dbd61e,1,1,0,0,JSON计划源解析,parsed_has_rows,school_source_normalized_v1_audit_only,14,14,2,专业名线索；计划数,学费；选科；组内代码线索；校内组线索,true,false,false,false,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-0e423150350d11bd,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,7,F305,27068a00ead10fbf,SSAD-2dfb60275167dcb7,SS-INGEST-175054faaf1885cb,B0B1_PDF_CSV,PDF抽取CSV,P2-PDF抽取CSV待网格抽检,N1-已有结构化线索需统一normalized输出,D1-生成补缺或常规diff,00ee01f9c6926f7b,2,1,1,0,PDF_CSV抽取源解析,parsed_has_rows,school_source_normalized_v1_audit_only,15,20,3,专业名线索；计划数；学费,选科；组内代码线索；校内组线索,true,true,false,false,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-706cddf758c66384,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,8,K487,e998e013ee42a270,SSAD-152624513f0291b0,SS-INGEST-2c88d948355f3b81,LIVE_PDF_CSV,PDF抽取CSV,P2-PDF抽取CSV待网格抽检,N0-需新建normalized桥接,D2-先做来源边界防串校验再diff,aac18c54f294f3fe,3,1,1,1,PDF_CSV抽取源解析,parsed_has_rows,school_source_normalized_v1_audit_only,6,15,3,专业名线索；计划数；组内代码线索,学费；选科；校内组线索,true,false,false,true,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-ab629e578ee79740,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,9,C108,8f61d7a6df1de995,SSAD-ccfd28df9e345667,SS-INGEST-3d2e0782baa598d1,B0B1_API_JSON,API/JSON,P0-JSON结构可解析待schema统一,N1-已有结构化线索需统一normalized输出,D0-优先生成冲突或高明细diff,d8e48a9e709aec6f,1,1,0,0,JSON计划源解析,parsed_has_rows,school_source_normalized_v1_audit_only,51,1495,3,专业名线索；计划数；组内代码线索,学费；选科；校内组线索,true,false,false,true,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
SSPARSE-fbe19b9c49cc6ca0,data/working/issue19-school-source-adapter-diff-execution-workbench-v1-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_adapter_parse_audit_v1,高校官网结构化源Adapter解析审计,院校代码×证据集合×normalized解析状态,false,false,false,false,false,false,false,false,10,K753,d17c6c291402bfd7,SSAD-9b9f63dca96236e7,SS-INGEST-a8c68de8d7db2c8c,B0B1_XLSX,XLSX,P3-XLSX待省份科类批次列校验,N0-需新建normalized桥接,D0-优先生成冲突或高明细diff,941d53bc64dbd5e6,1,1,0,0,XLSX附件解析,parsed_has_rows,school_source_normalized_v1_audit_only,31,90,2,专业名线索；计划数,学费；选科；组内代码线索；校内组线索,true,false,false,false,false,true,可生成候选diff提示；仍需PDF原页和湖北官方侧闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,生成normalized私有明细和候选diff提示；公开层只保留计数和SHA。,diff命中项仍需回看PDF原页，并核湖北官方侧或省招办计划。,not_final；parse_audit_only；no_school_names；no_major_names；no_field_values；no_evidence_paths；no_private_paths；no_login_state；no_recommendation
