高校官网辅证自动执行批次ID,来源高校官网辅证状态快照,来源高校官网辅证状态快照摘要,来源C4C6高校源刷新执行包,来源C4C6结构化候选diff公开账本,来源C4C6高校官网补源尝试账本,来源高校官网live补源账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行批次序号,执行批次分层,自动化下一步桶,自动执行泳道,自动执行动作,人工最小核验动作桶,人工最小核验动作,结构化输出状态桶,候选diff状态桶,补源状态桶,闭环阻断状态桶,高校官网辅证状态快照ID,机会队列ID,执行建议序号,院校代码,院校名称公开,机会优先级,机会类型,自动收益分,官网辅证自动动作,高校侧刷新批次,高校侧刷新任务类型,闭环优先级,官网证据强度,官网来源状态,来源质量判断,来源文件类型集合,公开来源文件数量,公开来源URL数量,候选官网URL数量,候选官网URL集合SHA256,种子官网URL数量,种子官网URL集合SHA256,本地公开来源文件集合SHA256,涉及招生明细数,涉及专业组数,涉及PDF页数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,C4C6执行包数量,C4C6需补结构化明细数,C4C6需继续补源明细数,C4C6综合结构化官网证据行数,C4C6专业名匹配明细数,C4C6未匹配明细数,C4C6无结构化官网源明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6可生成候选diff明细数,最新自动探针状态,是否已有live补源记录,live补源记录数,live结构化线索记录数,live补源状态桶,学校任务总数,学校P0任务数,学校P1任务数,学校P2任务数,学校P3任务数,学校可复用官网源任务数,学校部分来源待跟进任务数,学校仍需搜索计划网源任务数,学校仅章程规则任务数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,快照结论桶,建议下一步动作,完成条件,公开安全策略
SCHOOLSRCEXEC-8a477b0d0b1c13bf,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,1,B4-自动补源,A4-继续搜索高校计划网源,A4-继续搜索高校计划网源,继续搜索学校招生网、公开API、XLSX、PDF或HTML计划源并留存SHA。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-4924e4e6997464cd,SCHOOLOPP-d5ec6f555e8ee72f,1,C125,武汉轻工大学,P0-立即处理,O3-高收益缺源学校优先补源,1293,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,6d1643386261fe64601eb9ce23dbeb5221ae48260dd2d983ee8d18cf02328fcb,41,5,2,0,0,0,0,41,0,0,0,1,0,41,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-c3c4c622140c155e,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,2,B4-自动补源,A4-继续搜索高校计划网源,A4-继续搜索高校计划网源,继续搜索学校招生网、公开API、XLSX、PDF或HTML计划源并留存SHA。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-63ddbdfed2a28eef,SCHOOLOPP-d40e3eca916d2295,2,F582,长春工业大学,P0-立即处理,O3-高收益缺源学校优先补源,1293,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,5a3a78f4bd14c1ec1bf09fae01688797bdfba0cf6a176cee69f4e5205ae36b08,41,12,1,0,0,0,0,41,0,0,0,1,0,41,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-4fd282f69ae5ad6e,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,3,B4-自动补源,A4-继续搜索高校计划网源,A4-继续搜索高校计划网源,继续搜索学校招生网、公开API、XLSX、PDF或HTML计划源并留存SHA。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-9fda644635740c18,SCHOOLOPP-6a0186b3e0855043,3,C133,湖北师范大学,P0-立即处理,O3-高收益缺源学校优先补源,1153,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,fd00b5442ecec0dd97ced588227a41355090e8332c749b41e410df9a76c0307d,36,9,1,0,0,0,0,36,0,0,0,1,0,36,0,0,0,36,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-cec963d9e25668f7,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,4,B0-先核冲突,A0-冲突回页和官方侧核验,A0-冲突回页和官方侧核验,整理高校侧差异线索，优先回第19期PDF原页和湖北官方侧核验。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-09b4f4bceaf65dd3,SCHOOLOPP-c4bb7e7b4dfb3027,4,C108,江汉大学,P0-立即处理,O0-冲突优先回页核验,1090,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,64007f21740966e877fb893e51748445f79e9d88ce56f97bc6479134346dbd49,b9246b2769aace4ea4d3bc381a0a5e3ade02239f0ef7e122396facd9c8104315,53,9,2,0,0,0,53,0,0,0,0,1,53,0,51,40,12,0,40,0,1,41,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,1,2,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-68eab4620608ec0d,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,5,B4-自动补源,A4-继续搜索高校计划网源,A4-继续搜索高校计划网源,继续搜索学校招生网、公开API、XLSX、PDF或HTML计划源并留存SHA。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-31201385846522db,SCHOOLOPP-3b972bf89fb40029,5,H026,浙江传媒学院,P0-立即处理,O3-高收益缺源学校优先补源,761,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,c72ac1311a9a3043e611bb4103858754aa64e5982f17105b87d677af363bf167,22,6,1,0,0,0,0,22,0,0,0,1,0,22,0,0,0,22,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-1d7695d003ad2e16,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,6,B0-先核冲突,A0-冲突回页和官方侧核验,A0-冲突回页和官方侧核验,整理高校侧差异线索，优先回第19期PDF原页和湖北官方侧核验。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-1c9eb6122a9a2ab7,SCHOOLOPP-25dc287275d95fb6,6,A197,西北民族大学,P0-立即处理,O0-冲突优先回页核验,696,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_reusable_2026_hubei_plan_source,Q0-有结构化源但存在计划数冲突,未留存来源文件,0,1,0,,1,868d347a6c0793850ae8665451557b9c013a200c34b9ed84867fa5d2f7900f69,1597d2467b4c7335e75fed44ddc5dd84b8b0e4081fc4eedeb8531caf3f899e66,27,13,1,0,0,0,27,0,0,0,0,1,27,0,30,26,1,0,19,3,4,26,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,3,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-c88d1469a849990d,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,7,B1-先核补缺,A1-官网补缺线索回页核验,A1-官网补缺线索回页核验,整理高校侧补缺线索，回第19期PDF原页和湖北官方侧确认。,M5-人工按高校线索回页,人工按高校侧线索回第19期PDF原页核页。,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-1e8535a9a1d485bf,SCHOOLOPP-0d33207c680d36bb,7,K486,西安邮电大学,P0-立即处理,O1-官网补缺候选回页核验,551,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,API/JSON,1,1,0,,1,b0c968b677052aa6f78f79bcd0b0d05bf0b4499def836218420ece4ecf2c50e7,37db005807ab396ac1a41ded57d8f3cad6c17533a3f7a4e376529356a0ef63a3,19,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,2,1,1,0,0,2,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-c049fdfde96be3da,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,8,B0-先核冲突,A0-冲突回页和官方侧核验,A0-冲突回页和官方侧核验,整理高校侧差异线索，优先回第19期PDF原页和湖北官方侧核验。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-b676d9098d4bf03c,SCHOOLOPP-47811f51052e878b,8,H945,南宁学院,P0-立即处理,O0-冲突优先回页核验,550,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,13fa381f1f1201b99245ee03f2e9e7a784aa307ee4dac4b0f41553f4bbbfc39d,9edfd23e8c1db4f830277060fa9c1ec3d5c2edca3e68b730c18dbdcf351d4ca7,15,3,2,0,0,0,15,0,0,0,0,1,15,0,20,15,0,0,0,8,7,15,no_live_probe_record,false,0,0,L0-暂无live补源记录,4,3,0,1,0,2,2,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-feace1d37bc731e9,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,9,B0-先核冲突,A0-冲突回页和官方侧核验,A0-冲突回页和官方侧核验,整理高校侧差异线索，优先回第19期PDF原页和湖北官方侧核验。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-b313cdbf6061e594,SCHOOLOPP-61cc02aff7cb07d7,9,K465,西安建筑科技大学,P0-立即处理,O0-冲突优先回页核验,478,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,1,0cd65763e5e4e2e0622af016cf733d18aab8476d7bb0a1f5e70b80ca1a5c9c61,1,0cd65763e5e4e2e0622af016cf733d18aab8476d7bb0a1f5e70b80ca1a5c9c61,57c0cfec2c0d2670c1aa543ab853c20cd22a92a9fc63b62d0e409b08bd8d678e,18,3,1,0,0,0,18,0,0,0,0,1,18,0,20,17,1,0,9,7,1,17,no_live_probe_record,false,0,0,L0-暂无live补源记录,2,1,0,1,0,0,2,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCEXEC-45ff4928329dbeb0,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-status-snapshot-summary.json,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_auto_execution_batches_public_ledger,高校×高校侧辅证自动执行批次,公开任务级执行批次；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,10,B0-先核冲突,A0-冲突回页和官方侧核验,A0-冲突回页和官方侧核验,整理高校侧差异线索，优先回第19期PDF原页和湖北官方侧核验。,M4-人工补计划网源,人工必要时补找招生网计划入口或附件。,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,G0-PDF原页和湖北官方侧未闭环，禁止写回,SCHOOLSRCSTATUS-2a71f766590a5936,SCHOOLOPP-8d158aa21500e4c8,10,K753,喀什大学,P0-立即处理,O0-冲突优先回页核验,412,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,562d34e39aeff1826d0657cf1c58baf959cb985c78eb98b7e6c93a9b73c65c8a,55ed8b57116e96c8ab85c32cde979621cd73b1de105ea73ad2a5c8b48e9f6751,17,5,1,0,0,0,17,0,0,0,0,1,17,0,31,13,4,0,8,3,2,13,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,1,2,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校级任务、执行桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
