高校源E0人工回页队列ID,来源高校源缺口优先级清单,来源第一闭环下一步动作矩阵,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,人工回页队列序号,高校源缺口优先级ID,高校源最新对齐ID,高校官网辅证状态快照ID,高校官网辅证自动执行批次ID,院校代码,任务学校键SHA16,缺口主类,缺口子类,原自动执行泳道,人工回页风险桶,人工回页优先级分,最小人工动作,完成条件,涉及招生明细数,涉及专业组数,C4C6计划数冲突候选数,C4C6官网可补OCR计划数候选数,同校第一闭环页列提示状态,同校第一闭环任务数,同校第一闭环页列数,同校第一闭环PDF页数,同校N0冲突双人核页任务数,同校N1高校补缺回页任务数,同校N2机器坐标辅助核页任务数,同校N3人工看图任务数,同校N4PDFOCR确认任务数,同校N5待湖北官方侧任务数,同校E0冲突异常页列任务数,同校E1计划数补缺页列任务数,同校E2专业名归属页列任务数,同校自动官网辅证任务数,同校P0人工字段任务数,同校专业计划数字段任务数,同校学费字段任务数,同校再选科目字段任务数,同校需要双人复核任务数,同校需要人工直接看图任务数,同校PDFOCR与高校冲突任务数,同校高校辅证线索任务数,同校第一闭环任务集合SHA16,同校页列集合SHA16,同校核验动作层级分布,同校执行泳道分布,队列使用边界,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SCHOOLSRCMANUAL-728457a578773f36,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,1,SCHOOLGAP-d998a9afee342633,SOURCESYNC-4161992909ad60e4,SCHOOLSRCSTATUS-09b4f4bceaf65dd3,SCHOOLSRCEXEC-cec963d9e25668f7,C108,2c97c6e6ecddd74b,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,53,9,1,0,H1-有同校第一闭环页列提示,13,2,1,0,0,1,0,12,0,2,0,11,12,1,8,11,2,1,0,0,0,5247e81f35c207e8,25fd1a4a8cbb221e,N2-机器坐标辅助核PDF原页=1；N4-PDFOCR候选人工确认=12,E0-冲突异常双人优先核验=2；E2-官网未匹配专业名归属核验=11,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-2b2e40badf237bc8,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,2,SCHOOLGAP-b31d416e6f9edabb,SOURCESYNC-feb736c7c343419a,SCHOOLSRCSTATUS-1c9eb6122a9a2ab7,SCHOOLSRCEXEC-1d7695d003ad2e16,A197,e690075df91e629a,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,27,13,4,3,H1-有同校第一闭环页列提示,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,08f33c4c206f63f3,c58319e0edfd9c9f,N4-PDFOCR候选人工确认=1,E2-官网未匹配专业名归属核验=1,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-fc95262e8bf41172,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,3,SCHOOLGAP-aad27dc8fabdcf29,SOURCESYNC-c2b22b5f66f63ed6,SCHOOLSRCSTATUS-b676d9098d4bf03c,SCHOOLSRCEXEC-c049fdfde96be3da,H945,4d71f106e07b7754,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,15,3,7,8,H1-有同校第一闭环页列提示,5,1,1,3,0,1,0,1,0,5,0,0,4,1,4,4,3,4,3,3,3,f8e582967105ab86,a311f4f0bea1ed62,N0-先双人核PDF原页冲突=3；N2-机器坐标辅助核PDF原页=1；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=5,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-88e8a749195c2cba,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,4,SCHOOLGAP-01992608e0c3dbae,SOURCESYNC-a8d9ec8bd4a79c2c,SCHOOLSRCSTATUS-b313cdbf6061e594,SCHOOLSRCEXEC-feace1d37bc731e9,K465,f166ccd5bdec08c1,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,18,3,1,7,H0-暂无同校第一闭环页列提示,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e3b0c44298fc1c14,e3b0c44298fc1c14,,,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-ea10c8571f4e886b,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,5,SCHOOLGAP-7d35597babbfeb0b,SOURCESYNC-83b75b61afe46d07,SCHOOLSRCSTATUS-2a71f766590a5936,SCHOOLSRCEXEC-45ff4928329dbeb0,K753,48bc7537107df5b3,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,17,5,2,3,H1-有同校第一闭环页列提示,3,2,1,0,0,1,0,2,0,1,0,2,2,1,3,2,1,1,0,0,0,3b6b7b14c135e6ef,64b652a22e4cabaf,N2-机器坐标辅助核PDF原页=1；N4-PDFOCR候选人工确认=2,E0-冲突异常双人优先核验=1；E2-官网未匹配专业名归属核验=2,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-48e01f12e003a541,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,6,SCHOOLGAP-5dcee3d36dd754aa,SOURCESYNC-fffd3118e8c02676,SCHOOLSRCSTATUS-1c610bda7759be32,SCHOOLSRCEXEC-7c38438ccaa39bf8,H450,3eec935ed3744a76,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,19,2,2,1,H1-有同校第一闭环页列提示,22,1,1,1,10,0,10,1,0,22,0,0,12,10,22,12,1,10,11,1,11,547df87eb78e04b3,f9a45a6256c240c9,N0-先双人核PDF原页冲突=1；N1-高校补缺线索回PDF原页=10；N3-无稳定候选人工看图=10；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=22,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-533da6a6581ec299,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,7,SCHOOLGAP-1302171c44842569,SOURCESYNC-34f12f91d2b21697,SCHOOLSRCSTATUS-28ab74e82a3d9f30,SCHOOLSRCEXEC-03edbb5de67f6f7f,A032,dd82c83465455e76,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,11,3,5,2,H0-暂无同校第一闭环页列提示,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e3b0c44298fc1c14,e3b0c44298fc1c14,,,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-ebabd8aeb8f805c5,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,8,SCHOOLGAP-c171579128f3515f,SOURCESYNC-97fe46084f5c560a,SCHOOLSRCSTATUS-cd4ff35ca47ecf2f,SCHOOLSRCEXEC-4835ec44e85e41d5,F902,dce32ecaa545d940,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,10,1,1,1,H1-有同校第一闭环页列提示,13,2,1,10,0,0,2,1,0,10,0,3,13,0,11,11,1,10,12,10,10,07189673f995c1ff,386a80d04edf688f,N0-先双人核PDF原页冲突=10；N3-无稳定候选人工看图=2；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=10；E2-官网未匹配专业名归属核验=3,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-1c55b714d39ee337,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,9,SCHOOLGAP-85f33e1e709d780e,SOURCESYNC-a7355989d165966a,SCHOOLSRCSTATUS-9b247ba355bb13ba,SCHOOLSRCEXEC-fd72fa13a271f168,H001,3f095e2cc4477217,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,9,4,1,1,H1-有同校第一闭环页列提示,2,1,1,0,1,0,1,0,0,0,2,0,1,1,2,1,1,1,1,0,1,2a32f93c47353315,f8ebd11729668b38,N1-高校补缺线索回PDF原页=1；N3-无稳定候选人工看图=1,E1-计划数补缺或偏大优先核验=2,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-63b9ab1b72249c50,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,10,SCHOOLGAP-acc52e3fdc1e4e89,SOURCESYNC-e9ac026e8c8db35d,SCHOOLSRCSTATUS-860857dc1ad9850c,SCHOOLSRCEXEC-2d10616fcea55d9a,H002,b6d196ee7e1432c0,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,4,3,1,0,H1-有同校第一闭环页列提示,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,588116c77d461d87,149a7191f2678cb3,N0-先双人核PDF原页冲突=1,E0-冲突异常双人优先核验=1,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
