高校源缺口优先级ID,来源高校源最新证据对齐账本,来源高校官网辅证状态快照,来源高校官网辅证自动执行批次,来源C4C6结构化候选diff账本,来源C4C6补源尝试账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,缺口优先级序号,高校源最新对齐ID,高校官网辅证状态快照ID,高校官网辅证自动执行批次ID,院校代码,任务学校键SHA16,原自动执行泳道,原结构化输出状态桶,原候选diff状态桶,原补源状态桶,最新高校侧证据层级,相对原自动账本推进状态,缺口主类,缺口子类,执行优先级,执行优先级分,自动推进泳道,人工核验泳道,是否需要自动补结构化,是否需要继续补源,是否需要回PDF原页,是否需要湖北官方侧核验,是否只核章程规则,是否已有可用于提示的高校侧线索,涉及招生明细数,涉及专业组数,next20任务数,C4C6结构化diff包数,C4C6可生成候选diff明细数,C4C6计划数冲突候选数,C4C6官网可补OCR计划数候选数,C4C6补源尝试记录数,最新公开证据集合SHA16,缺口原因桶,最小自动动作,最小人工动作,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SCHOOLGAP-d998a9afee342633,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,1,SOURCESYNC-4161992909ad60e4,SCHOOLSRCSTATUS-09b4f4bceaf65dd3,SCHOOLSRCEXEC-cec963d9e25668f7,C108,2c97c6e6ecddd74b,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,53,9,2,1,41,1,0,0,238a189c24c4f26a,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-b31d416e6f9edabb,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,2,SOURCESYNC-feb736c7c343419a,SCHOOLSRCSTATUS-1c9eb6122a9a2ab7,SCHOOLSRCEXEC-1d7695d003ad2e16,A197,e690075df91e629a,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,27,13,1,1,26,4,3,0,2a20103ebd03463d,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-aad27dc8fabdcf29,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,3,SOURCESYNC-c2b22b5f66f63ed6,SCHOOLSRCSTATUS-b676d9098d4bf03c,SCHOOLSRCEXEC-c049fdfde96be3da,H945,4d71f106e07b7754,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,15,3,1,1,15,7,8,0,b35ee20eafbd4930,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-01992608e0c3dbae,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,4,SOURCESYNC-a8d9ec8bd4a79c2c,SCHOOLSRCSTATUS-b313cdbf6061e594,SCHOOLSRCEXEC-feace1d37bc731e9,K465,f166ccd5bdec08c1,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,18,3,1,2,18,1,7,0,8de5d101c12c5954,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-7d35597babbfeb0b,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,5,SOURCESYNC-83b75b61afe46d07,SCHOOLSRCSTATUS-2a71f766590a5936,SCHOOLSRCEXEC-45ff4928329dbeb0,K753,48bc7537107df5b3,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,17,5,1,1,13,2,3,0,d4647ba2e86db6e0,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-5dcee3d36dd754aa,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,6,SOURCESYNC-fffd3118e8c02676,SCHOOLSRCSTATUS-1c610bda7759be32,SCHOOLSRCEXEC-7c38438ccaa39bf8,H450,3eec935ed3744a76,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,19,2,2,1,8,2,1,0,880daf4540a572fb,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-1302171c44842569,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,7,SOURCESYNC-34f12f91d2b21697,SCHOOLSRCSTATUS-28ab74e82a3d9f30,SCHOOLSRCEXEC-03edbb5de67f6f7f,A032,dd82c83465455e76,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,11,3,1,2,10,5,2,1,f1d68c84c5ef0de8,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-c171579128f3515f,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,8,SOURCESYNC-97fe46084f5c560a,SCHOOLSRCSTATUS-cd4ff35ca47ecf2f,SCHOOLSRCEXEC-4835ec44e85e41d5,F902,dce32ecaa545d940,A0-冲突回页和官方侧核验,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,10,1,1,1,2,1,1,0,0ea58c7176b523bf,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-85f33e1e709d780e,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,9,SOURCESYNC-a7355989d165966a,SCHOOLSRCSTATUS-9b247ba355bb13ba,SCHOOLSRCEXEC-fd72fa13a271f168,H001,3f095e2cc4477217,A0-冲突回页和官方侧核验,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,9,4,1,1,8,1,1,0,3b6ffcff8682db0f,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
SCHOOLGAP-acc52e3fdc1e4e89,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_gap_priority_public_ledger,高校侧辅证任务×缺口优先级,公开任务级缺口；不保存学校文本、专业文本、字段读数、OCR正文或私有材料,false,false,false,false,false,false,false,false,10,SOURCESYNC-e9ac026e8c8db35d,SCHOOLSRCSTATUS-860857dc1ad9850c,SCHOOLSRCEXEC-2d10616fcea55d9a,H002,b6d196ee7e1432c0,A0-冲突回页和官方侧核验,T1-已有结构化源可生成diff,D0-可生成diff且有计划数冲突线索,S0-继续补高校官网计划网源,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,E0-人工先核回页,1000,H0-整理冲突线索供核页,R0-双人核PDF原页和湖北官方侧,false,false,true,true,false,true,4,3,0,1,3,1,0,0,025b255bdc06dab8,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、字段读数、OCR正文、URL、截图或私有路径。
