高校源最新对齐ID,来源高校官网辅证自动执行批次,来源高校官网辅证状态快照,来源next20官网源探测账本,来源live补源账本,来源C4C6复用审计账本,来源C4C6结构化候选diff账本,来源C4C6补源尝试账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,原自动执行批次ID,高校官网辅证状态快照ID,执行批次序号,院校代码,院校名称公开,原自动执行泳道,原官网辅证自动动作,原官网来源状态,原最新自动探针状态,原结构化输出状态桶,原候选diff状态桶,原补源状态桶,原涉及招生明细数,原涉及专业组数,next20任务数,next20结构化湖北物理行数合计,next20结构化计划数合计,next20官网源类型集合,next20当前自动判断集合,live补源记录数,live结构化输出记录数,live湖北物理计划状态桶,C4C6复用包数,C4C6已有标准化官网证据行数,C4C6复用可生成候选diff明细数,C4C6结构化diff包数,C4C6综合结构化官网证据行数,C4C6可生成候选diff明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6补源尝试记录数,C4C6最新自动探针状态集合,最新证据来源族,最新公开证据集合SHA16,最新高校侧证据层级,相对原自动账本推进状态,最新自动建议动作,人工最小核验动作,仍需补源或解析原因,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SOURCESYNC-7051476635099181,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-8a477b0d0b1c13bf,SCHOOLSRCSTATUS-4924e4e6997464cd,1,C125,武汉轻工大学,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,41,5,1,38,2915,official_zhinengdayi_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,1,0,live仅取得官方入口线索,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,0e0bdba859e0f140,L3-已有湖北物理结构化或候选diff线索,P3-A4已推进到结构化或diff线索,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-858ab81a91591cc8,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-c3c4c622140c155e,SCHOOLSRCSTATUS-63ddbdfed2a28eef,2,F582,长春工业大学,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,41,12,1,0,0,official_html_jilin_only,仍需继续找2026湖北物理类分省分专业计划源,1,0,live未取得湖北物理计划,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,89f9a7ae03c0d145,L1-有入口或探针记录但未取得湖北物理结构化明细,P0-A4仍需继续补源,继续查学校招生网、公开API、XLSX、PDF或图片计划源；不能迁移外省计划。,人工必要时补找学校招生网计划入口或附件。,live未取得湖北物理计划；no_seed_need_official_source_search,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-c378aaf9dad2833e,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-4fd282f69ae5ad6e,SCHOOLSRCSTATUS-9fda644635740c18,3,C133,湖北师范大学,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,36,9,1,36,1800,official_zhinengdayi_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,1,0,live仅取得章程或规则线索,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,17a6f82798689d59,L3-已有湖北物理结构化或候选diff线索,P3-A4已推进到结构化或diff线索,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-4161992909ad60e4,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-cec963d9e25668f7,SCHOOLSRCSTATUS-09b4f4bceaf65dd3,4,C108,江汉大学,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,53,9,2,102,2990,official_zsdata_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,51,38,1,51,41,40,0,1,0,,next20；c4c6_reuse；c4c6_diff,238a189c24c4f26a,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-ffa7fbf0e96aadef,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-68eab4620608ec0d,SCHOOLSRCSTATUS-31201385846522db,5,H026,浙江传媒学院,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,22,6,1,0,0,official_entry_only,仍需继续找2026湖北物理类分省分专业计划源,1,0,live仅见历史招考信息,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,5f2fe723e4b40498,L1-有入口或探针记录但未取得湖北物理结构化明细,P0-A4仍需继续补源,继续查学校招生网、公开API、XLSX、PDF或图片计划源；不能迁移外省计划。,人工必要时补找学校招生网计划入口或附件。,live仅见历史招考信息；no_seed_need_official_source_search,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-feb736c7c343419a,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-1d7695d003ad2e16,SCHOOLSRCSTATUS-1c9eb6122a9a2ab7,6,A197,西北民族大学,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_reusable_2026_hubei_plan_source,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,27,13,1,30,95,official_zsdata_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,30,26,1,30,26,19,3,4,0,,next20；c4c6_reuse；c4c6_diff,2a20103ebd03463d,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-feabdcbeadcbc18d,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-c88d1469a849990d,SCHOOLSRCSTATUS-1e8535a9a1d485bf,7,K486,西安邮电大学,A1-官网补缺线索回页核验,C1-官网补缺候选但禁止自动写回,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,19,1,1,25,49,official_zsdata_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,25,5,1,25,5,0,5,0,0,,next20；c4c6_reuse；c4c6_diff,0ce51b79e2541f0f,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-c2b22b5f66f63ed6,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-c049fdfde96be3da,SCHOOLSRCSTATUS-b676d9098d4bf03c,8,H945,南宁学院,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,15,3,1,20,0,official_static_html_table,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,20,14,1,20,15,0,8,7,0,,next20；c4c6_reuse；c4c6_diff,b35ee20eafbd4930,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-a8d9ec8bd4a79c2c,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-feace1d37bc731e9,SCHOOLSRCSTATUS-b313cdbf6061e594,9,K465,西安建筑科技大学,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,18,3,1,20,80,official_zsdata_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,2,0,0,2,40,18,10,7,1,0,,next20；c4c6_reuse；c4c6_diff,8de5d101c12c5954,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-83b75b61afe46d07,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-45ff4928329dbeb0,SCHOOLSRCSTATUS-2a71f766590a5936,10,K753,喀什大学,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,17,5,1,0,90,official_xlsx_hubei_column,已有官方入口或附件线索，但仍需继续补结构化或补源,0,0,,1,31,13,1,31,13,8,3,2,0,,next20；c4c6_reuse；c4c6_diff,d4647ba2e86db6e0,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
