next20官网源探测ID,来源next20执行表,来源live补源账本,来源C4C6复用审计账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,最终可用,可进入下一阶段,是否可作为定稿依据,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行建议序号,院校代码,院校名称,机会优先级,机会类型,官网辅证自动动作,涉及招生明细数,涉及专业组数,官网源探测层级,官网源类型,官方URL,本地公开来源文件,本地公开来源文件集合SHA256,结构化湖北相关行数,结构化湖北物理行数,结构化计划数合计,可核字段公开摘要,字段局限公开摘要,已有C4C6计划数一致候选数,已有C4C6官网可补OCR计划数候选数,已有C4C6计划数冲突候选数,已有live补源结论,已有live湖北物理计划状态,当前自动判断,下一步自动动作,人工最小核验动作,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,公开安全策略
NEXT20PROBE-01-C125,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,1,C125,武汉轻工大学,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,41,5,S0-已有官方智能答疑API湖北物理结构化源,official_zhinengdayi_json,https://zsb.whpu.edu.cn/whpu；https://admin.zhinengdayi.com/front/enroll/findEnrollPlanDetail?sCode=VFUSRX&cityName=湖北&year=2026&enrollType=普通文理&science=物理类&batch=本科普通批,data/external/issue19-next20-official-sources/whpu-2026-hubei-physics-normal.json；data/external/issue19-school-source-live-20260629/whpu-zsb-app-shell.html；data/external/issue19-school-source-live-20260629/whpu-2026-plan-entry-shell.html；data/external/issue19-school-source-live-20260629/whpu-2026-hubei-fill-suggestion-shell.html,eeee00ca308fe1a0a9ced98d25724df0505b7a43480608bf3ea382131281707f,38,38,2915,年份；省份；科类；批次；专业名；计划数；选科备注,官方招生系统API未给湖北院校专业组代码、专业代号、学费或校区；仍需第19期原页和湖北官方侧。,0,0,0,官网入口和湖北考生提示入口均为前端应用壳；普通静态抓取未直接取得专业+人数明细,未取得2026湖北物理本科普通批专业+人数明细；只确认存在官方H5入口线索,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-02-F582,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,2,F582,长春工业大学,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,41,12,S3-仅外省计划，未取得湖北计划,official_html_jilin_only,https://bzkzs.ccut.edu.cn/zsxx/bzkzsxx/zsjh.htm；https://bzkzs.ccut.edu.cn/info/1073/1491.htm；https://bzkzs.ccut.edu.cn/info/1019/1492.htm,data/external/issue19-school-source-live-20260629/ccut-zsjh-list.html；data/external/issue19-school-source-live-20260629/ccut-2026-jilin-plan.html；data/external/issue19-school-source-live-20260629/ccut-2026-undergraduate-guide.html,59f8c0aaef389d6d12f1df9b43c83e7a1e39bb5239b2a67efb8aaba6483e456a,0,0,0,可见招生简章和吉林省计划入口,不能用吉林省计划迁移到湖北；湖北物理计划仍缺。,0,0,0,官网招生计划栏目可访问但当前2026计划页仅见吉林省计划,未取得2026湖北物理本科普通批计划,仍需继续找2026湖北物理类分省分专业计划源,继续解析官方入口、XLSX/PDF/API或图片；不能迁移外省计划。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-03-C133,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,3,C133,湖北师范大学,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,36,9,S0-已有官方智能答疑API湖北物理结构化源,official_zhinengdayi_json,https://zhinengdayi.com/hbnu；https://admin.zhinengdayi.com/front/enroll/findEnrollPlanDetail?sCode=LSPJPH&cityName=湖北&year=2026&enrollType=普通文理&science=物理组&batch=-,data/external/issue19-next20-official-sources/hbnu-2026-hubei-physics-group-normal.json；data/external/issue19-school-source-live-20260629/hbnu-zsb-logout-shell.html；data/external/issue19-school-source-live-20260629/hbnu-2026-undergraduate-charter.html,e06c8bc2b0aab09bba5d8f9fde2ae9fee3b8c89486a7e54bded8b7a89b3e2bcf,36,36,1800,年份；省份；科类；专业名；计划数；学费备注,官方招生系统API批次字段为 '-'，未给湖北院校专业组代码、专业代号、选科或校区；仍需第19期原页和湖北官方侧。,0,0,0,招生网普通抓取返回跳转登出页；信息公开网可取得2026本科招生章程但不含分省分专业计划,未取得2026湖北物理本科普通批计划；章程仅可核招生规则、信息发布入口和限制条款,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-04-C108,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,4,C108,江汉大学,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,53,9,S0-已有官方API湖北物理结构化源,official_zsdata_json,https://zsdata.jhun.edu.cn/zsdata/lqxx/#/,data/external/issue19-b0-b1-official-sources/jhun-2026-hubei-physics-normal-lqxx2.json；data/external/issue19-b0-b1-official-sources/jhun-zsdata-index.html,1b0419d23e718aa8c4fc7bf83770464ba0cf153d6a9934a1abeaa35532d513c0,51,51,1495,年份；省份；科类；批次；专业名；计划数；学制；校区；备注,高校API未给湖北院校专业组代码边界；仍需第19期原页和湖北官方侧对齐。,37,0,1,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-05-H026,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,5,H026,浙江传媒学院,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,22,6,S3-仅入口和信息公开页，未取得结构化计划,official_entry_only,https://zsw.cuz.edu.cn/；https://xxgk.cuz.edu.cn/xxgkml/zkxx.htm,data/external/issue19-school-source-live-20260629/cuz-zsw-home-20260629.html；data/external/issue19-school-source-live-20260629/cuz-xxgk-zkxx-20260629.html,473129683d2cb9c57d7dbf66f0017daafe8e482b9f5d75916d83e833f0abd783,0,0,0,仅有招生入口和信息公开入口,当前未取得2026湖北物理专业和人数明细。,0,0,0,已留存招生网首页和信息公开网招考信息页；未找到2026湖北物理/理工专业+人数明细,未取得2026湖北物理本科普通批计划；信息公开页当前主要可见2025/2024招考信息,仍需继续找2026湖北物理类分省分专业计划源,继续解析官方入口、XLSX/PDF/API或图片；不能迁移外省计划。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-06-A197,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,6,A197,西北民族大学,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,27,13,S0-已有官方API湖北物理结构化源,official_zsdata_json,学校官方招生系统接口留存,data/external/issue19-b0-b1-official-sources/xbmu-2026-hubei-physics-normal-zsjh.json,bd9091d4997e004c236cc9760952bfe732a5700dc1388e7bf60c6cddec3d0dae,30,30,95,年份；省份；科类；专业名；计划数；校区,未给湖北院校专业组代码边界；需核组边界、限制条款和第19期原页。,19,3,4,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-07-K486,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,7,K486,西安邮电大学,P0-立即处理,O1-官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,19,1,S0-已有官方API湖北物理结构化源,official_zsdata_json,http://zsdata.xupt.edu.cn/zsdata/lqxx/#/,data/external/issue19-b0-b1-official-sources/xupt-2026-hubei-physics-normal.json；data/external/issue19-b0-b1-official-sources/xupt-2026-hubei-physics-sino.json；data/external/issue19-b0-b1-official-sources/xupt-zsjh-type.json,42d9984924854c0ec23d517b1095a30f12272b41f68bd90e418e2da20d642c8b,25,25,49,年份；省份；科类；批次；类别；专业名；专业代号；计划数；选科,高校API未给湖北专业组完整边界；普通类和中外合作需分开核。,0,5,0,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-08-H945,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,8,H945,南宁学院,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,15,3,S0-已有官网静态表结构化线索,official_static_html_table,https://zs.unn.edu.cn/bkzn/zsjh.htm,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html；data/external/issue19-b0-b1-official-sources/unn-home.html,c2a9908ee0816b7e64801765a5b593e1ce220abec2ceafe45a86f1ec96e81733,20,20,0,专业名；湖北计划线索；学费；选科；学院；页面专业组编号,页面专业组编号不是湖北志愿系统专业组代码；计划数冲突需回原页和湖北官方侧。,0,7,7,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-09-K465,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,9,K465,西安建筑科技大学,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,18,3,S0-已有官方API湖北物理结构化源,official_zsdata_json,https://zsdata.xauat.edu.cn/lqxx/s/api/front/lqxx/getList,data/external/issue19-c4-c6-official-sources/xauat-2026-hubei-physics-normal.json,78fe2b8271d73e328387f8f48ddace29a43933c7ac4cd2c6d6d284ee39bea870,20,20,80,年份；省份；科类；类别；专业名；计划数；校内专业组；选科,高校API未给湖北院校专业组代码、专业代号、学费和校区。,0,0,0,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-10-K753,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,10,K753,喀什大学,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,17,5,S1-已有官方XLSX湖北列，科类边界待核,official_xlsx_hubei_column,学校官方招生计划附件留存,data/external/issue19-b0-b1-official-sources/ksu-2026-undergraduate-plan.xlsx；data/external/issue19-b0-b1-official-sources/ksu-2026-undergraduate-plan-page.html,592fcccd7a63220d5bc6eb1a9cf41446810a703c076fddcdd246d3a0e8afaade,31,0,90,专业名；湖北列计划数,XLSX为省份列计划，未在表内直接拆湖北物理/历史；不能单独核专业组边界。,8,3,2,,,已有官方入口或附件线索，但仍需继续补结构化或补源,继续解析官方入口、XLSX/PDF/API或图片；不能迁移外省计划。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
