高校官网辅证机会ID,来源高校侧辅证刷新公开账本,来源B0B1官方源缺口优先表,来源C4C6高校源刷新执行包,来源C4C6结构化候选diff公开账本,来源C4C6高校官网补源尝试账本,来源高校官网补源种子表,来源湖北官方公开入口活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行建议序号,机会优先级,机会类型,自动收益分,院校代码,院校名称OCR,官网辅证自动动作,高校侧刷新批次,高校侧刷新任务类型,闭环优先级,官网证据强度,官网来源状态,来源文件类型集合,公开来源文件数量,公开来源URL数量,涉及招生明细数,涉及专业组数,涉及PDF页数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,B0B1缺口优先级,B0B1缺口类型,B0B1逐专业核验任务数,C4C6执行包数量,C4C6执行泳道集合,C4C6执行优先级集合,C4C6需补结构化明细数,C4C6需继续补源明细数,C4C6结构化diff优先级集合,C4C6综合结构化官网证据行数,C4C6专业名匹配明细数,C4C6未匹配明细数,C4C6无结构化官网源明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6可生成候选diff明细数,最新自动探针状态,最新自动探针摘要,候选官网URL数量,候选官网URL集合SHA256,种子官网URL数量,种子官网URL集合SHA256,本地公开来源文件集合SHA256,来源质量判断,自动化下一步,人工最小核验动作,保真边界,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,公开安全策略,下一步
SCHOOLOPP-d5ec6f555e8ee72f,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,1,P0-立即处理,O3-高收益缺源学校优先补源,1293,C125,武汉轻工大学,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,41,5,2,0,0,0,0,41,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,21,1,X0-C6无官网计划入口需搜索,00-P0补源,0,41,D6-无入口需继续搜索高校官网计划源,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,0,,0,,6d1643386261fe64601eb9ce23dbeb5221ae48260dd2d983ee8d18cf02328fcb,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-d40e3eca916d2295,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,2,P0-立即处理,O3-高收益缺源学校优先补源,1293,F582,长春工业大学,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,41,12,1,0,0,0,0,41,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,11,1,X0-C6无官网计划入口需搜索,00-P0补源,0,41,D6-无入口需继续搜索高校官网计划源,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,0,,0,,5a3a78f4bd14c1ec1bf09fae01688797bdfba0cf6a176cee69f4e5205ae36b08,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-6a0186b3e0855043,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,3,P0-立即处理,O3-高收益缺源学校优先补源,1153,C133,湖北师范大学,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,36,9,1,0,0,0,0,36,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,15,1,X0-C6无官网计划入口需搜索,00-P0补源,0,36,D6-无入口需继续搜索高校官网计划源,0,0,0,36,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,0,,0,,fd00b5442ecec0dd97ced588227a41355090e8332c749b41e410df9a76c0307d,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-c4bb7e7b4dfb3027,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,4,P0-立即处理,O0-冲突优先回页核验,1090,C108,江汉大学,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,53,9,2,0,0,0,53,0,0,0,0,,,0,1,X3-C4已有部分来源待结构化,03-P1结构化,53,0,D0-存在计划数冲突需优先核PDF原页,51,40,12,0,40,0,1,41,,,0,,1,64007f21740966e877fb893e51748445f79e9d88ce56f97bc6479134346dbd49,b9246b2769aace4ea4d3bc381a0a5e3ade02239f0ef7e122396facd9c8104315,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-3b972bf89fb40029,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,5,P0-立即处理,O3-高收益缺源学校优先补源,761,H026,浙江传媒学院,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,22,6,1,0,0,0,0,22,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,7,1,X0-C6无官网计划入口需搜索,00-P0补源,0,22,D6-无入口需继续搜索高校官网计划源,0,0,0,22,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,0,,0,,c72ac1311a9a3043e611bb4103858754aa64e5982f17105b87d677af363bf167,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-25dc287275d95fb6,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,6,P0-立即处理,O0-冲突优先回页核验,696,A197,西北民族大学,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,27,13,1,0,0,0,27,0,0,0,0,,,0,1,X2-C4有入口但未留存结果,02-P1抓取,27,0,D0-存在计划数冲突需优先核PDF原页,30,26,1,0,19,3,4,26,,,0,,1,868d347a6c0793850ae8665451557b9c013a200c34b9ed84867fa5d2f7900f69,1597d2467b4c7335e75fed44ddc5dd84b8b0e4081fc4eedeb8531caf3f899e66,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-0d33207c680d36bb,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,7,P0-立即处理,O1-官网补缺候选回页核验,551,K486,西安邮电大学,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,API/JSON,1,1,19,1,1,0,19,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,b0c968b677052aa6f78f79bcd0b0d05bf0b4499def836218420ece4ecf2c50e7,37db005807ab396ac1a41ded57d8f3cad6c17533a3f7a4e376529356a0ef63a3,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
SCHOOLOPP-47811f51052e878b,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,8,P0-立即处理,O0-冲突优先回页核验,550,H945,南宁学院,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,15,3,2,0,0,0,15,0,0,0,0,,,0,1,X3-C4已有部分来源待结构化,03-P1结构化,15,0,D0-存在计划数冲突需优先核PDF原页,20,15,0,0,0,8,7,15,,,0,,1,13fa381f1f1201b99245ee03f2e9e7a784aa307ee4dac4b0f41553f4bbbfc39d,9edfd23e8c1db4f830277060fa9c1ec3d5c2edca3e68b730c18dbdcf351d4ca7,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-61cc02aff7cb07d7,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,9,P0-立即处理,O0-冲突优先回页核验,478,K465,西安建筑科技大学,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,18,3,1,0,0,0,18,0,0,0,0,P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,1,1,X3-C4已有部分来源待结构化,03-P1结构化,18,0,D0-存在计划数冲突需优先核PDF原页,20,17,1,0,9,7,1,17,,,1,0cd65763e5e4e2e0622af016cf733d18aab8476d7bb0a1f5e70b80ca1a5c9c61,1,0cd65763e5e4e2e0622af016cf733d18aab8476d7bb0a1f5e70b80ca1a5c9c61,57c0cfec2c0d2670c1aa543ab853c20cd22a92a9fc63b62d0e409b08bd8d678e,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-8d158aa21500e4c8,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,10,P0-立即处理,O0-冲突优先回页核验,412,K753,喀什大学,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,17,5,1,0,0,0,17,0,0,0,0,,,0,1,X3-C4已有部分来源待结构化,03-P1结构化,17,0,D0-存在计划数冲突需优先核PDF原页,31,13,4,0,8,3,2,13,,,0,,1,562d34e39aeff1826d0657cf1c58baf959cb985c78eb98b7e6c93a9b73c65c8a,55ed8b57116e96c8ab85c32cde979621cd73b1de105ea73ad2a5c8b48e9f6751,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
