高校源进度看板ID,来源高校官网辅证自动执行批次,来源高校源最新对齐账本,来源C4C6高校源刷新执行包,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,看板序号,高校官网辅证自动执行批次ID,高校源最新对齐ID,高校官网辅证状态快照ID,院校代码,院校名称公开,自动执行泳道,原官网来源状态,原结构化输出状态桶,原候选diff状态桶,原补源状态桶,最新高校侧证据层级,相对原自动账本推进状态,最新证据来源族,最新公开证据集合SHA16,来源类型桶,建议来源形态,来源留存状态,涉及招生明细数,涉及专业组数,原涉及PDF页数,next20结构化湖北物理行数合计,next20结构化计划数合计,live补源记录数,live结构化输出记录数,C4C6复用包数,C4C6结构化diff包数,C4C6补源尝试记录数,C4C6综合结构化官网证据行数,C4C6可生成候选diff明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,需补结构化明细数,需继续补源明细数,计划数冲突行数,官网补缺候选行数,官网未匹配行数,下一批推进优先级,下一批推进动作,所需源类型,人工最小核验动作,仍需补源或解析原因,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SOURCESPROGRESS-e4417823cdb590fb,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,1,SCHOOLSRCEXEC-cec963d9e25668f7,SOURCESYNC-4161992909ad60e4,SCHOOLSRCSTATUS-09b4f4bceaf65dd3,C108,江汉大学,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,238a189c24c4f26a,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,53,9,2,102,2990,0,0,1,1,0,51,41,40,0,1,53,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-bc841e825442667a,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,2,SCHOOLSRCEXEC-1d7695d003ad2e16,SOURCESYNC-feb736c7c343419a,SCHOOLSRCSTATUS-1c9eb6122a9a2ab7,A197,西北民族大学,A0-冲突回页和官方侧核验,has_reusable_2026_hubei_plan_source,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,2a20103ebd03463d,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,27,13,1,30,95,0,0,1,1,0,30,26,19,3,4,27,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-aca7748d6a867b49,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,3,SCHOOLSRCEXEC-7c38438ccaa39bf8,SOURCESYNC-fffd3118e8c02676,SCHOOLSRCSTATUS-1c610bda7759be32,H450,山东工商学院,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,880daf4540a572fb,F0-已有结构化或候选diff线索,PDF,R0-已有公开来源文件或URL留存,19,2,1,48,122,0,0,1,1,0,24,8,5,1,2,19,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,PDF,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-8742126ea03bbf62,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,4,SCHOOLSRCEXEC-feace1d37bc731e9,SOURCESYNC-a8d9ec8bd4a79c2c,SCHOOLSRCSTATUS-b313cdbf6061e594,K465,西安建筑科技大学,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,8de5d101c12c5954,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,18,3,1,20,80,0,0,2,2,0,40,18,10,7,1,18,1,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-955bd61660c04a55,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,5,SCHOOLSRCEXEC-45ff4928329dbeb0,SOURCESYNC-83b75b61afe46d07,SCHOOLSRCSTATUS-2a71f766590a5936,K753,喀什大学,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,d4647ba2e86db6e0,F0-已有结构化或候选diff线索,XLSX,R0-已有公开来源文件或URL留存,17,5,1,0,90,0,0,1,1,0,31,13,8,3,2,17,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,XLSX,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-019fd1d2c29d9ac8,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,6,SCHOOLSRCEXEC-c049fdfde96be3da,SOURCESYNC-c2b22b5f66f63ed6,SCHOOLSRCSTATUS-b676d9098d4bf03c,H945,南宁学院,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,b35ee20eafbd4930,F0-已有结构化或候选diff线索,HTML/招生系统入口,R0-已有公开来源文件或URL留存,15,3,2,20,0,0,0,1,1,0,20,15,0,8,7,15,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,HTML/招生系统入口,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-09a52313dbda473e,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,7,SCHOOLSRCEXEC-172098773241c841,SOURCESYNC-cb41c0bf8d0de1fc,SCHOOLSRCSTATUS-c9cd16381554e0d4,C108,江汉大学,A2-专业名匹配规则或人工确认,has_partial_source_needs_followup,T2-有公开来源待解析,D5-不适用,S4-部分来源待跟进,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,238a189c24c4f26a,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,12,2,1,102,2990,0,0,1,1,0,51,41,40,0,1,53,0,0,0,12,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-d52c9b272cdc6002,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,8,SCHOOLSRCEXEC-03edbb5de67f6f7f,SOURCESYNC-34f12f91d2b21697,SCHOOLSRCSTATUS-28ab74e82a3d9f30,A032,北京语言大学,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff；c4c6_attempt,f1d68c84c5ef0de8,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,11,3,1,14,34,0,0,2,2,1,28,10,3,2,5,11,1,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-1eac26663d70b3d7,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,9,SCHOOLSRCEXEC-4835ec44e85e41d5,SOURCESYNC-97fe46084f5c560a,SCHOOLSRCSTATUS-cd4ff35ca47ecf2f,F902,江苏理工学院,A0-冲突回页和官方侧核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；live；c4c6_reuse；c4c6_diff,0ea58c7176b523bf,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,10,1,1,15,0,1,0,1,1,0,15,2,0,1,1,2,0,10,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,公开来源待判定,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-2ada14da7658f072,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,10,SCHOOLSRCEXEC-9ece90ee7f6910b4,SOURCESYNC-7fcf41bab656b591,SCHOOLSRCSTATUS-50de0fcaa0352d5f,H450,山东工商学院,A1-官网补缺线索回页核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,880daf4540a572fb,F0-已有结构化或候选diff线索,PDF,R0-已有公开来源文件或URL留存,10,1,1,48,122,0,0,1,1,0,24,8,5,1,2,19,0,0,10,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,PDF,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
