高校官网辅证状态快照ID,来源高校官网辅证机会队列,来源高校侧辅证刷新公开账本,来源C4C6高校源刷新执行包,来源C4C6已留存官网源复用审计,来源C4C6结构化候选diff公开账本,来源C4C6高校官网补源尝试账本,来源高校官网live补源账本,来源湖北官方公开入口活体复查,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行建议序号,机会队列ID,高校侧辅证刷新公开账本ID,院校代码,院校名称公开,机会优先级,机会类型,自动收益分,官网辅证自动动作,高校侧刷新批次,高校侧刷新任务类型,闭环优先级,官网证据强度,官网来源状态,来源质量判断,来源文件类型集合,公开来源文件数量,公开来源URL数量,候选官网URL数量,候选官网URL集合SHA256,种子官网URL数量,种子官网URL集合SHA256,本地公开来源文件集合SHA256,涉及招生明细数,涉及专业组数,涉及PDF页数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,C4C6执行包数量,C4C6需补结构化明细数,C4C6需继续补源明细数,C4C6综合结构化官网证据行数,C4C6专业名匹配明细数,C4C6未匹配明细数,C4C6无结构化官网源明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6可生成候选diff明细数,最新自动探针状态,是否已有live补源记录,live补源记录数,live结构化线索记录数,live补源状态桶,学校任务总数,学校P0任务数,学校P1任务数,学校P2任务数,学校P3任务数,学校可复用官网源任务数,学校部分来源待跟进任务数,学校仍需搜索计划网源任务数,学校仅章程规则任务数,自动化下一步桶,人工最小核验动作桶,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,快照结论桶,建议下一步动作,完成条件,公开安全策略
SCHOOLSRCSTATUS-4924e4e6997464cd,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,1,SCHOOLOPP-d5ec6f555e8ee72f,SCHOOLREFRESH-6987fccf84c19a99,C125,武汉轻工大学,P0-立即处理,O3-高收益缺源学校优先补源,1293,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,6d1643386261fe64601eb9ce23dbeb5221ae48260dd2d983ee8d18cf02328fcb,41,5,2,0,0,0,0,41,0,0,0,1,0,41,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,A4-继续搜索高校计划网源,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-63ddbdfed2a28eef,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,2,SCHOOLOPP-d40e3eca916d2295,SCHOOLREFRESH-943e235d1b5b50f7,F582,长春工业大学,P0-立即处理,O3-高收益缺源学校优先补源,1293,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,5a3a78f4bd14c1ec1bf09fae01688797bdfba0cf6a176cee69f4e5205ae36b08,41,12,1,0,0,0,0,41,0,0,0,1,0,41,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,A4-继续搜索高校计划网源,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-9fda644635740c18,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,3,SCHOOLOPP-6a0186b3e0855043,SCHOOLREFRESH-a478cee56cfc9830,C133,湖北师范大学,P0-立即处理,O3-高收益缺源学校优先补源,1153,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,fd00b5442ecec0dd97ced588227a41355090e8332c749b41e410df9a76c0307d,36,9,1,0,0,0,0,36,0,0,0,1,0,36,0,0,0,36,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,A4-继续搜索高校计划网源,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-09b4f4bceaf65dd3,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,4,SCHOOLOPP-c4bb7e7b4dfb3027,SCHOOLREFRESH-3842dcb5f9cebe57,C108,江汉大学,P0-立即处理,O0-冲突优先回页核验,1090,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,64007f21740966e877fb893e51748445f79e9d88ce56f97bc6479134346dbd49,b9246b2769aace4ea4d3bc381a0a5e3ade02239f0ef7e122396facd9c8104315,53,9,2,0,0,0,53,0,0,0,0,1,53,0,51,40,12,0,40,0,1,41,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,1,2,0,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-31201385846522db,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,5,SCHOOLOPP-3b972bf89fb40029,SCHOOLREFRESH-a4be848a661bd050,H026,浙江传媒学院,P0-立即处理,O3-高收益缺源学校优先补源,761,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q3-已有自动探针边界记录,待补官网2026湖北计划源,0,0,0,,0,,c72ac1311a9a3043e611bb4103858754aa64e5982f17105b87d677af363bf167,22,6,1,0,0,0,0,22,0,0,0,1,0,22,0,0,0,22,0,0,0,0,no_seed_need_official_source_search,true,1,0,L1-live已有入口或来源记录仍待结构化,1,1,0,0,0,0,0,1,0,A4-继续搜索高校计划网源,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-1c9eb6122a9a2ab7,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,6,SCHOOLOPP-25dc287275d95fb6,SCHOOLREFRESH-7d00d0898b0c0031,A197,西北民族大学,P0-立即处理,O0-冲突优先回页核验,696,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_reusable_2026_hubei_plan_source,Q0-有结构化源但存在计划数冲突,未留存来源文件,0,1,0,,1,868d347a6c0793850ae8665451557b9c013a200c34b9ed84867fa5d2f7900f69,1597d2467b4c7335e75fed44ddc5dd84b8b0e4081fc4eedeb8531caf3f899e66,27,13,1,0,0,0,27,0,0,0,0,1,27,0,30,26,1,0,19,3,4,26,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,3,0,0,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-1e8535a9a1d485bf,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,7,SCHOOLOPP-0d33207c680d36bb,SCHOOLREFRESH-5879cbfa20e60c30,K486,西安邮电大学,P0-立即处理,O1-官网补缺候选回页核验,551,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,API/JSON,1,1,0,,1,b0c968b677052aa6f78f79bcd0b0d05bf0b4499def836218420ece4ecf2c50e7,37db005807ab396ac1a41ded57d8f3cad6c17533a3f7a4e376529356a0ef63a3,19,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,2,1,1,0,0,2,0,0,0,A1-官网补缺线索回页核验,M5-人工按高校线索回页,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-b676d9098d4bf03c,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,8,SCHOOLOPP-47811f51052e878b,SCHOOLREFRESH-ba66b7e2cdc31adc,H945,南宁学院,P0-立即处理,O0-冲突优先回页核验,550,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,13fa381f1f1201b99245ee03f2e9e7a784aa307ee4dac4b0f41553f4bbbfc39d,9edfd23e8c1db4f830277060fa9c1ec3d5c2edca3e68b730c18dbdcf351d4ca7,15,3,2,0,0,0,15,0,0,0,0,1,15,0,20,15,0,0,0,8,7,15,no_live_probe_record,false,0,0,L0-暂无live补源记录,4,3,0,1,0,2,2,0,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-b313cdbf6061e594,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,9,SCHOOLOPP-61cc02aff7cb07d7,SCHOOLREFRESH-64e029988f599939,K465,西安建筑科技大学,P0-立即处理,O0-冲突优先回页核验,478,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,1,0cd65763e5e4e2e0622af016cf733d18aab8476d7bb0a1f5e70b80ca1a5c9c61,1,0cd65763e5e4e2e0622af016cf733d18aab8476d7bb0a1f5e70b80ca1a5c9c61,57c0cfec2c0d2670c1aa543ab853c20cd22a92a9fc63b62d0e409b08bd8d678e,18,3,1,0,0,0,18,0,0,0,0,1,18,0,20,17,1,0,9,7,1,17,no_live_probe_record,false,0,0,L0-暂无live补源记录,2,1,0,1,0,0,2,0,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-2a71f766590a5936,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,10,SCHOOLOPP-8d158aa21500e4c8,SCHOOLREFRESH-702f7a623570f934,K753,喀什大学,P0-立即处理,O0-冲突优先回页核验,412,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,562d34e39aeff1826d0657cf1c58baf959cb985c78eb98b7e6c93a9b73c65c8a,55ed8b57116e96c8ab85c32cde979621cd73b1de105ea73ad2a5c8b48e9f6751,17,5,1,0,0,0,17,0,0,0,0,1,17,0,31,13,4,0,8,3,2,13,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,1,2,0,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
