高校源结构化接入候选ID,来源高校源进度看板,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,接入优先序,院校代码,院校名称公开,学校键SHA16,接入批次,推荐接入动作,来源族,来源文件类型,本地公开证据文件集合,本地公开证据文件集合SHA16,公开URL线索数量,进度看板任务数,涉及招生明细数合计,涉及专业组数最大值,最新高校侧证据层级集合,下一批推进优先级集合,结构化适配器状态,匹配规则状态,候选diff优先级,阻断原因,下一脚本建议,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SS-INGEST-2c09012061c89119,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,1,A195,兰州大学,0ba76915d2607709,B0B1_API_JSON,复跑API结构化源，补专业名归一和计划数diff闭合。,c4c6_reuse；c4c6_diff×3,API/JSON,data/external/issue19-b0-b1-official-sources/lzu-2026-hubei-physics-normal-zsjh.json,09e938d32d7e7913,1,3,54,9,L3-已有湖北物理结构化或候选diff线索×3,P1-官网补缺线索回页×3,existing_json_adapter_needs_schema_check,needs_major_name_normalization,D1-已有JSON源，优先生成补缺或冲突diff,PDF原页、湖北官方侧和人工复核未闭环，不能写回。,新增或复用 LZU JSON schema adapter，输出高校侧候选diff。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-a4761ddb4b624164,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,2,C125,武汉轻工大学,44c2c2fc0238b80e,NEXT20_API_JSON,把next20智能答疑JSON接入C4/C6候选diff桥接。,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt×1,API/JSON,data/external/issue19-next20-official-sources/whpu-2026-hubei-physics-normal.json,66ff7afc554f5787,1,1,41,5,L3-已有湖北物理结构化或候选diff线索×1,P4-继续搜索高校官网计划网源×1,new_next20_json_bridge_needed,needs_group_boundary_absent_policy,D0-next20高明细量优先接入,官网API未给湖北院校专业组边界，仍需PDF原页和湖北官方侧。,写 next20 JSON -> school source normalized rows bridge。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-9454eaa5a5f3ce61,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,3,C133,湖北师范大学,c99d08eba7af6333,NEXT20_API_JSON,把next20智能答疑JSON接入候选diff；章程仅作规则侧证。,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt×1,API/JSON；章程HTML,data/external/issue19-next20-official-sources/hbnu-2026-hubei-physics-group-normal.json；data/external/issue19-school-source-live-20260629/hbnu-2026-undergraduate-charter.html,96313a728dce989c,2,1,36,9,L3-已有湖北物理结构化或候选diff线索×1,P4-继续搜索高校官网计划网源×1,new_next20_json_bridge_needed,needs_batch_and_subject_note_policy,D0-next20高明细量优先接入,章程不能核分省分专业计划，官网API也缺湖北专业组边界。,next20 JSON 进diff；章程另入限制规则侧账。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-4d1516f9a6da8124,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,4,K465,西安建筑科技大学,84b6b1aade266ecc,C4C6_API_JSON,把已抓API结果接入统一结构化候选diff，并保留冲突分层。,next20；c4c6_reuse；c4c6_diff×2,API/JSON,data/external/issue19-c4-c6-official-sources/xauat-2026-hubei-physics-normal.json,fe43e0752a4cd7ee,1,2,19,3,L3-已有湖北物理结构化或候选diff线索×2,P0-冲突优先回PDF原页和湖北官方侧×2,existing_c4c6_json_adapter_needs_unified_bridge,needs_conflict_priority_rules,D0-冲突候选优先回页,存在冲突/补缺候选，字段事实写回仍被阻断。,接入 C4/C6 API normalized rows，再重算 diff 状态。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-f6a11c0f34f33053,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,5,A032,北京语言大学,2adc8521fa9ea82f,C4C6_API_JSON,补专业名、批次和类别规则，重跑候选diff。,next20；c4c6_reuse；c4c6_diff；c4c6_attempt×2,API/JSON,data/external/issue19-c4-c6-official-sources/blcu-2026-hubei-physics-normal.json,89010648ca81e801,1,2,12,3,L3-已有湖北物理结构化或候选diff线索×2,P0-冲突优先回PDF原页和湖北官方侧×2,existing_c4c6_json_adapter_needs_rule_patch,needs_major_category_and_batch_rules,D0-冲突候选优先回页,计划数冲突线索必须回PDF原页和湖北官方侧。,补 BLCU JSON 专业名/类别/批次匹配规则。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-8c6fac0ddecebca1,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,6,F099,天津外国语大学,76b4ccd2e4921310,B0B1_API_JSON,复跑API并统一JSON schema adapter，生成补缺diff。,c4c6_reuse；c4c6_diff×2,API/JSON,data/external/issue19-b0-b1-official-sources/tjfsu-2026-hubei-physics-normal-zsjh.json,5f80df04d5dbd61e,1,2,13,4,L3-已有湖北物理结构化或候选diff线索×2,P1-官网补缺线索回页×2,existing_json_adapter_needs_schema_check,needs_school_major_group_absent_policy,D1-补缺线索优先回页,官网源不含湖北专业组边界，不能替代湖北官方计划。,新增 TJFSU JSON schema adapter 并输出候选diff。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-175054faaf1885cb,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,7,F305,忻州师范学院,27068a00ead10fbf,B0B1_PDF_CSV,对PDF抽取CSV补字段映射校验和专业名归一。,c4c6_reuse；c4c6_diff×2,PDF抽取CSV,data/external/issue19-b0-b1-official-sources/xztu-2026-province-major-plan.pdf；data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,00ee01f9c6926f7b,1,2,12,3,L3-已有湖北物理结构化或候选diff线索×2,P1-官网补缺线索回页×2,existing_pdf_csv_adapter_needs_grid_check,needs_major_name_and_subject_mapping,D1-PDF抽取源补缺优先,高校PDF附件不是湖北官方计划，需PDF原页和湖北官方侧复核。,补 XZTU PDF/CSV grid parser 的字段映射校验。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-2c88d948355f3b81,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,8,K487,西安航空学院,e998e013ee42a270,LIVE_PDF_CSV,把live crosscheck转成标准化高校源输入，并加院校代码边界校验。,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt×1,PDF抽取CSV,data/external/issue19-school-source-live-20260629/xaau-2026-province-major-plan.pdf；data/external/issue19-school-source-live-20260629/xaau-2026-hubei-physics-plan-extracted.csv；data/working/issue19-school-source-live-20260629-xaau-crosscheck.csv,aac18c54f294f3fe,1,1,6,4,L3-已有湖北物理结构化或候选diff线索×1,P4-继续搜索高校官网计划网源×1,new_live_pdf_csv_bridge_needed,needs_school_code_boundary_guard,D2-live源接入并查串行风险,live账本明确只作补缺线索，不能直接写主表。,新增 XAAU live crosscheck -> normalized school source bridge。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-3d2e0782baa598d1,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,9,C108,江汉大学,8f61d7a6df1de995,B0B1_API_JSON,对强辅证JSON做冲突抽检和未匹配规则补丁。,next20；c4c6_reuse；c4c6_diff×3,API/JSON,data/external/issue19-b0-b1-official-sources/jhun-2026-hubei-physics-normal-lqxx2.json,d8e48a9e709aec6f,1,3,72,9,L3-已有湖北物理结构化或候选diff线索×3,P0-冲突优先回PDF原页和湖北官方侧×3,existing_json_adapter_needs_conflict_audit,needs_unmatched_major_rules,D0-强辅证冲突优先,存在冲突候选，湖北官方侧未闭环。,重跑 JHUN JSON diff，并输出冲突抽检包。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
SS-INGEST-a8c68de8d7db2c8c,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_structured_ingestion_candidates,高校官网结构化源接入候选学校,高校×结构化适配器候选,false,false,false,false,false,false,false,false,10,K753,喀什大学,d17c6c291402bfd7,B0B1_XLSX,拆XLSX省份列、科类和批次，生成抽检diff。,next20；c4c6_reuse；c4c6_diff×3,XLSX,data/external/issue19-b0-b1-official-sources/ksu-2026-undergraduate-plan.xlsx,941d53bc64dbd5e6,1,3,25,5,L3-已有湖北物理结构化或候选diff线索×3,P0-冲突优先回PDF原页和湖北官方侧×3,new_xlsx_province_column_adapter_needed,needs_subject_and_batch_split,D0-XLSX源冲突抽检,官网附件缺湖北专业组边界和专业代号。,新增 KSU XLSX 省份列拆分和科类识别校验。,pending_manual_pdf_review,pending_hubei_official_review,structured_source_candidate_for_double_check_only,blocked_until_pdf_hubei_official_review,not_final；structured_source_ingestion_only；for_double_check_only；no_field_values；no_official_replacement
