稳定基座自动交叉核验任务ID,来源稳定基座逐专业筛选视图,来源逐专业证据路由表,来源B0B1高校官网证据旁挂表,来源B0B1公开官网差异账,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组内专业序号,专业代号OCR,专业名称及备注短摘,OCR专业计划数候选,OCR学费候选,OCR再选科目候选,稳定筛选机器线索等级,稳定筛选下一步,人工核验优先级,人工核验强度,自动官网核验可执行性,官网证据强度,官网证据说明,官网来源状态,官网证据匹配状态,计划数核验状态,差异字段集合,疑似OCR把学费读入计划数,最佳官网来源文件,最佳官网专业名称,最佳官网专业代号,最佳官网计划数,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,官网辅证自动动作,闭环优先级,人工升级原因,PDF原页核页状态,湖北官方系统核验状态,官网辅证状态,字段写回状态,公开安全策略,下一步
STABLEAUTO-2c3f84843e7da017,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,中国传媒大学,A03312,18,left,4,25,数字媒体技术,12,3,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,数字媒体技术,59,3,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-f9d8322fb6a2a202,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-a85b56dac30243b2,G-9fca3ce8b2adbf9c,A135,山东大学,A13506,37,left,6,25,工程软件（含“钱七虎学堂”）,11,6600,化学,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,false,data/external/issue19-b0-b1-official-sources/sdu-2026-hubei-physics-normal-zsjh.json,工程软件,38,2,6600,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-428748b7bafc222e,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,2,04,过程装备与控制工程,5800,5800,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,过程装备与控制工程,,1,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-a1d1e32c080d0b4d,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,10,12,功能材料,5800,,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,功能材料,,2,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-9b70fc9bfe2422f6,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,4,06,电气工程及其自动化,5800,5800,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,电气工程及其自动化,,2,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-12017f54f9dc0fe5,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,6,08,软件工程,5800,,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,软件工程,,1,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-a7ebf8723f6afd59,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,3,05,通信工程,5800,5800,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,通信工程,,1,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-174cc8f124d58944,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,8,10,数字媒体技术,5800,,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,数字媒体技术,,2,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-dd06867143b77e1c,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,9,11,储能科学与工程,5800,,,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,储能科学与工程,,1,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-44ae763f0fe680f0,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,江苏理工学院,F90202,135,left,1,03,机械电子工程,5800,,「化学,M5-结构归属先核,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,A1-已有高校官网结构化源可自动复跑比对,conflict_review,官网专业名匹配但计划数冲突，优先回看原页和字段列。,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,true,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,机械电子工程,,1,5800,,exact_after_normalization,100,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,官网计划数与OCR候选冲突；疑似把学费读成计划数,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C0-冲突先核PDF原页和湖北官方系统；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
