稳定基座第一闭环明细任务ID,来源稳定基座自动官网辅证交叉核验工作台,来源稳定基座最小人工闭环工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,第一闭环批次,第一闭环纳入原因,任务来源类型,来源自动交叉核验任务ID,来源最小人工闭环任务ID,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,页码版面键,专业组内专业序号,专业代号OCR,专业名称及备注短摘,字段名,官网辅证自动动作,官网证据强度,官网来源状态,官网证据匹配状态,计划数核验状态,差异字段集合,疑似OCR把学费读入计划数,最佳官网来源文件,OCR专业计划数候选,最佳官网计划数,OCR学费候选,最佳官网学费,OCR再选科目候选,最佳官网选科,人工升级原因,P0字段即时复核任务ID,P0即时字段确认公开账本ID,执行批次,人工核验泳道,人工核验方式,页列执行进度桶,裁图证据编号,裁图文件SHA256,裁图bbox归一化,是否需要双人复核,是否有高校字段线索,是否裁图OCR与机器候选冲突,是否裁图OCR与高校辅证冲突,是否机器高校冲突,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,公开安全策略,下一步
FIRSTDETAIL-400b9fb6c1658bc2,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-eb6108f1be3462bc,,false,false,false,false,false,false,false,false,M-03be14d5008a95f0,G-2432826275c85956,A033,中国传媒大学,A03313,18,left,018-left,2,27,智能科学与技术,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,3,5500,5500,,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-6e2d3b4c7f4c6ceb,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,官网计划数与OCR候选冲突，第一批必须回页核,自动官网辅证任务,STABLEAUTO-2c3f84843e7da017,,false,false,false,false,false,false,false,false,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,中国传媒大学,A03312,18,left,018-left,4,25,数字媒体技术,,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,12,3,3,5500,,"物理,化学(2门科目考生均须选考方可报考)",官网计划数与OCR候选冲突,,,,,,,,,,true,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-d3d836a7f7b9fd39,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-d0e4b84686385cf7,,false,false,false,false,false,false,false,false,M-1fb605576ebe5318,G-df1242f8618d3971,A033,中国传媒大学,A03312,18,left,018-left,3,24,人工智能（数字演艺工程方向）,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,2,5500,5500,,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-06b9748c821af613,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-24cb7d2d7d14bd1f,,false,false,false,false,false,false,false,false,M-83af574ae53d478b,G-df1242f8618d3971,A033,中国传媒大学,A03312,18,left,018-left,2,23,电子信息工程,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,3,5500,5500,,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-ab6063ed0b37268b,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-8627584fa98a28d4,,false,false,false,false,false,false,false,false,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,中国传媒大学,A03312,18,left,018-left,1,22,智能视听工程,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,4,5500,5500,化学,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-8bf313b58dad8c1d,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-003430d3d5d05388,,false,false,false,false,false,false,false,false,M-93d6111287b31e95,G-2432826275c85956,A033,中国传媒大学,A03313,18,left,018-left,1,26,数字媒体技术（游戏科学与技术方向）,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,3,3,5500,【化学,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-c44867e8ce0e0774,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-a721f39cdfc8c39f,,false,false,false,false,false,false,false,false,M-d52b9b951aa3b3b1,G-2432826275c85956,A033,中国传媒大学,A03313,18,left,018-left,4,29,网络空间安全,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,2,5500,5500,,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-0a008f059b306a64,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-1873844f4412a95d,,false,false,false,false,false,false,false,false,M-f588b8040b4edb64,G-2432826275c85956,A033,中国传媒大学,A03313,18,left,018-left,3,28,数据科学与大数据技术,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,2,2,5500,,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-4a2ece3f20087581,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,自动官网辅证任务,STABLEAUTO-3999064f236b6971,,false,false,false,false,false,false,false,false,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,中国传媒大学,A03313,18,left,018-left,5,30,网络空间安全（AI 治理与视听安全方,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,,2,5500,5500,,"物理,化学(2门科目考生均须选考方可报考)",OCR计划数字段缺口但官网有补缺线索,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
FIRSTDETAIL-1e9409107b74d4f5,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_detail_packet,逐专业招生明细,逐专业招生明细×第一闭环自动官网辅证任务,FIRST-AUTO-C0-C1-C7,官网源未稳定匹配专业名，第一批确认专业归属,自动官网辅证任务,STABLEAUTO-f4b6b9ef1230d71d,,false,false,false,false,false,false,false,false,M-4d38d93ca32f7ba3,G-9fca3ce8b2adbf9c,A135,山东大学,A13506,36,right,036-right,1,20,计算机科学与技术（含计算机拨尖及专业代号2.0班（泰山学堂）、计算机菁英班、人工智能与大数据新工科创新实验班：办学地点：青岛校区）,,C7-官网源未匹配专业需人工确认专业名,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,官网专业未匹配,false,,,,6,,「化学,,官网专业名称未能稳定匹配,,,,,,,,,,false,true,,,,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,公开表只保存任务、页列、OCR候选和官网辅证相对来源；不保存私有OCR原文、图片路径、人工读数或登录态。,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。
