第一闭环页列证据状态汇总ID,来源第一闭环证据状态公开账本,来源第一闭环字段状态看板,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,第一闭环页列优先级,稳定基座第一闭环页列包ID,第一闭环字段状态看板ID,来源页码,版面列,页码版面键,页列任务数,涉及专业行数,涉及院校代码数,第一闭环任务ID集合SHA256,专业行ID集合SHA256,院校代码集合SHA256,自动官网辅证任务数,P0人工字段任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,待人工判定字段任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证待核任务数,PDFOCR提示任务数,机器坐标提示任务数,高校辅证线索任务数,PDFOCR与高校辅证冲突任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,PDFOCR与高校辅证一致仍需官方闭环任务数,PDFOCR无候选任务数,无候选需人工看图任务数,需要人工直接看图任务数,需要双人复核任务数,字段事实写回可进入任务数,字段事实写回阻断任务数,任务来源类型分布,OCR提示状态分布,冲突状态分布,人工核验泳道分布,页列主阻断,页列建议下一步动作,完成条件,公开安全策略
FIRSTEVIDPAGE-1d715f85ac144ecb,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,25,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-1d715f85ac144ecb,FIRSTFSTATUS-1d715f85ac144ecb,14,left,014-left,1,1,1,7e850f28b678a87881484377ba045780e975fef1bbd1528ce5c2ac3a46896c29,8c71bee2692e470d95ff239c9554e9351b6ba792f0113db5021fc8d3c474b85c,1f064950c2205f579c3531a429cc3d6b54895c05331e169d750d855ed84bb107,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-ffc90431edf15154,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,5,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-ffc90431edf15154,FIRSTFSTATUS-ffc90431edf15154,18,left,018-left,17,9,1,6d0475e597528d7a1d0d8b5a7a8e2587cdeabbf8d7916ed1176783f54788b114,ae12d7b637e9b866798453aff9e6d1ce0a2a20536ef07ad6f43a4516effb82f8,840bc543dcc720ba7260a5dd8cf53ab2655bc93eb4be06b0c21b06cf4a609e42,9,8,17,9,9,0,17,17,17,9,5,9,4,0,0,5,8,3,7,4,0,17,P0人工字段任务=8；自动官网辅证任务=9,O0-PDFOCR与高校辅证冲突=4；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环=5；O4-无PDFOCR但有机器坐标提示=5；O5-无公开OCR候选提示=3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=4；C2-多源有一致线索，仍待湖北官方侧闭环=5；C4-无可比候选，需人工看图或随页列闭环=8,F0-PDFOCR与高校辅证冲突双人核页=4；F1-机器坐标候选辅助核页=5；F2-PDFOCR候选人工确认=5；F4-无候选人工看图=3,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-150f6369ef9f31d4,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,11,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-150f6369ef9f31d4,FIRSTFSTATUS-150f6369ef9f31d4,23,left,023-left,1,1,1,4c7aead077eb4e85dbb59736d253f9129ae0430c4342a4a0d8f9564abd268d4e,6901b00e7d063cd57828a6324bdea75388018fc2cb95a45bb0893ee8be99c8ed,88e612b40aa08044658fc0f5a9077df7cbe0461348df43c59d3b40bd00a5dbba,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-807f1d9e99948b29,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,26,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-807f1d9e99948b29,FIRSTFSTATUS-807f1d9e99948b29,32,right,032-right,1,1,1,9e605a53a1548ab0639dbd7dd0afb9f45f176370c03c1c397031ed2c3a68e288,66ebdc7c588f65328b2bff6748b6fca669a34b09ed767518747b145bb90343c8,c2b4dc8516cfc3e840531c8cd6359e0f0f87d9458e58db03aeaeeaa5033dd73d,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-9e2f12395b6c066b,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,27,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-9e2f12395b6c066b,FIRSTFSTATUS-9e2f12395b6c066b,33,right,033-right,1,1,1,6495b02e5c41ed42069d0301b1caa693994598ab97dc224394cf593e1d1f9555,ddd3a6764beab16004643778f86ce752efeaca946c594bae04c1191cb57326bf,f4d03d1f4f7f755d10ebd541d15ee5f7d18cad2864ee8da4e0297c3e713c6a15,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-71c8a1c59d84716c,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,34,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-71c8a1c59d84716c,FIRSTFSTATUS-71c8a1c59d84716c,36,right,036-right,1,1,1,8fdede619281e7cec7924bc0d60188ef0306f6779900ee34a74f2382618dcf7e,ac036c02f48f7d5b3662893807c0b30d2d2a0a73abcadd55952e09ed29830dd6,acbf576b6b2a67d79cd21bd54556e64a32e9d6281b673929b0d3c1bc08ff8b8f,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,自动官网辅证任务=1,O3-仅PDFOCR候选待人工核页=1,C3-仅PDFOCR候选，需人工核页=1,F2-PDFOCR候选人工确认=1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-f58ca9d1af902d1a,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,6,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-f58ca9d1af902d1a,FIRSTFSTATUS-f58ca9d1af902d1a,37,left,037-left,5,5,1,dd4dc3738d81ee7a2d5b7f7ad06559e3d4b9b693c339cdd368f780d1e751a49e,671b6d45c15cb61d83bcf0faf9a071b6573476708fb9df5132bb6ab407ce3dee,acbf576b6b2a67d79cd21bd54556e64a32e9d6281b673929b0d3c1bc08ff8b8f,3,2,3,2,3,0,5,5,5,3,0,1,1,0,2,0,2,2,3,3,0,5,P0人工字段任务=2；自动官网辅证任务=3,O0-PDFOCR与高校辅证冲突=1；O3-仅PDFOCR候选待人工核页=2；O5-无公开OCR候选提示=2,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=1；C3-仅PDFOCR候选，需人工核页=2；C4-无可比候选，需人工看图或随页列闭环=2,F0-PDFOCR与高校辅证冲突双人核页=1；F2-PDFOCR候选人工确认=2；F4-无候选人工看图=2,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-38a317f5bf72d0ce,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,22,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-38a317f5bf72d0ce,FIRSTFSTATUS-38a317f5bf72d0ce,38,right,038-right,2,2,1,5076c550f887ad562a3c7c99f20abae2181ffde7324d59f339aca5fa50044285,32c402bce04b5c4dfaed59d53dddd10a52ed4c881128ae278a0d90bd85555f73,b3fab222db08be817e915b39d4234d08683cbbc9596c8455d4a5e38272d366d9,0,2,2,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,2,0,2,P0人工字段任务=2,O4-无PDFOCR但有机器坐标提示=2,C4-无可比候选，需人工看图或随页列闭环=2,F1-机器坐标候选辅助核页=2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-6877343afbe11307,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,12,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-6877343afbe11307,FIRSTFSTATUS-6877343afbe11307,40,right,040-right,1,1,1,f64746a5c4cf0a5c56e4f36317127b5326a6488e525ebe098189208b10e7dcf6,689361afb565f744f81daa60fc803f12f0440349021ffbfc9491a7e8d3df99f6,09b3429c6f3f27c6b15e4181bd19dcf058b0608e1c6d3cbbee8d87d7e2d1f68a,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-cc413d4ed28b64a8,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,13,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-cc413d4ed28b64a8,FIRSTFSTATUS-cc413d4ed28b64a8,43,left,043-left,1,1,1,eb2d08e51be33bc330fc5e094c1d4d85fa8bba8f5f78db4f835a5924cbf248b3,acbf20b43e5a217654b3170e923c8f01e6b918f8161c31069c612ba66a567a67,c39bd26cf469f511e04530f7d001d42a67a01f95ee0cd695947c20f012e50e85,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
