第一闭环证据状态公开账本ID,来源第一闭环字段确认公开账本,来源第一闭环任务复核公开账本,来源第一闭环PDFOCR候选公开审计,来源第一闭环字段状态看板,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,证据状态总序,稳定基座第一闭环明细任务ID,第一闭环字段确认公开账本ID,稳定基座第一闭环任务复核公开账本ID,第一闭环PDFOCR候选公开审计ID,第一闭环字段状态看板ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,第一闭环页列优先级,执行泳道,人工核验泳道,人工核验方式,人工核验动作,必须完成证据步骤,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,PDFOCR提示审阅桶,PDFOCR与高校辅证关系桶,候选提示综合桶,官网辅证自动动作,官网证据强度,官网来源状态,计划数核验状态,页列主阻断,页列建议下一步动作,公开安全策略,下一步
FIRSTEVID-d179d110c18dff80,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,1,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTFCONF-93e57d20f514130b,FIRSTTASKREVIEW-93e57d20f514130b,FIRSTPDFOCR-93e57d20f514130b,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-eaa3f97fa85c1513,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTFCONF-bfa8cf8970e7d5f4,FIRSTTASKREVIEW-bfa8cf8970e7d5f4,FIRSTPDFOCR-bfa8cf8970e7d5f4,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-c73dc66134b4ce8f,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,3,FIRSTDETAIL-202127380ebfe86a,FIRSTFCONF-39a5532be91543c7,FIRSTTASKREVIEW-39a5532be91543c7,FIRSTPDFOCR-39a5532be91543c7,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-969d2aacf582987f,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,4,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTFCONF-26057f4340d64228,FIRSTTASKREVIEW-26057f4340d64228,FIRSTPDFOCR-26057f4340d64228,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-17d4952cc242c3fb,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,5,FIRSTDETAIL-726fddd63013332a,FIRSTFCONF-a5608ad06a95aedb,FIRSTTASKREVIEW-a5608ad06a95aedb,FIRSTPDFOCR-a5608ad06a95aedb,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-2de3ad7f20dcb930,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,6,FIRSTDETAIL-9008da4b792e2d9c,FIRSTFCONF-1fb2e173cd94f5bc,FIRSTTASKREVIEW-1fb2e173cd94f5bc,FIRSTPDFOCR-1fb2e173cd94f5bc,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费；再选科目,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-995d2753611bae90,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,7,FIRSTDETAIL-98835066fcfb9b8c,FIRSTFCONF-f03797c21840d98b,FIRSTTASKREVIEW-f03797c21840d98b,FIRSTPDFOCR-f03797c21840d98b,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-c68ad5b5f546a31d,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,8,FIRSTDETAIL-9d2efbd617a42fa2,FIRSTFCONF-dbe3431271d8753c,FIRSTTASKREVIEW-dbe3431271d8753c,FIRSTPDFOCR-dbe3431271d8753c,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-e169ec05a319416b,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-75ee528fb6141ddf,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,9,FIRSTDETAIL-c38ee9bcbc39ce19,FIRSTFCONF-3712fb406bc29364,FIRSTTASKREVIEW-3712fb406bc29364,FIRSTPDFOCR-3712fb406bc29364,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-12b3553793666167,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,10,FIRSTDETAIL-d3b4542d9cf04623,FIRSTFCONF-4e54ace09d0fdb74,FIRSTTASKREVIEW-4e54ace09d0fdb74,FIRSTPDFOCR-4e54ace09d0fdb74,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-e61c577465bca697,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
